date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,183.75,4.0,7.833,4.677,5.191,0.513,10.366,1.244,191.583
2011-01-02,191.435,3.435,2.609,3.354,3.568,0.214,10.834,1.307,194.043
2011-01-03,191.375,3.783,4.0,4.371,4.654,0.284,18.853,2.255,195.375
2011-01-04,193.957,4.696,6.435,4.251,4.623,0.372,24.825,3.094,200.391
2011-01-05,191.043,3.348,4.435,5.973,6.524,0.55,14.166,1.226,195.478
2011-01-06,182.261,3.391,6.087,6.989,8.057,1.069,13.005,0.899,188.348
2011-01-07,184.042,3.087,6.375,6.058,6.935,0.876,6.62,0.702,190.417
2011-01-08,184.333,3.391,8.792,4.721,5.351,0.63,5.027,0.402,193.125
2011-01-09,186.875,4.435,9.292,7.236,8.336,1.1,22.697,2.905,196.167
2011-01-10,191.739,5.565,12.087,9.08,10.976,1.896,30.855,2.341,203.826
2011-01-11,189.833,4.13,8.417,5.631,6.273,0.642,20.512,2.263,198.25
2011-01-12,191.292,4.174,12.042,8.264,9.606,1.342,6.786,0.946,203.333
2011-01-13,190.208,4.087,15.75,8.322,10.265,1.943,15.778,2.179,205.958
2011-01-14,193.174,4.261,7.696,7.351,8.185,0.834,33.549,3.439,200.87
2011-01-15,191.292,3.696,7.708,5.961,6.412,0.451,16.506,1.259,199.0
2011-01-16,191.375,4.087,12.333,6.679,7.452,0.774,9.993,0.715,203.708
2011-01-17,189.792,3.348,10.458,6.659,8.03,1.372,7.541,0.37,200.25
2011-01-18,192.087,5.0,19.174,11.243,14.534,3.291,11.759,0.741,211.261
2011-01-19,192.222,5.0,24.333,15.16,21.408,6.248,11.265,0.737,216.556
2011-01-20,192.0,3.875,18.0,9.87,11.313,1.443,6.301,0.435,210.0
2011-01-21,190.25,3.625,13.333,7.918,8.77,0.853,7.591,0.303,203.583
2011-01-22,189.542,3.0,10.708,5.537,6.226,0.689,6.466,0.608,200.25
2011-01-23,191.375,3.083,9.792,4.354,5.024,0.67,8.529,0.73,201.167
2011-01-24,191.75,2.625,8.875,4.114,4.637,0.522,6.203,0.92,200.625
2011-01-25,193.333,3.417,9.75,5.399,6.101,0.702,13.536,1.907,203.083
2011-01-26,194.667,3.0,10.75,4.255,4.77,0.516,7.077,1.08,205.417
2011-01-27,195.5,2.812,10.042,8.054,9.331,1.277,22.527,2.349,205.542
2011-01-28,195.417,0.333,11.292,7.522,8.741,1.219,30.97,2.497,206.708
2011-01-29,194.375,0.0,9.75,5.447,6.076,0.629,10.965,1.223,204.125
2011-01-30,196.958,0.208,14.583,6.664,7.843,1.179,12.364,1.696,211.542
2011-01-31,194.417,0.042,13.542,7.297,8.525,1.227,9.761,1.468,207.958
2011-02-01,194.208,2.182,17.083,6.98,8.351,1.372,14.27,2.097,211.292
2011-02-02,193.167,1.958,10.417,3.208,3.507,0.299,5.626,1.164,203.583
2011-02-03,195.083,2.625,12.208,6.547,7.415,0.868,9.764,1.371,207.292
2011-02-04,195.25,2.75,11.833,6.98,7.912,0.932,16.426,2.792,207.083
2011-02-05,197.542,4.625,14.333,7.853,8.596,0.744,31.134,2.82,211.875
2011-02-06,196.696,5.739,18.435,12.841,15.541,2.7,34.328,1.717,215.13
2011-02-07,197.391,4.87,19.174,11.322,13.74,2.419,14.224,1.295,216.565
2011-02-08,194.333,2.375,12.292,3.826,4.952,1.127,6.389,0.952,206.625
2011-02-09,196.25,3.25,12.583,5.148,5.933,0.785,9.235,1.242,208.833
2011-02-10,196.292,3.708,15.417,6.963,8.477,1.514,13.427,1.361,211.708
2011-02-11,188.652,3.333,11.522,5.319,6.083,0.765,9.015,0.983,200.174
2011-02-12,191.125,4.833,13.667,5.349,5.834,0.485,11.682,1.16,204.792
2011-02-13,193.458,6.917,23.75,14.992,17.245,2.253,24.484,0.985,217.208
2011-02-14,191.125,6.25,19.25,13.753,19.769,6.016,13.042,0.54,210.375
2011-02-15,195.478,5.217,19.739,10.656,13.98,3.324,12.285,0.904,215.217
2011-02-16,192.208,3.792,14.792,5.454,6.458,1.004,9.052,0.782,207.0
2011-02-17,192.208,3.958,14.292,5.192,6.133,0.941,9.064,1.11,206.5
2011-02-18,194.833,4.292,12.542,3.831,4.312,0.481,8.31,1.029,207.375
2011-02-19,190.13,4.875,11.652,4.521,5.098,0.577,8.355,0.847,201.783
2011-02-20,190.5,6.667,23.417,7.4,8.669,1.269,11.658,1.063,213.917
2011-02-21,189.667,6.417,22.458,12.659,15.431,2.772,20.07,2.113,212.125
2011-02-22,188.958,7.083,17.875,11.27,12.598,1.328,23.45,1.578,206.833
2011-02-23,194.826,7.208,19.783,9.825,12.906,3.081,19.121,1.2,214.609
2011-02-24,196.542,5.087,17.708,6.83,7.495,0.665,31.979,2.361,214.25
2011-02-25,194.708,5.458,19.75,8.774,9.701,0.926,27.152,1.167,214.458
2011-02-26,193.833,4.5,25.167,3.74,4.02,0.281,8.828,0.663,219.0
2011-02-27,191.522,5.25,29.174,5.932,6.785,0.853,11.606,0.732,220.696
2011-02-28,192.542,5.708,14.958,7.899,9.084,1.185,10.602,0.712,207.5
2011-03-01,189.783,7.875,27.87,10.579,13.099,2.52,12.443,0.821,217.652
2011-03-02,192.783,7.833,20.652,13.892,18.416,4.524,13.309,1.682,213.435
2011-03-03,193.875,6.708,13.0,4.982,5.505,0.523,14.194,0.993,206.875
2011-03-04,197.167,4.609,15.667,6.488,6.877,0.389,17.895,0.627,212.833
2011-03-05,197.417,6.208,24.167,13.501,17.108,3.607,10.543,0.829,221.583
2011-03-06,197.174,6.417,23.261,13.188,17.525,4.337,15.567,1.4,220.435
2011-03-07,199.917,6.375,16.125,8.128,8.927,0.799,32.871,2.026,216.042
2011-03-08,199.292,7.417,16.167,9.215,10.305,1.091,29.804,1.923,215.458
2011-03-09,197.917,7.375,15.458,6.734,7.163,0.429,16.76,0.617,213.375
2011-03-10,190.087,5.667,12.609,4.311,4.718,0.407,13.354,0.815,202.696
2011-03-11,191.125,6.125,12.75,3.832,4.065,0.233,19.002,2.226,203.875
2011-03-12,191.917,5.958,12.042,3.329,3.735,0.406,10.957,1.079,203.958
2011-03-13,193.042,6.792,15.458,5.946,6.525,0.58,10.398,1.103,208.5
2011-03-14,192.739,4.391,17.13,10.112,11.381,1.269,14.455,1.894,209.87
2011-03-15,194.167,4.478,17.083,8.508,9.849,1.341,23.072,1.812,211.25
