date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.609,3.812,96.757,85.966,66.184,4.739,4.363,4.68,0.337,,2.856,7.58,5.669,2.991,196.348
2011-01-02,190.696,3.062,97.213,74.252,54.549,3.478,3.403,4.02,0.618,,1.321,6.38,4.115,1.104,194.174
2011-01-03,192.13,3.438,95.017,75.12,52.929,3.739,3.965,4.412,0.408,,4.025,6.503,4.541,2.411,195.87
2011-01-04,187.609,2.896,96.472,77.071,57.871,3.522,3.218,3.556,0.312,,2.6,4.973,2.694,0.793,191.13
2011-01-05,186.609,3.896,85.038,74.099,59.869,4.87,4.678,5.937,1.274,,1.216,5.321,3.417,1.56,191.478
2011-01-06,185.609,3.042,95.509,75.811,51.165,4.217,5.398,7.081,1.667,,1.075,7.999,4.283,2.061,189.826
2011-01-07,191.478,3.688,97.366,87.766,70.101,5.783,4.581,6.511,1.883,,0.414,5.643,3.263,1.349,197.261
2011-01-08,189.522,3.322,93.595,71.386,43.079,5.696,3.225,4.622,1.278,,0.539,9.866,5.283,1.48,195.217
2011-01-09,190.739,4.312,92.61,73.988,52.447,5.087,6.338,7.735,1.415,,4.676,9.072,6.295,4.305,195.826
2011-01-10,196.0,5.022,91.727,78.407,63.035,7.0,7.488,9.599,2.106,,4.473,8.171,5.595,3.668,203.0
2011-01-11,187.783,2.98,96.909,73.069,54.195,5.435,4.496,5.536,1.102,,1.934,6.967,4.203,0.512,193.217
2011-01-12,190.478,3.166,97.366,83.891,59.41,6.652,5.343,7.66,2.308,,0.826,6.14,3.108,0.27,197.13
2011-01-13,191.043,3.062,86.756,67.901,54.076,6.435,5.108,5.801,0.71,,4.463,6.427,5.116,3.536,197.478
2011-01-14,192.304,3.708,82.795,65.269,51.438,6.217,5.815,7.345,1.489,,2.686,7.918,5.575,3.093,198.522
2011-01-15,191.913,3.375,89.334,75.145,55.905,5.739,4.445,5.954,1.495,,1.073,7.692,4.94,2.45,197.652
2011-01-16,188.478,2.708,91.824,77.45,61.969,4.913,5.345,7.856,2.49,,0.646,6.493,4.536,2.268,193.391
2011-01-17,187.261,3.75,92.802,73.079,43.026,7.174,5.858,9.021,3.205,,0.634,10.233,4.583,0.225,194.435
2011-01-18,190.391,4.458,88.661,69.387,40.624,9.957,8.193,13.185,4.978,,1.13,11.672,5.752,-0.167,200.348
2011-01-19,187.0,3.166,96.767,92.864,81.468,6.957,7.207,10.446,3.269,,0.718,7.896,6.531,5.271,193.957
2011-01-20,182.913,2.12,94.61,77.117,58.864,3.652,4.11,6.091,1.934,,0.493,10.546,7.845,5.025,186.565
2011-01-21,189.609,3.146,96.396,82.967,60.557,5.609,5.879,8.903,3.082,,0.449,10.725,6.437,3.073,195.217
2011-01-22,191.435,2.729,96.692,87.58,65.196,5.043,3.977,5.328,1.337,,0.594,8.355,5.589,2.281,196.478
2011-01-23,195.522,2.803,95.221,72.803,55.917,5.13,3.715,5.346,1.627,,0.744,6.03,3.575,1.142,200.652
2011-01-24,188.217,1.958,86.426,65.744,55.176,4.174,2.277,2.727,0.464,,0.882,2.364,1.253,-0.061,192.391
2011-01-25,188.957,2.812,87.683,69.298,53.749,5.043,2.814,3.324,0.545,,1.78,2.253,0.724,-0.807,194.0
2011-01-26,186.783,2.542,89.317,68.857,53.643,4.696,3.235,4.072,0.788,,1.962,3.839,1.564,-0.693,191.478
2011-01-27,189.696,4.312,91.876,73.726,47.593,5.174,5.935,7.456,1.564,,3.37,6.546,3.452,1.122,194.87
2011-01-28,188.435,3.5,92.03,71.394,51.437,4.826,4.658,5.707,1.015,,2.79,7.59,4.427,1.548,193.261
2011-01-29,191.304,2.875,96.919,85.745,66.531,5.826,3.069,3.938,0.827,,1.391,5.347,2.633,0.517,197.13
2011-01-30,194.174,3.118,97.67,76.337,51.272,5.652,3.887,5.572,1.603,,1.331,5.597,2.419,-0.049,199.826
2011-01-31,192.8,3.074,74.63,56.345,42.14,4.4,4.99,6.279,1.333,,3.09,6.277,3.383,0.055,197.2
2011-02-01,189.348,3.169,93.63,65.294,47.86,3.261,3.329,3.715,0.398,,3.962,6.165,3.013,0.34,192.609
2011-02-02,196.565,2.5,96.228,78.336,57.064,19.783,2.317,2.824,0.502,,1.838,0.72,-1.53,-3.516,216.348
2011-02-03,,2.521,91.965,80.351,62.685,,3.444,4.331,0.859,,1.096,2.825,0.467,-2.138,
2011-02-04,188.13,3.646,85.346,65.925,53.758,3.522,4.886,5.379,0.493,,4.848,5.831,3.337,0.771,191.652
2011-02-05,197.391,5.438,88.668,73.798,53.595,6.087,6.822,8.302,1.486,,3.194,8.18,3.892,0.292,203.478
2011-02-06,200.217,6.854,97.366,89.177,74.483,9.435,10.37,15.581,5.187,,1.75,8.324,4.568,0.309,209.652
2011-02-07,196.261,4.146,97.67,77.367,52.234,5.348,5.511,6.558,1.077,,2.262,8.292,5.464,2.074,201.609
2011-02-08,186.0,2.25,86.732,69.433,57.729,3.375,2.807,3.312,0.446,,1.121,1.739,-0.082,-2.073,189.375
2011-02-09,185.667,2.304,84.457,64.498,53.139,2.333,2.702,3.218,0.484,,1.152,2.441,1.138,-0.017,188.0
2011-02-10,186.435,2.666,91.413,67.838,49.979,3.043,4.275,5.592,1.267,,1.003,5.948,2.907,0.238,189.478
2011-02-11,186.261,2.842,86.134,67.645,49.746,3.435,3.535,4.251,0.683,,0.783,6.232,2.951,-0.192,189.696
2011-02-12,186.565,3.73,85.95,66.499,44.641,5.391,4.427,5.765,1.353,,1.363,7.623,3.147,-0.588,191.957
2011-02-13,194.609,4.666,97.142,92.58,76.394,6.565,9.089,12.145,3.063,,1.02,4.866,3.227,1.442,201.174
2011-02-14,194.478,5.438,97.376,94.797,84.438,11.0,9.526,14.17,4.646,,0.837,8.603,5.389,3.192,205.478
2011-02-15,190.435,3.666,97.447,88.285,73.213,4.739,6.208,8.699,2.531,,1.017,7.701,4.729,1.125,195.174
2011-02-16,188.826,2.458,90.022,68.06,47.837,3.478,3.506,4.797,1.29,,0.918,6.869,3.56,0.853,192.304
2011-02-17,187.652,2.362,82.389,63.306,46.457,3.435,3.128,3.745,0.62,,1.924,4.728,2.053,-0.446,191.087
2011-02-18,189.087,2.587,96.572,85.052,65.544,2.826,3.574,4.541,0.963,,0.862,1.644,-0.386,-2.091,191.913
2011-02-19,187.652,2.565,97.071,85.994,69.13,2.87,3.604,4.456,0.872,,0.802,2.447,0.031,-2.302,190.522
2011-02-20,188.0,3.416,89.867,72.027,48.573,4.391,5.901,7.7,1.837,,0.9,7.956,2.928,-0.935,192.391
2011-02-21,190.696,4.312,95.954,77.482,51.805,6.565,8.16,11.303,3.153,,2.208,9.38,5.273,1.646,197.261
