date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,4.667,8.463,27.656,19.193,11.583,3.812
2011-01-02,5.167,6.119,8.678,2.559,13.208,3.583
2011-01-03,6.25,8.716,18.952,10.235,21.625,5.458
2011-01-04,5.783,7.593,11.101,3.508,22.292,5.395
2011-01-05,7.583,12.93,20.88,7.95,16.375,4.363
2011-01-06,6.125,13.167,21.645,8.478,9.833,4.025
2011-01-07,6.0,9.742,15.32,5.579,6.625,3.408
2011-01-08,6.125,8.359,12.498,4.138,7.167,3.768
2011-01-09,6.042,10.502,16.506,6.004,17.458,5.15
2011-01-10,7.708,11.492,17.497,6.005,30.5,5.563
2011-01-11,6.739,8.179,13.752,5.573,22.955,4.686
2011-01-12,7.583,10.111,16.653,6.543,6.375,3.82
2011-01-13,7.833,13.281,23.724,10.443,17.458,5.116
2011-01-14,8.542,11.635,17.82,6.185,30.958,5.862
2011-01-15,6.708,8.167,11.366,3.199,16.917,4.237
2011-01-16,6.833,7.818,13.833,6.015,7.583,3.22
2011-01-17,5.917,5.697,9.567,3.87,4.5,2.541
2011-01-18,7.739,10.285,17.889,7.604,6.542,3.08
2011-01-19,7.792,11.631,26.648,15.017,7.292,2.356
2011-01-20,6.292,6.305,12.527,6.222,1.042,2.222
2011-01-21,7.625,8.686,17.037,8.351,3.917,2.035
2011-01-22,5.667,5.809,10.572,4.763,3.708,2.134
2011-01-23,5.292,5.669,9.608,3.94,6.042,3.099
2011-01-24,5.333,7.456,11.994,4.539,7.25,3.714
2011-01-25,6.565,8.476,14.155,5.678,14.0,4.242
2011-01-26,6.625,9.479,15.317,5.839,7.458,3.593
2011-01-27,8.417,13.807,24.412,10.606,21.417,4.78
2011-01-28,8.417,12.001,25.449,13.449,32.542,4.653
2011-01-29,5.125,5.613,8.422,2.809,16.0,3.849
2011-01-30,7.167,12.225,19.624,7.399,10.417,3.876
2011-01-31,6.875,11.068,20.934,9.866,9.167,3.925
2011-02-01,6.696,12.396,30.19,17.793,17.083,5.033
2011-02-02,4.75,7.25,11.72,4.47,5.625,3.573
2011-02-03,7.167,12.658,24.657,11.998,7.875,3.879
2011-02-04,6.792,15.732,36.14,20.408,15.708,5.419
2011-02-05,7.208,12.351,26.136,13.785,29.792,4.189
2011-02-06,7.75,13.624,41.274,27.65,7.333,2.407
2011-02-07,7.833,9.592,17.966,8.374,9.083,2.954
2011-02-08,5.87,6.409,10.457,4.048,5.833,3.395
2011-02-09,7.625,8.95,16.324,7.374,8.167,3.396
2011-02-10,7.0,8.733,13.744,5.011,10.667,3.679
2011-02-11,6.333,7.773,12.595,4.822,7.5,3.57
2011-02-12,6.25,7.894,15.353,7.46,7.208,3.532
2011-02-13,6.792,14.687,32.212,17.525,6.083,2.464
2011-02-14,10.042,15.133,50.577,35.444,1.792,2.176
2011-02-15,9.696,12.399,24.345,11.946,5.542,2.139
2011-02-16,6.542,7.608,12.069,4.461,11.833,2.818
2011-02-17,5.75,7.801,13.364,5.563,8.292,3.634
2011-02-18,5.5,9.255,15.597,6.342,10.167,3.691
2011-02-19,4.917,8.844,13.645,4.801,8.375,3.543
2011-02-20,6.083,10.369,21.48,11.112,8.792,3.679
2011-02-21,7.833,14.493,34.879,20.386,14.375,5.594
2011-02-22,7.833,10.404,19.187,8.783,11.167,2.534
2011-02-23,6.125,9.811,20.716,10.905,5.375,2.748
2011-02-24,6.875,6.22,8.812,2.591,29.875,5.207
2011-02-25,8.542,11.934,21.144,9.21,22.083,2.466
2011-02-26,4.833,4.39,6.26,1.869,7.458,2.778
2011-02-27,6.5,7.314,11.439,4.124,9.625,3.25
2011-02-28,6.25,8.913,14.323,5.411,7.75,2.953
2011-03-01,8.0,11.401,21.562,10.161,5.292,2.841
2011-03-02,9.042,12.21,22.808,10.599,5.625,2.431
2011-03-03,5.375,3.476,5.424,1.948,12.0,2.987
2011-03-04,6.292,6.052,9.563,3.511,12.292,2.194
2011-03-05,9.875,14.193,25.244,11.051,2.958,2.16
2011-03-06,7.833,10.065,17.89,7.825,11.125,3.504
2011-03-07,7.708,8.351,12.396,4.045,26.5,4.46
2011-03-08,8.083,10.334,19.61,9.276,25.167,3.413
2011-03-09,9.083,7.604,12.414,4.81,9.833,2.143
2011-03-10,5.708,4.462,6.559,2.098,14.042,2.714
2011-03-11,5.542,7.109,12.025,4.917,22.5,5.045
2011-03-12,4.792,6.561,10.115,3.554,9.458,3.46
2011-03-13,6.083,8.482,15.15,6.668,9.125,3.47
2011-03-14,5.583,10.705,17.991,7.286,11.458,4.763
2011-03-15,6.391,12.81,20.498,7.688,22.0,5.721
2011-03-16,8.375,14.523,30.494,15.97,27.364,3.781
2011-03-17,8.833,13.901,26.0,12.099,6.333,2.15
2011-03-18,9.875,14.908,34.533,19.625,16.682,1.948
2011-03-19,6.458,8.258,13.319,5.061,10.125,2.499
2011-03-20,6.208,7.669,11.528,3.859,10.667,3.191
2011-03-21,6.417,9.75,20.386,10.636,12.583,3.828
2011-03-22,5.696,12.405,43.45,31.045,17.667,8.057
2011-03-23,7.083,13.278,21.772,8.494,5.333,2.517
2011-03-24,6.625,8.462,12.867,4.406,21.875,3.969
2011-03-25,4.25,4.587,6.496,1.908,12.167,3.915
2011-03-26,5.25,9.522,14.009,4.487,10.583,3.534
2011-03-27,5.667,11.079,24.265,13.186,14.375,4.143
2011-03-28,5.875,12.628,29.564,16.936,28.167,5.265
2011-03-29,5.739,10.945,19.491,8.547,17.167,4.658
2011-03-30,5.583,10.794,22.854,12.06,11.125,3.706
2011-03-31,4.958,10.057,17.875,7.818,9.042,3.04
2011-04-01,3.833,13.62,27.265,13.645,26.708,5.913
2011-04-02,2.833,12.35,21.414,9.064,24.708,5.751
2011-04-03,1.667,2.622,3.342,0.72,21.292,4.441
2011-04-04,1.458,2.709,3.894,1.185,6.5,3.661
2011-04-05,2.375,8.188,18.42,10.233,6.083,4.126
2011-04-06,2.167,10.958,24.672,13.713,8.917,4.184
2011-04-07,1.625,8.968,19.204,10.236,8.333,3.951
2011-04-08,3.125,8.961,13.716,4.755,8.083,2.499
2011-04-09,1.875,7.065,14.777,7.713,10.5,3.725
2011-04-10,2.083,5.715,8.128,2.414,20.542,4.561
2011-04-11,2.458,10.339,34.232,23.894,29.208,5.576
2011-04-12,2.5,5.287,7.768,2.481,16.708,4.316
2011-04-13,2.292,10.894,40.353,29.46,23.833,6.686
2011-04-14,2.208,12.408,38.344,25.936,23.417,5.259
2011-04-15,3.75,14.333,41.484,27.151,25.5,4.07
2011-04-16,2.708,7.486,21.172,13.686,40.5,4.444
