date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,190.309,6.168,15.515,11.06,15.088,4.028,10.464,1.007,16.699,5.4,1.725,-1.7,205.823
2011-01-02,185.314,3.752,10.776,5.826,7.86,2.034,6.139,0.744,9.977,7.7,2.979,0.0,196.09
2011-01-03,183.635,2.798,5.639,3.656,4.454,0.798,1.532,0.484,7.03,4.7,1.758,-0.8,189.275
2011-01-04,185.315,3.614,9.045,6.777,8.554,1.777,6.606,0.925,10.43,2.8,-0.317,-1.7,194.36
2011-01-05,185.776,2.656,6.408,3.661,4.642,0.981,3.43,0.635,7.538,1.5,-0.104,-1.5,192.184
2011-01-06,186.387,4.553,11.03,7.748,10.807,3.059,6.369,0.733,8.862,3.4,1.117,-0.2,197.418
2011-01-07,185.508,3.045,8.363,5.49,7.022,1.532,4.558,0.694,8.031,3.5,0.975,-1.2,193.87
2011-01-08,185.589,3.254,7.72,5.778,7.081,1.302,3.115,0.557,7.804,2.8,0.838,-0.5,193.309
2011-01-09,185.905,6.643,31.815,11.818,17.938,6.12,7.047,0.724,9.967,4.8,1.071,-2.2,217.72
2011-01-10,185.567,4.268,15.635,11.02,15.823,4.803,8.514,1.188,11.624,3.9,1.608,0.3,201.202
2011-01-11,185.291,3.313,8.235,8.456,11.329,2.873,7.893,0.942,11.18,0.5,-2.2,-4.7,193.526
2011-01-12,186.166,4.578,12.081,10.607,15.981,5.374,4.765,0.936,7.441,0.6,-2.404,-4.9,198.247
2011-01-13,188.295,4.722,12.8,12.632,18.12,5.488,9.035,1.053,11.299,1.5,-1.433,-4.5,201.095
2011-01-14,190.177,4.021,10.588,5.059,7.421,2.362,8.78,1.104,8.895,0.1,-1.783,-3.4,200.765
2011-01-15,189.187,2.868,8.729,3.983,5.023,1.041,8.045,1.359,10.781,1.9,-0.708,-3.4,197.916
2011-01-16,188.826,4.616,13.577,10.401,15.577,5.176,8.246,1.049,11.748,1.6,-0.696,-2.7,202.404
2011-01-17,189.161,5.346,17.131,14.054,22.079,8.025,10.422,0.98,12.499,2.7,0.05,-1.5,206.292
2011-01-18,189.094,6.637,25.845,17.904,29.821,11.918,11.228,1.438,16.363,6.5,2.625,-1.0,214.938
2011-01-19,164.064,5.428,13.513,14.327,21.509,7.182,12.499,1.238,18.507,5.1,2.133,-0.8,177.577
2011-01-20,184.008,3.675,7.605,8.118,10.566,2.448,7.638,0.693,12.595,2.7,1.108,-0.2,191.613
2011-01-21,183.987,4.247,10.281,12.237,16.62,4.383,8.487,0.635,12.211,1.3,-0.233,-1.8,194.268
2011-01-22,183.647,4.48,14.186,10.938,16.641,5.703,2.834,0.485,7.766,4.5,2.167,0.0,197.833
2011-01-23,185.466,4.153,11.352,8.113,11.419,3.306,4.699,0.8,8.975,5.3,2.45,-1.3,196.818
2011-01-24,184.966,3.643,9.26,7.727,10.001,2.274,4.882,0.911,9.321,2.4,-0.808,-2.5,194.226
2011-01-25,185.809,4.224,9.59,11.639,15.048,3.409,9.747,0.894,11.894,0.2,-2.342,-4.9,195.4
2011-01-26,186.761,4.148,14.697,9.708,13.929,4.222,7.166,0.71,9.816,-1.0,-3.379,-5.1,201.458
2011-01-27,186.89,4.086,9.577,12.16,16.274,4.114,10.596,0.764,12.406,-2.6,-3.722,-4.8,196.467
2011-01-28,186.546,3.567,7.08,8.853,12.49,3.638,8.242,0.938,11.683,-1.4,-4.15,-6.2,193.627
2011-01-29,187.074,4.497,10.063,6.021,7.901,1.881,5.316,0.607,8.308,-0.3,-3.75,-6.6,197.137
2011-01-30,186.395,4.369,11.518,11.713,16.928,5.215,6.249,0.639,9.796,0.9,-2.529,-5.7,197.914
2011-01-31,185.762,3.741,11.696,8.593,11.786,3.193,7.377,0.793,9.598,-1.6,-2.962,-4.7,197.458
2011-02-01,184.773,4.08,10.413,11.625,17.431,5.806,8.471,0.843,11.603,4.5,-0.925,-4.8,195.186
2011-02-02,184.727,3.791,10.196,10.557,15.184,4.627,4.509,0.763,7.808,-1.1,-2.979,-4.7,194.923
2011-02-03,185.594,5.235,13.123,16.791,27.19,10.399,8.143,0.633,10.873,0.4,-2.375,-6.3,198.716
2011-02-04,185.215,4.501,15.583,13.217,19.736,6.519,8.437,0.613,13.35,2.9,-1.146,-5.3,200.798
2011-02-05,186.588,4.636,14.089,9.718,13.06,3.341,8.896,0.788,11.585,3.6,0.142,-3.2,200.678
2011-02-06,186.966,6.397,23.32,18.49,31.477,12.986,16.026,0.976,18.889,5.4,1.65,-2.4,210.286
2011-02-07,186.668,5.873,15.917,16.059,26.57,10.511,13.81,0.779,15.615,6.2,3.604,1.7,202.586
2011-02-08,184.965,3.426,7.739,4.953,6.691,1.738,6.582,0.932,9.171,1.6,-1.612,-4.3,192.704
2011-02-09,185.146,3.223,8.417,6.558,8.628,2.07,5.773,0.582,8.252,-1.3,-2.925,-4.2,193.563
2011-02-10,184.407,4.1,12.84,12.714,18.338,5.624,8.815,0.767,11.08,1.9,-2.5,-5.0,197.247
2011-02-11,185.015,4.363,10.771,9.024,11.913,2.889,7.652,0.545,10.212,0.7,-2.929,-6.6,195.786
2011-02-12,183.991,2.79,5.787,3.888,4.8,0.912,6.241,0.393,9.83,0.1,-2.433,-4.9,189.778
2011-02-13,184.879,4.599,15.161,12.432,17.426,4.994,9.829,0.767,11.54,4.1,0.942,-1.4,200.039
2011-02-14,184.303,5.244,16.492,19.615,29.119,9.505,13.772,1.295,17.025,5.7,2.55,-1.2,200.795
2011-02-15,186.687,4.831,16.716,10.975,18.675,7.701,14.473,1.541,18.738,5.7,1.688,-1.6,203.403
2011-02-16,183.158,3.412,6.44,6.569,8.42,1.851,5.323,0.53,9.629,1.6,-1.329,-3.8,189.597
2011-02-17,184.348,3.861,9.628,10.623,13.881,3.258,9.62,0.919,11.63,1.0,-2.808,-5.8,193.975
2011-02-18,185.078,3.559,11.142,6.724,8.696,1.972,6.561,0.641,9.476,-0.7,-2.958,-5.3,196.219
2011-02-19,185.731,4.249,9.338,7.607,9.311,1.704,9.94,0.922,12.902,2.6,-1.717,-4.5,195.069
2011-02-20,187.191,6.455,23.33,14.116,21.363,7.247,13.354,0.642,13.544,3.6,0.526,-3.4,210.52
2011-02-21,185.916,5.286,14.87,12.732,18.776,6.044,17.862,2.148,19.547,7.0,2.588,-1.4,200.786
2011-02-22,185.03,4.07,13.315,12.322,16.151,3.829,11.593,1.081,15.432,4.1,0.192,-3.1,198.345
2011-02-23,183.073,4.57,16.99,16.027,21.727,5.7,10.953,0.69,15.426,10.8,3.012,-0.2,200.063
2011-02-24,186.808,4.031,8.907,6.689,7.943,1.254,19.082,2.284,24.499,6.1,3.754,0.2,195.715
2011-02-25,184.614,4.213,11.857,12.558,15.978,3.42,9.862,0.553,11.976,0.9,-0.112,-1.0,196.471
