date,CH4_mean,CO2_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,198.654,4244.167,3.993,89.66,68.998,42.946,42.714,11.024,15.109,4.086,10.424,1.803,14.8,6.334,0.826,-2.822,241.369
2011-01-02,191.816,4073.75,3.046,89.74,59.578,28.119,14.988,6.19,7.965,1.775,4.57,0.829,9.336,8.403,2.3,-2.285,206.805
2011-01-03,191.543,4134.167,3.219,72.269,48.847,22.169,14.134,7.202,9.068,1.865,0.607,0.958,5.634,7.032,1.478,-3.009,205.676
2011-01-04,193.52,4102.083,3.412,79.114,54.932,31.032,8.685,9.028,12.827,3.798,2.972,1.263,8.341,6.81,1.151,-2.631,202.205
2011-01-05,192.212,4291.5,3.394,78.013,60.176,37.6,8.665,11.14,17.39,6.25,2.147,1.273,7.7,3.524,-0.274,-3.28,200.877
2011-01-06,194.64,4229.583,3.853,78.758,57.505,28.993,13.641,16.938,28.416,11.478,5.981,2.013,11.27,6.706,0.724,-4.588,208.281
2011-01-07,193.398,4368.333,3.468,76.37,54.548,29.576,10.636,11.153,19.262,8.109,1.837,0.878,7.233,5.058,0.68,-2.693,204.034
2011-01-08,194.977,4354.583,3.436,75.696,54.832,29.235,10.086,9.435,13.609,4.174,2.625,1.307,8.09,5.333,-0.119,-4.314,205.063
2011-01-09,194.772,4267.917,3.474,79.111,58.772,33.715,10.123,12.619,18.666,6.048,6.554,1.798,12.258,6.733,0.823,-4.022,204.895
2011-01-10,194.598,4278.75,3.852,85.757,60.988,34.538,13.286,17.609,29.209,11.601,10.53,2.055,15.145,6.977,2.09,-2.289,207.883
2011-01-11,193.322,4111.667,3.246,81.471,56.557,32.446,9.705,13.105,22.989,9.884,7.829,1.185,13.56,6.236,1.2,-2.072,203.027
2011-01-12,192.703,4195.217,3.528,69.06,46.036,24.726,10.847,15.246,25.395,10.15,3.192,1.313,9.359,3.624,-1.477,-5.598,203.549
2011-01-13,194.458,4188.75,4.272,72.14,51.115,25.537,18.174,18.639,36.35,17.711,6.666,1.301,12.691,8.988,0.951,-5.958,212.632
2011-01-14,193.728,4064.583,3.451,70.567,44.994,25.466,11.938,10.617,17.311,6.695,6.405,1.449,10.687,4.448,0.248,-3.174,205.666
2011-01-15,195.231,4185.833,3.729,69.9,53.632,31.799,12.904,10.658,14.992,4.334,11.17,1.453,14.631,4.809,0.156,-3.771,208.135
2011-01-16,194.216,4127.917,3.814,71.858,51.686,33.869,14.193,15.831,29.613,13.782,11.832,1.121,16.087,3.764,0.454,-2.382,208.41
2011-01-17,192.88,4107.083,3.554,70.261,51.17,30.047,13.334,15.523,28.045,12.522,8.385,1.148,12.57,5.848,0.871,-2.454,206.213
2011-01-18,194.831,4158.333,4.497,72.975,55.597,29.623,18.529,21.022,37.388,16.366,15.234,2.011,19.445,7.191,0.69,-4.137,213.36
2011-01-19,193.12,4114.348,3.422,75.781,58.044,37.491,14.158,15.531,27.6,12.069,11.643,1.989,17.349,8.562,3.169,-2.239,207.278
2011-01-20,189.495,4037.917,2.596,95.423,88.486,73.268,8.336,10.195,14.709,4.513,7.206,0.983,13.09,1.957,0.976,0.313,197.831
2011-01-21,189.409,4145.0,2.34,98.806,94.673,84.407,7.985,9.93,15.047,5.117,2.551,1.223,7.771,1.719,0.79,-0.077,197.394
2011-01-22,189.201,4209.583,2.481,98.644,93.503,82.667,9.982,7.619,12.122,4.503,1.428,0.996,5.85,5.012,2.57,0.543,199.182
2011-01-23,192.807,4241.25,3.761,98.772,80.008,52.463,14.042,11.913,25.808,13.895,4.238,0.688,9.674,5.977,1.933,-0.673,206.848
2011-01-24,191.23,4121.25,3.125,88.724,60.02,39.484,11.219,13.716,20.8,7.084,5.436,1.062,10.028,2.741,-0.187,-2.772,202.45
