area_code,Total population (Both sexes),Total population (Male),Total population (Female),Total population (under 15),"Population (under 15, Male)","Population (under 15, Female)",Total population (15-64),"Population (15-64, Male)","Population (15-64, Female)",Total population (65 and over),"Population (65 and over, Male)","Population (65 and over, Female)","Population (0-5, Total)","Population (0-5, Male)","Population (0-5, Female)","Population (60 and over, Total)","Population (60 and over, Male)","Population (60 and over, Female)","Population (70 and over, Total)","Population (70 and over, Male)","Population (70 and over, Female)","Population (85 and over, Total)","Population (85 and over, Male)","Population (85 and over, Female)"
02303,2756,1293,1463,139,80,59,1225,640,585,1392,573,819,37,18,19,1674,715,959,1071,411,660,233,68,165
02304,2896,1368,1528,291,162,129,1500,741,759,1080,453,627,112,70,42,1351,594,757,812,320,492,185,51,134
02307,6198,2884,3314,437,244,193,2927,1505,1422,2832,1133,1699,126,69,57,3412,1390,2022,2169,806,1363,501,141,360
02321,10126,4580,5546,851,407,444,5230,2538,2692,4021,1619,2402,279,138,141,4919,2021,2898,3088,1158,1930,749,210,539
02323,8429,3876,4553,667,326,341,3986,2014,1972,3776,1536,2240,194,97,97,4535,1900,2635,2919,1155,1764,658,198,460
02343,1415,706,709,129,67,62,750,414,336,536,225,311,60,27,33,645,280,365,414,156,258,111,31,80
02361,15179,6985,8194,1808,930,878,8739,4264,4475,4628,1787,2841,640,321,319,5849,2403,3446,3446,1228,2218,772,185,587
02362,9676,4385,5291,786,403,383,5133,2500,2633,3755,1481,2274,226,124,102,4648,1911,2737,2785,1015,1770,581,159,422
02367,7783,3657,4126,890,445,445,4393,2196,2197,2491,1010,1481,334,165,169,3170,1305,1865,1844,686,1158,372,110,262
02381,13935,6347,7588,1492,751,741,7700,3708,3992,4741,1887,2854,501,258,243,5904,2432,3472,3562,1339,2223,740,200,540
02384,13392,6235,7157,1508,768,740,7492,3722,3770,4392,1745,2647,504,255,249,5515,2292,3223,3310,1247,2063,737,191,546
02387,11187,5224,5963,960,502,458,5921,2965,2956,4283,1746,2537,305,166,139,5362,2281,3081,3214,1212,2002,632,177,455
02401,13524,6248,7276,1425,701,724,7513,3711,3802,4565,1817,2748,494,244,250,5775,2383,3392,3334,1241,2093,790,208,582
02402,15709,7433,8276,1604,804,800,8419,4301,4118,5684,2327,3357,532,260,272,7177,3061,4116,4172,1580,2592,1001,271,730
02405,10423,4996,5427,1311,669,642,5790,2935,2855,3231,1340,1891,489,251,238,4159,1818,2341,2376,925,1451,559,162,397
02406,4535,2200,2335,446,229,217,2440,1320,1120,1649,651,998,139,77,62,2022,833,1189,1238,456,782,277,59,218
02408,17955,8506,9449,2008,1003,1005,9844,5036,4808,6050,2436,3614,701,355,346,7598,3202,4396,4464,1654,2810,1073,279,794
02411,10536,5816,4720,1291,633,658,6714,4039,2675,2427,1057,1370,482,247,235,3246,1505,1741,1730,696,1034,378,117,261
02412,24222,11565,12657,3438,1758,1680,14755,7231,7524,5984,2550,3434,1184,612,572,7971,3538,4433,4129,1643,2486,842,238,604
02423,5227,2650,2577,623,331,292,3007,1623,1384,1537,657,880,203,105,98,2032,910,1122,1108,446,662,228,78,150
02424,6607,3433,3174,761,391,370,3802,2146,1656,2044,896,1148,298,147,151,2640,1211,1429,1562,640,922,358,111,247
02425,1976,981,995,170,85,85,1032,550,482,774,346,428,52,31,21,982,452,530,565,243,322,106,36,70
02426,2148,1056,1092,191,90,101,1084,601,483,872,365,507,49,25,24,1099,493,606,671,258,413,171,51,120
02441,10135,4753,5382,997,506,491,5332,2697,2635,3784,1535,2249,317,147,170,4689,1947,2742,2868,1086,1782,657,186,471
02442,17433,8286,9147,1689,877,812,9541,4811,4730,6191,2589,3602,577,278,299,7793,3362,4431,4550,1756,2794,1096,301,795
02443,5554,2599,2955,516,267,249,2845,1426,1419,2192,905,1287,156,85,71,2720,1159,1561,1694,662,1032,391,118,273
02445,18312,8524,9788,1869,919,950,9882,4919,4963,6557,2682,3875,587,279,308,8188,3470,4718,4893,1846,3047,1262,351,911
02446,14025,6984,7041,1471,761,710,8599,4480,4119,3802,1642,2160,488,254,234,5059,2273,2786,2709,1061,1648,600,170,430
02450,2509,1200,1309,206,97,109,1177,629,548,1126,474,652,66,30,36,1377,612,765,888,350,538,229,69,160
03201,297631,141089,156542,36828,18677,18151,182979,89600,93379,73729,30403,43326,13783,6916,6867,93856,40043,53813,52743,20618,32125,11285,3310,7975
03202,56676,27868,28808,6060,3113,2947,31218,16535,14683,19167,8052,11115,2164,1131,1033,23757,10352,13405,14243,5590,8653,3160,929,2231
03203,38058,18581,19477,4014,2078,1936,20921,10918,10003,12906,5404,7502,1464,773,691,15978,6935,9043,9736,3818,5918,2153,603,1550
03205,97702,46260,51442,11622,5965,5657,54618,27518,27100,31259,12658,18601,4046,2053,1993,38764,16373,22391,23365,8927,14438,5450,1507,3943
03206,93511,46250,47261,12780,6592,6188,56581,29486,27095,23546,9747,13799,4687,2441,2246,30236,13049,17187,17060,6638,10422,3820,1095,2725
03207,35642,17027,18615,4505,2374,2131,20544,10237,10307,10527,4365,6162,1647,871,776,13336,5733,7603,7852,3039,4813,1763,485,1278
03208,28062,13526,14536,3000,1585,1415,14533,7576,6957,10471,4321,6150,1079,550,529,12794,5511,7283,8072,3087,4985,2002,613,1389
03209,121583,58804,62779,13750,7023,6727,67024,34578,32446,40468,16975,23493,4723,2454,2269,50849,22268,28581,30660,11972,18688,8004,2369,5635
03210,19758,9736,10022,1951,991,960,10472,5584,4888,7230,3064,4166,617,314,303,8861,3889,4972,5532,2213,3319,1346,383,963
03211,36802,18105,18697,3649,1808,1841,19994,10879,9115,13044,5329,7715,1349,651,698,16268,7027,9241,9970,3853,6117,2095,585,1510
03213,27611,12949,14662,3131,1580,1551,15264,7619,7645,9171,3720,5451,1101,567,534,11509,4857,6652,6938,2650,4288,1648,448,1200
03214,26355,12621,13734,2553,1325,1228,14267,7261,7006,9528,4030,5498,877,438,439,12092,5328,6764,7309,2849,4460,1803,564,1239
03215,119422,57377,62045,14400,7368,7032,66315,33939,32376,38526,15955,22571,5142,2584,2558,47941,20734,27207,28962,11239,17723,6997,2049,4948
03216,55463,27095,28368,7970,4065,3905,35312,17628,17684,11858,5216,6642,2959,1465,1494,15972,7199,8773,7802,3297,4505,1510,401,1109
03301,16981,8087,8894,1815,915,900,9467,4756,4711,5691,2412,3279,627,313,314,7217,3174,4043,4162,1639,2523,936,255,681
03302,6344,3026,3318,509,250,259,3136,1664,1472,2697,1111,1586,186,93,93,3359,1453,1906,2080,793,1287,487,141,346
03303,13692,6626,7066,1389,714,675,7466,3916,3550,4832,1991,2841,449,220,229,6063,2639,3424,3700,1405,2295,915,278,637
03321,32614,15482,17132,4141,2109,2032,18866,9308,9558,9159,3829,5330,1392,712,680,11707,5042,6665,6466,2528,3938,1308,387,921
03322,27678,13155,14523,3620,1783,1837,17453,8575,8878,6527,2765,3762,1281,648,633,8562,3780,4782,4483,1752,2731,1059,288,771
03366,5880,2734,3146,459,242,217,2661,1412,1249,2760,1080,1680,151,89,62,3299,1362,1937,2245,820,1425,647,188,459
03381,15895,8067,7828,2030,1088,942,9362,5075,4287,4500,1902,2598,709,390,319,5712,2530,3182,3412,1353,2059,845,244,601
03402,7868,3762,4106,898,461,437,4222,2171,2051,2746,1129,1617,324,175,149,3465,1490,1975,2039,782,1257,516,139,377
03441,5720,2764,2956,482,236,246,2871,1543,1328,2365,984,1381,157,77,80,2857,1249,1608,1886,741,1145,536,170,366
03461,11759,5778,5981,1193,619,574,6555,3487,3068,4009,1671,2338,444,232,212,5062,2253,2809,2943,1145,1798,579,170,409
03482,15826,7732,8094,1655,849,806,8568,4500,4068,5603,2383,3220,562,271,291,6935,3061,3874,4075,1619,2456,799,231,568
03483,9841,4788,5053,946,491,455,4891,2586,2305,4004,1711,2293,332,169,163,4886,2167,2719,3123,1254,1869,693,211,482
03484,3466,1719,1747,385,188,197,1789,974,815,1292,557,735,137,69,68,1633,752,881,970,399,571,257,84,173
03485,2795,1379,1416,275,148,127,1478,797,681,1042,434,608,94,55,39,1301,560,741,798,311,487,207,55,152
03501,9333,4489,4844,931,466,465,5004,2623,2381,3398,1400,1998,310,155,155,4295,1865,2430,2625,989,1636,619,186,433
03503,4149,1962,2187,434,229,205,2261,1144,1117,1452,587,865,157,80,77,1801,770,1031,1103,419,684,260,82,178
03506,5865,2804,3061,625,331,294,2962,1533,1429,2278,940,1338,208,115,93,2875,1254,1621,1748,669,1079,415,124,291
03507,16693,7796,8897,1781,904,877,8953,4409,4544,5959,2483,3476,598,297,301,7498,3222,4276,4494,1742,2752,1009,294,715
03524,12919,6146,6773,1211,655,556,6879,3534,3345,4829,1957,2872,414,223,191,6106,2634,3472,3736,1404,2332,943,274,669
