area_code,Total population (Both sexes),Total population (Male),Total population (Female),Total population (under 15),"Population (under 15, Male)","Population (under 15, Female)",Total population (15-64),"Population (15-64, Male)","Population (15-64, Female)",Total population (65 and over),"Population (65 and over, Male)","Population (65 and over, Female)","Population (0-5, Total)","Population (0-5, Male)","Population (0-5, Female)","Population (60 and over, Total)","Population (60 and over, Male)","Population (60 and over, Female)","Population (70 and over, Total)","Population (70 and over, Male)","Population (70 and over, Female)","Population (85 and over, Total)","Population (85 and over, Male)","Population (85 and over, Female)"
01458,8111,3719,4392,1057,510,547,4450,2099,2351,2603,1109,1494,370,184,186,3176,1389,1787,1883,772,1111,487,154,333
01459,10292,4826,5466,1116,541,575,5437,2690,2747,3735,1592,2143,406,199,207,4543,1977,2566,2856,1180,1676,671,224,447
01460,10826,5442,5384,1415,731,684,6141,3259,2882,3234,1420,1814,526,282,244,3993,1790,2203,2347,1008,1339,466,152,314
01461,5069,2405,2664,648,322,326,2703,1334,1369,1672,724,948,228,109,119,2060,916,1144,1253,514,739,267,92,175
01462,2555,1273,1282,288,152,136,1451,777,674,816,344,472,117,55,62,981,426,555,632,254,378,181,64,117
01463,1211,604,607,116,58,58,770,396,374,311,138,173,40,22,18,396,185,211,219,92,127,48,16,32
01464,3596,1656,1940,360,181,179,1709,865,844,1527,610,917,122,63,59,1788,735,1053,1186,456,730,334,94,240
01465,3228,1567,1661,307,164,143,1733,885,848,1188,518,670,88,46,42,1489,668,821,912,378,534,238,91,147
01468,3547,1718,1829,350,173,177,1827,969,858,1370,576,794,115,51,64,1653,706,947,1055,423,632,273,83,190
01469,4659,2287,2372,431,237,194,2495,1291,1204,1728,755,973,160,90,70,2121,939,1182,1340,561,779,336,127,209
01470,832,435,397,45,16,29,558,317,241,229,102,127,20,8,12,308,146,162,179,78,101,38,17,21
01471,1767,938,829,183,103,80,958,555,403,626,280,346,77,41,36,765,353,412,489,208,281,101,32,69
01472,1525,754,771,154,76,78,774,407,367,597,271,326,40,23,17,705,321,384,451,197,254,102,43,59
01481,4497,2024,2473,427,234,193,2179,1040,1139,1891,750,1141,150,86,64,2297,913,1384,1457,547,910,394,113,281
01482,3336,1585,1751,301,161,140,1811,919,892,1224,505,719,113,62,51,1503,636,867,957,378,579,213,72,141
01483,3265,1549,1716,333,176,157,1657,843,814,1275,530,745,117,55,62,1536,656,880,1020,415,605,241,73,168
01484,7327,3490,3837,789,408,381,3629,1882,1747,2903,1195,1708,291,143,148,3522,1489,2033,2214,891,1323,548,188,360
01485,1217,578,639,114,53,61,666,345,321,437,180,257,41,20,21,527,227,300,344,138,206,69,19,50
01486,2806,1368,1438,296,158,138,1447,760,687,1063,450,613,117,64,53,1307,573,734,836,345,491,221,79,142
01487,3243,1643,1600,364,187,177,1830,1005,825,1049,451,598,139,78,61,1351,604,747,756,310,446,194,59,135
01511,2684,1282,1402,416,187,229,1656,843,813,612,252,360,155,80,75,798,345,453,437,168,269,115,39,76
01512,3881,1871,2010,416,210,206,2218,1131,1087,1246,529,717,142,64,78,1586,691,895,897,363,534,217,65,152
01513,1757,869,888,158,82,76,918,490,428,680,296,384,55,28,27,825,364,461,516,223,293,149,38,111
01514,8437,3983,4454,990,500,490,4729,2337,2392,2717,1145,1572,310,163,147,3423,1470,1953,1983,798,1185,420,125,295
01516,4054,2037,2017,477,268,209,2352,1255,1097,1224,514,710,179,108,71,1626,729,897,912,366,546,222,61,161
01517,2773,1398,1375,269,148,121,1561,843,718,943,407,536,101,55,46,1214,552,662,708,293,415,186,66,120
01518,2303,1122,1181,217,93,124,1211,652,559,875,377,498,77,43,34,1078,485,593,676,277,399,183,69,114
01519,2787,1321,1466,340,179,161,1447,741,706,1000,401,599,123,70,53,1219,510,709,797,307,490,243,78,165
01520,2447,1279,1168,320,166,154,1478,842,636,649,271,378,143,65,78,874,395,479,461,172,289,107,32,75
01543,20296,9763,10533,2376,1228,1148,11374,5750,5624,6533,2775,3758,884,450,434,8089,3521,4568,4740,1931,2809,995,304,691
01544,5008,2427,2581,432,233,199,2483,1320,1163,2093,874,1219,178,91,87,2565,1092,1473,1593,623,970,383,120,263
01545,12231,6113,6118,1426,747,679,7139,3794,3345,3666,1572,2094,552,276,276,4721,2076,2645,2620,1070,1550,568,177,391
01546,4221,2049,2172,528,296,232,2179,1119,1060,1514,634,880,206,117,89,1834,793,1041,1152,452,700,301,84,217
01547,5085,2414,2671,599,291,308,2710,1377,1333,1773,744,1029,244,129,115,2182,950,1232,1331,537,794,317,103,214
01549,5100,2412,2688,616,296,320,2654,1321,1333,1830,795,1035,222,105,117,2250,1005,1245,1360,573,787,329,102,227
01550,3092,1424,1668,287,141,146,1496,729,767,1305,550,755,107,45,62,1554,661,893,1021,419,602,301,95,206
01552,5362,2498,2864,601,292,309,2755,1343,1412,2006,863,1143,209,113,96,2447,1067,1380,1500,630,870,379,116,263
01555,20873,10081,10792,2413,1239,1174,11111,5728,5383,7334,3105,4229,911,467,444,8899,3843,5056,5509,2282,3227,1292,436,856
01559,9231,4378,4853,965,491,474,4961,2501,2460,3305,1386,1919,313,159,154,4064,1757,2307,2525,1020,1505,647,211,436
01560,2721,1292,1429,239,127,112,1362,702,660,1120,463,657,96,51,45,1361,576,785,859,342,517,224,66,158
01561,3909,1895,2014,464,254,210,2218,1131,1087,1227,510,717,179,93,86,1526,653,873,903,361,542,185,64,121
01562,1116,542,574,119,61,58,630,345,285,367,136,231,51,26,25,443,179,264,311,111,200,104,27,77
01563,4525,2136,2389,499,258,241,2588,1303,1285,1438,575,863,189,89,100,1827,763,1064,1085,431,654,222,63,159
01564,7360,3552,3808,926,476,450,3969,2027,1942,2464,1048,1416,319,152,167,3070,1354,1716,1821,734,1087,498,170,328
01571,4291,2000,2291,442,219,223,2315,1141,1174,1534,640,894,179,88,91,1869,788,1081,1179,460,719,328,92,236
01575,2922,1370,1552,282,152,130,1402,714,688,1238,504,734,96,56,40,1478,624,854,975,382,593,311,80,231
01578,17740,8489,9251,1475,758,717,8978,4544,4434,7204,3131,4073,471,236,235,8866,3934,4932,5206,2220,2986,979,297,682
01581,4838,2482,2356,532,278,254,2592,1449,1143,1714,755,959,199,115,84,2115,979,1136,1277,533,744,321,108,213
01584,9299,4280,5019,823,431,392,4697,2254,2443,3738,1570,2168,261,135,126,4502,1949,2553,2822,1138,1684,686,221,465
01585,8148,4049,4099,887,445,442,4429,2380,2049,2814,1209,1605,323,163,160,3406,1506,1900,2074,867,1207,458,157,301
01586,8596,4211,4385,845,435,410,4609,2463,2146,3141,1312,1829,294,165,129,3933,1722,2211,2353,954,1399,558,183,375
01601,12378,6174,6204,1456,738,718,6961,3721,3240,3961,1715,2246,539,276,263,5003,2251,2752,2900,1217,1683,659,216,443
01602,5315,2630,2685,662,335,327,2949,1567,1382,1704,728,976,227,113,114,2105,925,1180,1243,505,738,269,87,182
01604,5592,2717,2875,733,361,372,3115,1629,1486,1708,698,1010,259,131,128,2149,923,1226,1268,493,775,369,99,270
01607,13075,6368,6707,1509,802,707,7670,3955,3715,3895,1610,2285,551,287,264,4962,2134,2828,2851,1126,1725,644,200,444
01608,4518,2139,2379,449,232,217,2432,1222,1210,1635,683,952,154,77,77,2092,912,1180,1198,468,730,295,80,215
01609,4906,2449,2457,687,357,330,2852,1505,1347,1367,587,780,262,132,130,1799,799,1000,979,390,589,202,73,129
01610,23231,11188,12043,2798,1445,1353,12991,6613,6378,7427,3121,4306,1132,588,544,9269,4013,5256,5491,2237,3254,1195,386,809
01631,44807,21080,23727,6645,3380,3265,26252,12586,13666,11866,5093,6773,2271,1124,1147,14937,6531,8406,8548,3516,5032,1892,598,1294
