date,CO_mean,PM25_mean,SPM_mean
2011-01-01,6.542,,18.917
2011-01-02,4.167,,9.708
2011-01-03,4.435,,4.875
2011-01-04,5.417,,10.292
2011-01-05,5.0,,6.25
2011-01-06,8.958,,14.333
2011-01-07,5.833,,11.292
2011-01-08,4.632,,10.842
2011-01-09,5.25,,15.833
2011-01-10,8.217,,24.826
2011-01-11,6.083,,17.042
2011-01-12,5.458,,12.417
2011-01-13,6.708,,14.042
2011-01-14,6.083,,11.875
2011-01-15,7.083,,19.917
2011-01-16,4.833,,15.333
2011-01-17,4.391,,17.417
2011-01-18,7.417,,23.75
2011-01-19,6.5,,24.739
2011-01-20,5.292,,10.958
2011-01-21,5.167,,14.25
2011-01-22,7.042,,22.917
2011-01-23,6.208,,15.542
2011-01-24,4.348,,6.917
2011-01-25,5.292,,9.875
2011-01-26,5.958,,12.167
2011-01-27,6.792,,11.125
2011-01-28,6.292,,15.917
2011-01-29,4.083,,11.083
2011-01-30,6.375,,13.583
2011-01-31,6.304,,11.292
2011-02-01,6.042,,17.25
2011-02-02,4.0,,6.25
2011-02-03,6.667,,11.25
2011-02-04,5.792,,12.583
2011-02-05,6.125,,19.75
2011-02-06,7.75,,35.375
2011-02-07,12.304,,49.833
2011-02-08,3.583,,7.652
2011-02-09,4.167,,5.167
2011-02-10,5.0,,9.417
2011-02-11,4.875,,10.125
2011-02-12,3.583,,7.375
2011-02-13,5.417,,18.125
2011-02-14,6.174,,24.625
2011-02-15,6.167,,19.958
2011-02-16,4.292,,19.0
2011-02-17,5.542,,14.583
2011-02-18,3.0,,6.333
2011-02-19,4.625,,12.417
2011-02-20,6.208,,14.417
2011-02-21,5.478,,18.875
2011-02-22,5.708,,28.042
2011-02-23,7.0,,30.5
2011-02-24,5.583,,23.625
2011-02-25,4.625,,14.333
2011-02-26,3.083,,8.833
2011-02-27,2.792,,7.417
2011-02-28,3.565,,11.625
2011-03-01,6.458,,16.125
2011-03-02,7.417,,22.208
2011-03-03,3.875,,11.417
2011-03-04,4.958,,24.208
2011-03-05,5.792,,12.833
2011-03-06,6.391,,19.955
2011-03-07,6.6,,20.375
2011-03-08,5.957,,28.25
2011-03-09,5.875,,17.333
2011-03-10,4.458,,3.292
2011-03-11,4.208,,8.5
2011-03-12,3.792,,5.458
2011-03-13,3.304,,6.917
2011-03-14,3.708,,10.583
2011-03-15,3.667,,15.75
2011-03-16,4.0,,14.417
2011-03-17,6.042,,36.167
2011-03-18,7.478,,53.682
2011-03-19,3.739,,12.042
2011-03-20,3.435,,10.917
2011-03-21,2.708,,6.083
2011-03-22,3.833,,12.375
2011-03-23,5.125,,19.792
2011-03-24,4.583,,13.333
2011-03-25,4.083,,7.542
2011-03-26,4.87,,11.739
2011-03-27,4.913,,15.542
2011-03-28,4.375,,19.083
2011-03-29,3.478,,14.625
2011-03-30,3.957,,18.957
2011-03-31,2.792,,7.25
2011-04-01,4.083,,10.917
2011-04-02,4.167,,23.833
2011-04-03,3.125,,14.917
2011-04-04,2.458,,9.542
2011-04-05,3.652,,9.958
2011-04-06,4.0,,16.167
2011-04-07,4.667,,23.333
2011-04-08,3.542,,11.375
2011-04-09,3.292,,8.958
2011-04-10,3.708,,13.417
2011-04-11,3.542,,23.917
2011-04-12,3.0,,16.0
2011-04-13,3.958,,23.25
2011-04-14,4.417,,27.217
2011-04-15,3.75,,27.5
2011-04-16,3.333,,20.125
2011-04-17,3.25,,18.292
2011-04-18,3.417,,23.167
2011-04-19,3.652,,10.792
2011-04-20,3.583,,7.375
2011-04-21,3.917,,13.583
2011-04-22,3.708,,17.667
2011-04-23,4.083,,17.5
2011-04-24,3.542,,9.417
2011-04-25,3.708,,10.708
2011-04-26,4.522,,13.542
2011-04-27,4.333,,33.5
2011-04-28,3.125,,8.042
2011-04-29,3.042,,6.625
2011-04-30,3.917,,16.458
2011-05-01,3.5,,19.542
2011-05-02,4.583,,50.208
2011-05-03,4.087,,60.81
2011-05-04,3.875,,35.542
2011-05-05,4.0,,30.458
2011-05-06,4.417,,34.625
2011-05-07,4.375,,19.292
2011-05-08,3.333,,22.458
2011-05-09,4.292,,30.125
2011-05-10,4.435,,45.083
2011-05-11,4.583,,9.708
2011-05-12,5.458,,19.478
2011-05-13,3.583,,33.708
2011-05-14,2.875,,28.167
2011-05-15,3.042,,16.333
2011-05-16,3.917,,28.5
2011-05-17,3.826,,32.87
2011-05-18,3.75,,25.875
2011-05-19,4.042,,33.833
2011-05-20,3.792,,45.667
2011-05-21,3.5,,47.417
2011-05-22,3.292,,30.667
2011-05-23,3.583,,6.417
2011-05-24,3.348,,9.208
2011-05-25,3.25,,21.792
2011-05-26,3.875,,24.375
2011-05-27,4.083,,18.708
2011-05-28,4.917,,20.792
2011-05-29,4.75,,12.042
2011-05-30,3.154,,8.0
2011-05-31,3.875,,9.238
2011-06-01,3.917,,20.333
2011-06-02,4.5,,20.792
2011-06-03,3.708,,13.625
2011-06-04,4.083,,31.625
2011-06-05,4.292,,48.417
2011-06-06,3.833,,35.167
2011-06-07,4.13,,34.792
2011-06-08,3.625,,19.208
2011-06-09,3.917,,24.5
2011-06-10,4.333,,33.75
2011-06-11,4.583,,24.958
2011-06-12,4.583,,25.458
2011-06-13,4.083,,12.708
2011-06-14,4.19,,24.667
2011-06-15,3.708,,13.875
2011-06-16,4.208,,26.5
2011-06-17,4.292,,16.652
2011-06-18,4.542,,15.708
2011-06-19,4.333,,11.458
2011-06-20,3.833,,20.889
2011-06-21,3.391,,
2011-06-22,3.833,,
2011-06-23,3.625,,
2011-06-24,3.083,,
2011-06-25,3.292,,
2011-06-26,3.208,,
2011-06-27,2.917,,
2011-06-28,2.913,,
2011-06-29,3.167,,
2011-06-30,3.458,,
2011-07-01,3.292,,
2011-07-02,3.208,,
2011-07-03,3.5,,
2011-07-04,3.375,,
2011-07-05,3.348,,
2011-07-06,4.0,,
2011-07-07,5.042,,
2011-07-08,3.708,,
2011-07-09,3.625,,
2011-07-10,3.208,,
2011-07-11,3.25,,
2011-07-12,2.913,,
2011-07-13,2.708,,
2011-07-14,2.833,,
2011-07-15,3.167,,
2011-07-16,3.125,,
2011-07-17,2.917,,
2011-07-18,2.708,,
2011-07-19,3.261,,
2011-07-20,3.458,,
2011-07-21,2.238,,
2011-07-22,2.917,,
2011-07-23,3.417,,
2011-07-24,3.542,,
2011-07-25,3.167,,
2011-07-26,3.087,,
2011-07-27,3.5,,
2011-07-28,4.292,,
2011-07-29,4.333,,
2011-07-30,3.708,,20.267
2011-07-31,3.25,,12.125
2011-08-01,4.042,,23.5
2011-08-02,4.522,,41.333
2011-08-03,3.565,,33.913
2011-08-04,3.167,,21.208
2011-08-05,2.75,,13.542
2011-08-06,3.083,,14.0
2011-08-07,3.5,,16.708
2011-08-08,3.625,,22.565
2011-08-09,4.087,,27.913
2011-08-10,4.208,,52.625
2011-08-11,3.833,,53.083
2011-08-12,4.0,,40.958
2011-08-13,4.375,,50.045
2011-08-14,4.083,,51.792
2011-08-15,3.042,,45.75
2011-08-16,3.652,,44.958
2011-08-17,3.917,,50.833
2011-08-18,3.5,,56.833
2011-08-19,3.375,,30.542
2011-08-20,3.792,,11.375
2011-08-21,4.333,,16.0
2011-08-22,4.167,,11.083
2011-08-23,4.087,,32.875
2011-08-24,3.0,,23.958
2011-08-25,4.167,,8.917
2011-08-26,3.375,,14.5
2011-08-27,3.083,,11.333
2011-08-28,3.0,,20.167
2011-08-29,3.792,,28.0
2011-08-30,3.087,,20.292
2011-08-31,3.875,,18.917
2011-09-01,4.208,,13.5
2011-09-02,4.292,,14.792
2011-09-03,3.167,,15.375
2011-09-04,2.708,,9.208
2011-09-05,3.75,,11.458
2011-09-06,2.565,,8.167
2011-09-07,3.333,,17.458
2011-09-08,3.917,,24.708
2011-09-09,4.25,,34.696
2011-09-10,3.75,,29.833
2011-09-11,3.417,,20.208
2011-09-12,3.042,,14.292
2011-09-13,3.13,,20.667
2011-09-14,3.0,,21.125
2011-09-15,3.208,,21.292
2011-09-16,3.0,,26.13
2011-09-17,3.5,,11.708
2011-09-18,3.125,,11.375
2011-09-19,3.042,,19.5
2011-09-20,3.261,,10.208
2011-09-21,3.167,,4.417
2011-09-22,3.333,,8.833
2011-09-23,2.667,,7.875
2011-09-24,3.375,,11.167
2011-09-25,3.5,,18.333
2011-09-26,5.292,,28.917
2011-09-27,4.043,,19.25
2011-09-28,3.417,,15.708
2011-09-29,4.0,,26.542
2011-09-30,5.417,,40.458
2011-10-01,3.25,,15.167
2011-10-02,2.625,,12.042
2011-10-03,2.292,,6.458
2011-10-04,3.609,,14.208
2011-10-05,5.167,,30.042
2011-10-06,5.0,,16.792
2011-10-07,3.5,,18.208
2011-10-08,4.875,,27.167
2011-10-09,4.75,,30.625
2011-10-10,4.583,,28.0
2011-10-11,5.261,,42.609
2011-10-12,5.083,,45.125
2011-10-13,5.667,,52.125
2011-10-14,5.333,,48.75
2011-10-15,5.458,,31.333
2011-10-16,4.125,,13.5
2011-10-17,5.042,,22.25
2011-10-18,3.783,,21.917
2011-10-19,4.083,,18.333
2011-10-20,3.542,,12.75
2011-10-21,4.833,,18.375
2011-10-22,5.833,,20.375
2011-10-23,5.042,,18.667
2011-10-24,4.458,,20.458
2011-10-25,4.043,,22.833
2011-10-26,2.458,,6.348
2011-10-27,4.083,,17.042
2011-10-28,5.583,,25.667
2011-10-29,5.458,,28.25
2011-10-30,5.75,,37.0
2011-10-31,4.042,,24.0
2011-11-01,4.522,,13.125
2011-11-02,5.25,,20.333
2011-11-03,6.417,,40.708
2011-11-04,6.333,,36.792
2011-11-05,6.042,,41.625
2011-11-06,5.375,,46.917
2011-11-07,4.875,,22.292
2011-11-08,2.652,,6.417
2011-11-09,4.708,,19.0
2011-11-10,4.833,,21.417
2011-11-11,5.917,,23.875
2011-11-12,5.833,,15.583
2011-11-13,4.5,,14.792
2011-11-14,5.417,,20.708
2011-11-15,5.0,,19.25
2011-11-16,4.75,,13.375
2011-11-17,5.826,,18.087
2011-11-18,6.917,,30.292
2011-11-19,8.5,,30.0
2011-11-20,6.292,,15.625
2011-11-21,3.75,,4.958
2011-11-22,5.261,,10.417
2011-11-23,5.083,,18.667
2011-11-24,4.417,,13.0
2011-11-25,4.917,,7.042
2011-11-26,6.458,,14.708
2011-11-27,7.625,,26.833
2011-11-28,11.083,,52.917
2011-11-29,13.913,,73.667
2011-11-30,9.458,,46.792
2011-12-01,4.167,,12.125
2011-12-02,4.542,,7.167
2011-12-03,7.917,,15.292
2011-12-04,3.583,,3.625
2011-12-05,4.875,,9.917
2011-12-06,5.609,,15.667
2011-12-07,7.333,,26.0
2011-12-08,6.917,,36.25
2011-12-09,4.833,,4.652
2011-12-10,7.375,,13.083
2011-12-11,7.792,,19.042
2011-12-12,9.75,,22.958
2011-12-13,8.217,,20.958
2011-12-14,7.875,,24.958
2011-12-15,7.875,,25.208
2011-12-16,5.167,,10.0
2011-12-17,7.458,,11.833
2011-12-18,6.958,,13.565
2011-12-19,7.667,,14.25
2011-12-20,6.478,,11.375
2011-12-21,7.458,,19.792
2011-12-22,10.125,,35.125
2011-12-23,4.583,,10.125
2011-12-24,8.542,,17.042
2011-12-25,6.583,,10.542
2011-12-26,5.333,,6.5
2011-12-27,7.478,,12.333
2011-12-28,6.625,,19.042
2011-12-29,8.75,,27.833
2011-12-30,3.833,,7.917
2011-12-31,5.417,,15.125
2012-01-01,5.217,10.542,10.583
2012-01-02,4.792,13.458,13.208
2012-01-03,2.417,4.087,3.5
2012-01-04,3.292,5.591,2.958
2012-01-05,6.667,16.565,16.667
2012-01-06,8.042,24.792,28.292
2012-01-07,9.174,21.348,24.636
2012-01-08,9.043,22.333,29.292
2012-01-09,8.458,25.375,31.167
2012-01-10,5.917,13.167,14.417
2012-01-11,7.042,13.458,14.167
2012-01-12,8.708,24.125,29.167
2012-01-13,7.474,27.158,29.105
2012-01-14,6.458,18.913,27.417
2012-01-15,4.522,12.864,12.625
2012-01-16,7.875,21.542,25.333
2012-01-17,7.333,22.391,23.167
2012-01-18,4.25,7.524,5.0
2012-01-19,7.542,12.208,13.708
2012-01-20,6.5,15.667,18.167
2012-01-21,8.125,20.917,25.583
2012-01-22,6.478,24.4,25.792
2012-01-23,4.625,9.208,10.125
2012-01-24,6.292,12.792,19.583
2012-01-25,5.0,9.522,11.208
2012-01-26,3.167,4.958,3.833
2012-01-27,4.375,10.0,9.292
2012-01-28,4.13,7.957,6.958
2012-01-29,6.826,12.875,15.208
2012-01-30,5.708,14.542,16.417
2012-01-31,6.5,19.125,19.792
2012-02-01,7.0,22.5,25.042
2012-02-02,6.167,17.5,24.542
2012-02-03,3.75,8.217,8.75
2012-02-04,6.25,15.25,22.25
2012-02-05,4.043,11.333,12.792
2012-02-06,5.667,13.458,19.25
2012-02-07,5.042,12.917,17.125
2012-02-08,3.042,5.652,5.292
2012-02-09,3.75,9.417,8.652
2012-02-10,3.833,13.375,13.292
2012-02-11,4.458,13.625,13.667
2012-02-12,6.0,21.5,24.833
2012-02-13,4.5,9.5,8.792
2012-02-14,5.542,11.667,13.792
2012-02-15,6.042,14.292,17.292
2012-02-16,3.25,7.0,7.0
2012-02-17,4.542,14.957,13.833
2012-02-18,6.917,22.167,27.667
2012-02-19,6.091,18.043,23.13
2012-02-20,3.042,6.917,7.583
2012-02-21,4.125,10.087,9.625
2012-02-22,5.417,13.565,13.458
2012-02-23,3.417,11.083,11.042
2012-02-24,2.917,9.0,8.083
2012-02-25,3.458,7.458,7.292
2012-02-26,4.957,17.75,19.208
2012-02-27,5.217,17.043,23.87
2012-02-28,5.458,16.458,20.042
2012-03-01,5.333,15.917,21.0
2012-03-02,3.375,13.739,15.708
2012-03-03,3.875,17.417,17.125
2012-03-04,3.542,12.667,15.667
2012-03-05,4.478,12.583,14.583
2012-03-06,4.667,25.292,31.708
2012-03-07,5.792,40.667,56.708
2012-03-08,5.13,26.261,36.304
2012-03-09,4.5,25.792,33.292
2012-03-10,3.75,18.696,23.5
2012-03-11,2.875,10.826,11.708
2012-03-12,4.087,14.583,15.417
2012-03-13,3.958,14.208,21.083
2012-03-14,3.0,8.318,8.208
2012-03-15,4.292,15.333,19.542
2012-03-16,3.833,16.833,20.417
2012-03-17,4.25,22.208,27.375
2012-03-18,4.0,25.375,40.0
2012-03-19,3.5,12.714,17.13
2012-03-20,3.708,20.708,25.083
2012-03-21,3.042,6.773,9.0
2012-03-22,3.583,11.5,13.833
2012-03-23,3.458,14.75,17.708
2012-03-24,3.875,18.875,23.875
2012-03-25,3.542,21.318,23.833
2012-03-26,3.636,9.348,10.478
2012-03-27,4.292,13.875,16.833
2012-03-28,4.083,13.333,15.625
2012-03-29,4.083,16.292,21.583
2012-03-30,4.125,13.458,13.583
2012-03-31,4.5,16.958,21.417
2012-04-01,3.042,11.333,13.292
2012-04-02,4.0,11.87,12.583
2012-04-03,3.87,12.043,18.125
2012-04-04,2.5,7.042,6.833
2012-04-05,4.542,18.458,19.833
2012-04-06,3.522,16.231,14.565
2012-04-07,3.125,,11.435
