date,NO2_mean,NOX_mean,NO_mean,SPM_mean
2011-05-18,16.333,17.208,0.875,34.917
2011-05-19,24.708,25.417,0.708,38.125
2011-05-20,27.958,29.292,1.333,47.875
2011-05-21,20.042,21.292,1.25,54.875
2011-05-22,9.792,10.25,0.458,41.875
2011-05-23,12.261,12.957,0.696,18.333
2011-05-24,18.375,18.875,0.5,15.75
2011-05-25,21.292,22.333,1.042,32.125
2011-05-26,11.391,11.652,0.261,26.5
2011-05-27,13.333,13.958,0.625,26.833
2011-05-28,13.667,14.583,0.917,21.5
2011-05-29,9.5,10.125,0.625,15.792
2011-05-30,16.957,20.478,3.522,14.417
2011-05-31,20.208,24.167,3.958,20.458
2011-06-01,8.375,8.833,0.458,34.5
2011-06-02,30.083,32.125,2.042,31.833
2011-06-03,24.083,27.417,3.333,33.167
2011-06-04,16.792,17.5,0.708,45.792
2011-06-05,20.417,22.708,2.292,60.542
2011-06-06,16.957,18.435,1.478,45.167
2011-06-07,24.417,26.708,2.292,47.417
2011-06-08,20.958,22.292,1.333,29.5
2011-06-09,13.952,14.286,0.333,30.714
2011-06-10,18.625,19.0,0.375,46.083
2011-06-11,13.917,14.5,0.583,43.417
2011-06-12,11.0,12.083,1.083,47.125
2011-06-13,13.13,13.87,0.739,38.708
2011-06-14,6.875,6.875,0.0,20.833
2011-06-15,11.458,12.208,0.75,17.292
2011-06-16,14.625,17.833,3.208,24.5
2011-06-17,10.625,11.25,0.625,16.833
2011-06-18,8.958,9.083,0.125,26.292
2011-06-19,11.917,13.625,1.708,28.625
2011-06-20,21.783,22.261,0.478,46.125
2011-06-21,33.792,38.625,4.833,51.208
2011-06-22,27.417,29.708,2.292,48.042
2011-06-23,30.375,31.5,1.125,75.583
2011-06-24,25.042,27.917,2.875,32.333
2011-06-25,9.208,9.25,0.042,15.75
2011-06-26,5.542,5.542,0.0,17.167
2011-06-27,11.478,12.174,0.696,22.75
2011-06-28,15.833,17.542,1.708,39.042
2011-06-29,18.042,21.75,3.708,29.75
2011-06-30,21.75,23.583,1.833,36.667
2011-07-01,16.417,17.458,1.042,34.0
2011-07-02,10.25,11.167,0.917,36.625
2011-07-03,7.167,7.542,0.375,36.083
2011-07-04,15.565,17.043,1.478,57.792
2011-07-05,18.375,22.042,3.667,31.958
2011-07-06,18.208,23.667,5.458,28.458
2011-07-07,19.5,21.083,1.583,30.167
2011-07-08,22.143,26.238,4.095,31.13
2011-07-09,15.958,18.583,2.625,35.125
2011-07-10,13.542,15.292,1.75,29.167
2011-07-11,13.261,16.0,2.739,26.792
2011-07-12,15.958,17.667,1.708,27.292
2011-07-13,15.875,17.875,2.0,26.542
2011-07-14,20.25,22.958,2.708,30.25
2011-07-15,24.583,28.083,3.5,33.833
2011-07-16,19.708,21.375,1.667,30.083
2011-07-17,14.333,15.458,1.125,33.958
2011-07-18,15.435,17.435,2.0,34.208
2011-07-19,20.125,28.0,7.875,22.625
2011-07-20,13.792,17.375,3.583,20.542
2011-07-21,14.208,18.792,4.583,14.25
2011-07-22,17.167,26.375,9.208,19.125
2011-07-23,17.167,23.208,6.042,16.958
2011-07-24,8.833,10.417,1.583,20.667
2011-07-25,14.545,16.0,1.455,32.958
2011-07-26,22.958,24.375,1.417,33.917
2011-07-27,27.0,31.792,4.792,34.125
2011-07-28,24.667,26.917,2.25,22.167
2011-07-29,22.417,24.0,1.583,18.542
2011-07-30,17.292,21.208,3.917,18.417
2011-07-31,11.5,13.25,1.75,22.625
2011-08-01,12.478,14.217,1.739,28.708
2011-08-02,9.125,9.708,0.583,28.833
2011-08-03,9.208,10.833,1.625,27.583
2011-08-04,7.875,9.917,2.042,22.75
2011-08-05,12.292,16.458,4.167,25.542
2011-08-06,19.25,23.042,3.792,28.417
2011-08-07,17.708,23.0,5.292,27.125
2011-08-08,18.565,22.652,4.087,33.292
2011-08-09,16.5,19.208,2.708,46.125
2011-08-10,30.333,33.917,3.583,58.167
2011-08-11,19.364,21.864,2.5,32.636
2011-08-12,18.458,24.208,5.75,32.542
2011-08-13,12.042,15.917,3.875,42.5
2011-08-14,7.375,8.042,0.667,68.625
2011-08-15,17.174,18.913,1.739,41.292
2011-08-16,21.125,25.333,4.208,32.458
2011-08-17,15.958,18.583,2.625,46.583
2011-08-18,15.542,16.875,1.333,61.417
2011-08-19,10.083,14.75,4.667,22.833
2011-08-20,6.792,7.875,1.083,21.875
2011-08-21,7.458,7.625,0.167,15.167
2011-08-22,5.348,6.261,0.913,17.125
2011-08-23,6.542,7.208,0.667,36.5
2011-08-24,8.375,13.125,4.75,33.045
2011-08-25,9.25,17.5,8.25,22.75
2011-08-26,7.375,15.625,8.25,23.458
2011-08-27,3.083,3.542,0.458,19.375
2011-08-28,2.917,3.958,1.042,17.0
2011-08-29,6.13,10.13,4.0,20.167
2011-08-30,7.333,11.208,3.875,24.25
2011-08-31,10.25,18.042,7.792,22.458
2011-09-01,6.792,16.042,9.25,23.0
2011-09-02,1.708,2.042,0.333,27.208
