date,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SPM_mean
2011-01-01,7.667,9.667,2.0,10.333,,10.208
2011-01-02,1.875,2.875,1.0,6.625,,8.583
2011-01-03,3.458,4.708,1.25,10.125,,4.125
2011-01-04,2.167,3.208,1.042,8.875,,10.375
2011-01-05,5.25,6.583,1.333,4.292,,3.625
2011-01-06,5.042,6.708,1.667,5.708,,8.292
2011-01-07,2.167,3.167,1.0,5.75,,5.833
2011-01-08,4.652,6.478,1.826,4.583,,3.375
2011-01-09,7.417,8.958,1.542,12.167,,10.333
2011-01-10,7.826,10.217,2.391,17.667,,19.13
2011-01-11,2.667,3.625,0.958,12.583,,12.25
2011-01-12,3.75,4.833,1.083,5.125,,5.708
2011-01-13,6.042,7.833,1.792,12.042,,10.458
2011-01-14,3.917,4.833,0.917,11.042,,12.792
2011-01-15,3.5,4.542,1.042,8.0,,6.667
2011-01-16,4.292,5.917,1.625,8.708,,10.167
2011-01-17,5.174,6.87,1.696,6.875,,8.667
2011-01-18,5.875,8.125,2.25,6.042,,7.292
2011-01-19,7.917,10.125,2.208,5.792,,7.542
2011-01-20,7.375,9.333,1.958,7.583,,9.208
2011-01-21,4.542,5.75,1.208,6.083,,7.958
2011-01-22,2.167,3.167,1.0,2.208,,4.375
2011-01-23,2.292,3.375,1.083,3.292,,3.5
2011-01-24,3.9,5.5,1.6,3.167,,3.522
2011-01-25,2.583,3.708,1.125,7.083,,7.0
2011-01-26,3.696,5.13,1.435,3.583,,5.625
2011-01-27,9.708,11.833,2.125,11.958,,13.292
2011-01-28,7.208,8.958,1.75,11.25,,10.292
2011-01-29,5.083,6.25,1.167,6.333,,6.75
2011-01-30,6.125,8.375,2.25,5.167,,6.333
2011-01-31,5.625,7.417,1.792,5.391,,4.5
2011-02-01,4.5,5.833,1.333,11.667,,8.042
2011-02-02,2.75,4.292,1.542,4.75,,4.625
2011-02-03,6.417,8.083,1.667,5.542,,8.125
2011-02-04,5.739,7.174,1.435,17.292,,14.917
2011-02-05,8.458,10.708,2.25,24.208,,27.875
2011-02-06,14.167,20.833,6.667,19.792,,20.917
2011-02-07,13.826,25.783,11.957,12.833,,11.261
2011-02-08,2.875,4.167,1.292,4.917,,7.458
2011-02-09,5.0,7.625,2.625,5.542,,3.0
2011-02-10,4.417,6.208,1.792,6.792,,8.583
2011-02-11,3.25,4.333,1.083,6.0,,8.458
2011-02-12,4.208,5.292,1.083,9.208,,9.458
2011-02-13,9.783,11.565,1.783,10.292,,13.125
2011-02-14,17.875,30.708,12.833,11.435,,11.458
2011-02-15,6.417,8.833,2.417,13.833,,13.958
2011-02-16,5.583,7.75,2.167,6.083,,8.0
2011-02-17,3.208,4.375,1.167,6.375,,8.5
2011-02-18,2.833,3.75,0.917,7.75,,9.125
2011-02-19,4.792,6.708,1.917,6.708,,6.667
2011-02-20,8.75,11.042,2.292,8.917,,8.583
2011-02-21,13.826,17.913,4.087,15.083,,12.792
2011-02-22,8.217,11.391,3.174,17.667,,19.417
2011-02-23,8.917,15.042,6.125,11.958,,16.958
2011-02-24,5.208,6.333,1.125,22.125,,19.0
2011-02-25,13.833,18.083,4.25,16.083,,14.875
2011-02-26,2.625,3.5,0.875,11.5,,11.292
2011-02-27,2.875,3.875,1.0,9.167,,10.75
2011-02-28,5.375,6.542,1.167,9.455,,7.174
2011-03-01,7.708,9.833,2.125,9.667,,8.417
2011-03-02,10.87,15.87,5.0,8.5,,9.042
2011-03-03,5.125,6.125,1.0,15.708,,13.875
2011-03-04,5.208,6.417,1.208,11.167,,11.375
2011-03-05,14.292,20.875,6.583,5.167,,2.792
2011-03-06,5.478,6.957,1.478,4.208,,5.583
2011-03-07,5.417,6.667,1.25,26.333,,25.708
2011-03-08,6.375,7.958,1.583,21.375,,22.042
2011-03-09,5.667,7.292,1.625,18.75,,20.792
2011-03-10,1.5,2.25,0.75,11.667,,14.292
2011-03-11,2.348,3.435,1.087,13.792,,12.833
2011-03-12,1.833,2.792,0.958,13.417,,15.0
2011-03-13,3.625,4.833,1.208,8.708,,9.667
2011-03-14,5.417,6.833,1.417,11.25,,11.292
2011-03-15,4.375,5.375,1.0,16.292,,17.0
2011-03-16,5.0,6.25,1.25,8.125,,8.292
2011-03-17,4.583,5.542,0.958,8.417,,12.458
2011-03-18,2.583,3.417,0.833,5.083,,5.5
2011-03-19,2.304,3.261,0.958,6.955,,11.933
2011-03-20,2.174,3.136,1.0,11.417,,3.375
2011-03-21,2.792,3.792,1.0,11.25,,11.125
2011-03-22,5.708,6.958,1.25,12.292,,16.667
2011-03-23,5.917,7.083,1.167,8.125,,9.625
