date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,193.375,,,,14.792,16.208,20.875,4.667,,,3.083,10.417,,,,208.167
2011-01-02,189.458,,,,8.125,6.667,7.583,0.917,,,3.167,11.375,,,,197.583
2011-01-03,187.913,,,,6.696,8.875,10.625,1.75,,,4.083,9.042,,,,194.609
2011-01-04,188.0,,,,5.042,2.958,3.458,0.5,,,6.5,14.167,,,,193.042
2011-01-05,188.708,,,,8.625,11.583,15.458,3.875,,,2.625,6.391,,,,197.333
2011-01-06,193.0,,,,24.583,27.583,56.292,28.708,,,3.333,14.542,,,,217.583
2011-01-07,190.0,,,,6.5,6.208,7.375,1.167,,,2.042,6.458,,,,196.5
2011-01-08,195.625,,,,16.667,18.75,26.125,7.375,,,2.583,10.792,,,,212.292
2011-01-09,195.417,,,,17.875,16.75,25.5,8.75,,,3.917,17.583,,,,213.292
2011-01-10,197.5,,,,36.125,33.625,77.125,43.5,,,4.708,38.125,,,,233.625
2011-01-11,190.5,,,,12.833,13.333,22.0,8.667,,,4.0,24.826,,,,203.333
2011-01-12,190.13,,,,19.261,22.958,39.125,16.167,,,3.167,8.833,,,,209.391
2011-01-13,191.083,,,,25.042,21.083,50.25,29.167,16.5,,3.542,14.042,,,,216.125
2011-01-14,188.875,,,,7.375,9.208,10.875,1.667,22.583,,4.958,21.917,,,,196.25
2011-01-15,189.125,,,,11.083,11.333,15.125,3.792,13.208,,3.292,12.833,,,,200.208
2011-01-16,187.667,,,,10.417,15.167,18.125,2.958,11.583,,3.0,10.125,,,,198.083
2011-01-17,188.913,,,,18.261,17.417,25.167,7.75,12.167,,2.958,11.792,,,,207.174
2011-01-18,193.417,,,,40.042,35.042,77.208,42.167,17.125,,3.5,15.542,,,,233.458
2011-01-19,192.458,,,,33.125,29.857,69.952,40.095,13.583,,3.208,14.5,,,,225.583
2011-01-20,185.958,,,,13.0,18.042,23.375,5.333,6.792,,2.083,6.583,,,,198.958
2011-01-21,190.13,,,,20.87,25.25,34.625,9.375,12.167,,2.542,12.167,,,,211.0
2011-01-22,189.667,,,,13.625,15.417,20.292,4.875,8.583,,2.5,10.125,,,,203.292
2011-01-23,188.167,,,,6.833,5.958,7.5,1.542,2.0,,2.375,4.542,,,,195.0
2011-01-24,187.583,,,,5.5,6.5,8.583,2.083,4.333,,2.083,6.542,,,,193.083
2011-01-25,189.5,,,,7.458,9.375,12.5,3.125,16.458,,3.667,13.208,,,,196.958
2011-01-26,190.833,,,,8.042,11.792,15.75,3.958,7.208,,2.917,6.958,,,,198.875
2011-01-27,192.458,,,,13.417,16.333,24.792,8.458,20.333,,4.583,19.458,,,,205.875
2011-01-28,193.792,,,,17.0,16.833,27.875,11.042,16.833,,4.0,14.042,,,,210.792
2011-01-29,192.917,,,,11.708,11.667,14.958,3.292,7.292,,2.667,7.042,,,,204.625
2011-01-30,192.391,,,,15.261,17.792,29.792,12.0,8.5,,2.792,9.792,,,,207.652
