date,CO_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-01-01,4.458,16.667,22.0,5.333,3.292
2011-01-02,3.261,4.304,4.304,0.0,3.375
2011-01-03,4.0,10.0,12.75,2.75,3.0
2011-01-04,3.87,4.478,4.609,0.13,5.773
2011-01-05,3.208,8.875,11.75,2.875,2.042
2011-01-06,4.5,17.167,29.375,12.208,2.625
2011-01-07,2.542,4.25,4.708,0.458,2.0
2011-01-08,3.458,11.292,14.125,2.833,2.208
2011-01-09,4.261,11.348,15.304,3.957,3.625
2011-01-10,6.042,22.652,34.217,11.565,3.87
2011-01-11,4.5,11.875,17.083,5.208,4.083
2011-01-12,3.167,12.083,17.75,5.667,2.625
2011-01-13,4.625,16.958,27.083,10.125,3.333
2011-01-14,4.0,7.708,8.333,0.625,4.083
2011-01-15,3.417,8.458,10.917,2.458,3.583
2011-01-16,3.478,9.348,10.826,1.478,3.0
2011-01-17,3.792,15.583,25.0,9.417,2.833
2011-01-18,5.167,22.958,33.208,10.25,3.417
2011-01-19,4.375,21.083,27.542,6.458,2.958
2011-01-20,3.333,11.375,12.708,1.333,2.042
2011-01-21,3.833,12.167,15.083,2.917,2.0
2011-01-22,3.458,12.417,16.333,3.917,2.042
2011-01-23,3.261,5.174,6.217,1.043,2.174
2011-01-24,2.667,7.125,8.875,1.75,2.208
2011-01-25,3.5,9.083,10.542,1.458,3.583
2011-01-26,3.042,9.417,11.042,1.625,2.625
2011-01-27,3.833,11.125,12.625,1.5,4.25
2011-01-28,3.5,9.375,10.292,0.917,4.0
2011-01-29,3.0,7.833,9.083,1.25,2.333
2011-01-30,4.217,18.565,30.261,11.696,2.478
2011-01-31,3.667,12.75,17.792,5.042,2.333
2011-02-01,,13.042,18.417,5.375,3.792
2011-02-02,,3.875,4.042,0.167,2.833
2011-02-03,,16.458,22.792,6.333,3.167
2011-02-04,,16.583,20.375,3.792,4.5
2011-02-05,,15.125,17.542,2.417,6.333
2011-02-06,,25.227,36.591,11.364,5.043
2011-02-07,,8.917,10.5,1.583,2.75
2011-02-08,,6.042,6.833,0.792,2.292
2011-02-09,,8.833,11.042,2.208,3.167
2011-02-10,,12.583,23.583,11.0,3.958
2011-02-11,,3.375,3.625,0.25,2.833
2011-02-12,,6.583,7.583,1.0,2.917
2011-02-13,,25.13,33.087,7.957,3.13
2011-02-14,,23.708,36.958,13.25,2.833
2011-02-15,,13.0,15.222,2.222,2.75
2011-02-16,,17.444,19.111,1.667,2.917
2011-02-17,,5.167,6.375,1.208,3.083
2011-02-18,,4.5,5.375,0.875,2.125
2011-02-19,,9.042,12.417,3.375,2.458
2011-02-20,,22.938,30.625,7.688,3.0
2011-02-21,,25.565,38.261,12.696,4.13
2011-02-22,,16.167,19.708,3.542,4.208
2011-02-23,,14.583,21.708,7.125,3.208
2011-02-24,,5.0,6.583,1.583,4.208
2011-02-25,,9.083,11.792,2.708,2.833
2011-02-26,,3.333,4.417,1.083,2.375
2011-02-27,,8.696,11.348,2.652,2.304
2011-02-28,,15.208,21.292,6.083,2.792
