date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,THC_mean
2011-01-01,187.583,4.125,11.042,14.0,20.375,6.375,2.583,198.625
2011-01-02,185.375,3.667,7.042,11.083,16.5,5.417,2.5,192.417
2011-01-03,185.875,3.75,13.167,15.75,26.458,10.708,2.13,199.042
2011-01-04,188.125,5.125,12.75,22.875,41.792,18.917,4.0,200.875
2011-01-05,187.958,3.043,8.375,31.167,74.375,43.208,3.083,196.333
2011-01-06,187.261,4.25,15.565,39.304,113.87,74.565,3.75,202.826
2011-01-07,187.458,3.875,14.708,31.087,90.826,59.739,4.292,202.167
2011-01-08,186.542,3.375,8.042,15.833,28.208,12.375,2.667,194.583
2011-01-09,194.125,3.958,10.333,23.5,55.417,31.917,4.208,204.458
2011-01-10,186.958,5.792,16.833,41.333,137.5,96.167,4.348,203.792
2011-01-11,185.417,4.667,12.417,30.458,84.833,54.375,4.833,197.833
2011-01-12,187.458,2.957,8.75,30.25,79.625,49.375,3.833,196.208
2011-01-13,187.381,4.5,15.619,38.522,128.87,90.348,4.75,203.0
2011-01-14,189.917,5.708,14.583,31.13,92.217,61.087,6.542,204.5
2011-01-15,190.5,4.417,8.458,20.458,40.5,20.042,5.125,198.958
2011-01-16,190.458,4.167,12.292,30.708,67.25,36.542,5.083,202.75
2011-01-17,188.208,3.625,10.75,26.875,54.417,27.542,4.652,198.958
2011-01-18,188.292,4.125,11.333,29.375,71.958,42.583,7.083,199.625
2011-01-19,188.042,3.174,13.083,35.375,92.625,57.25,6.042,201.125
2011-01-20,186.043,2.25,6.565,25.043,51.913,26.87,8.375,192.609
2011-01-21,185.0,2.625,7.792,21.522,39.087,17.565,3.333,192.792
2011-01-22,184.833,3.292,12.458,15.708,31.042,15.333,3.208,197.292
2011-01-23,187.0,4.833,15.417,33.583,108.833,75.25,5.083,202.417
2011-01-24,187.75,3.25,10.667,34.333,89.958,55.625,5.783,198.417
2011-01-25,187.292,4.25,12.125,40.292,127.125,86.833,4.875,199.417
2011-01-26,188.208,4.13,13.625,40.208,124.292,84.083,5.375,201.833
2011-01-27,189.304,4.125,12.435,39.913,116.217,76.304,5.5,201.739
2011-01-28,189.667,4.333,12.417,29.609,66.739,37.13,6.583,202.083
2011-01-29,188.208,3.25,7.75,15.958,28.375,12.417,3.542,195.958
2011-01-30,187.583,4.556,26.167,36.0,103.375,67.375,4.792,213.75
2011-01-31,187.417,2.615,11.667,40.208,119.5,79.292,4.652,199.083
2011-02-01,188.792,4.0,18.5,43.833,147.667,103.833,6.917,207.292
2011-02-02,189.208,2.167,13.583,40.0,114.583,74.583,4.708,202.792
2011-02-03,189.826,2.417,14.87,42.826,141.783,98.957,5.875,204.696
2011-02-04,188.333,1.333,13.458,31.826,81.652,49.826,5.125,201.792
2011-02-05,189.75,1.917,18.292,29.0,58.5,29.5,5.125,208.042
2011-02-06,189.042,2.833,14.625,40.458,130.125,89.667,6.167,203.667
2011-02-07,185.75,3.542,19.667,34.875,111.917,77.042,3.913,205.417
2011-02-08,186.417,3.087,14.833,36.625,113.042,76.417,3.833,201.25
2011-02-09,187.955,2.417,11.091,38.208,103.667,65.458,3.667,199.045
2011-02-10,186.696,2.917,16.435,37.478,119.565,82.087,4.708,203.13
2011-02-11,186.167,1.875,10.25,24.957,58.478,33.522,4.167,196.417
2011-02-12,187.083,1.792,10.75,21.25,35.333,14.083,4.042,197.833
2011-02-13,187.125,2.583,14.917,38.375,103.708,65.333,5.208,202.042
2011-02-14,186.042,2.542,15.25,35.5,118.792,83.292,5.0,201.292
2011-02-15,186.083,4.087,15.542,32.208,99.167,66.958,5.292,201.625
2011-02-16,187.458,3.333,16.0,34.125,90.458,56.333,6.125,203.458
2011-02-17,187.739,2.708,10.739,35.478,93.217,57.739,4.217,198.478
2011-02-18,189.417,2.125,6.417,19.826,38.696,18.87,2.85,195.833
2011-02-19,189.875,2.167,6.292,16.167,27.625,11.458,2.842,196.167
2011-02-20,190.417,3.5,13.0,40.208,101.458,61.25,4.2,203.417
2011-02-21,189.0,3.667,18.5,41.5,115.167,73.667,,207.5
2011-02-22,189.958,3.609,11.625,37.333,95.444,58.111,,201.583
2011-02-23,187.583,5.583,21.125,39.889,131.444,91.556,,208.708
2011-02-24,189.5,4.708,9.125,46.792,97.0,50.208,,198.625
2011-02-25,189.609,4.667,30.565,27.826,44.826,17.0,,220.174
2011-02-26,190.333,3.5,19.0,15.25,21.708,6.458,,209.333
2011-02-27,189.333,2.75,13.708,26.458,49.875,23.417,,203.042
2011-02-28,189.25,3.292,33.417,30.958,59.083,28.125,3.714,222.667
2011-03-01,188.542,3.708,16.292,36.0,103.458,67.458,2.625,204.833
2011-03-02,189.292,4.292,20.958,35.958,94.0,58.042,2.583,210.25
2011-03-03,189.783,3.583,13.391,23.348,34.261,10.913,1.708,203.174
2011-03-04,192.208,3.958,11.5,17.083,21.292,4.208,1.625,203.708
2011-03-05,188.208,4.375,16.333,33.292,63.167,29.875,1.625,204.542
2011-03-06,185.958,5.917,25.25,43.0,129.826,86.826,1.545,211.208
2011-03-07,188.583,4.783,18.333,33.958,69.167,35.208,3.917,206.917
2011-03-08,191.25,5.0,16.75,34.292,63.542,29.25,3.042,208.0
2011-03-09,191.455,5.333,17.909,32.833,57.208,24.375,3.167,209.364
2011-03-10,188.043,5.583,9.391,21.739,34.391,12.652,2.125,197.435
2011-03-11,188.167,5.542,9.792,19.667,30.875,11.208,1.833,197.958
2011-03-12,188.417,5.958,10.958,44.0,107.792,63.792,1.917,199.375
2011-03-13,189.5,5.833,10.833,41.542,110.708,69.167,4.435,200.333
2011-03-14,188.542,2.87,10.833,35.667,74.0,38.333,2.917,199.375
2011-03-15,188.833,3.417,12.667,39.208,91.75,52.542,4.875,201.5
2011-03-16,189.542,3.75,28.458,44.375,95.5,51.125,3.042,218.0
2011-03-17,187.565,6.0,25.0,45.522,110.609,65.087,2.167,212.565
2011-03-18,185.25,4.417,17.333,24.458,49.375,24.917,2.208,202.583
2011-03-19,186.667,3.625,12.75,32.25,81.292,49.042,5.333,199.417
2011-03-20,186.292,2.875,10.583,28.333,52.875,24.542,3.609,196.875
2011-03-21,185.833,2.783,8.458,37.208,81.042,43.833,3.125,194.292
2011-03-22,186.208,3.833,13.542,43.875,108.042,64.167,2.708,199.75
2011-03-23,184.042,3.875,11.292,45.833,99.042,53.208,6.375,195.333
2011-03-24,187.261,4.375,14.304,32.826,65.391,32.565,1.25,201.565
2011-03-25,190.833,4.208,8.25,23.417,39.125,15.708,1.042,199.083
