date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2013-04-26,184.625,2.7916666666666665,4.375,14.454545454545455,22.772727272727273,8.318181818181818,19.5,189.0
2013-04-27,185.79166666666666,2.7083333333333335,2.75,9.083333333333334,12.25,3.1666666666666665,7.208333333333333,188.54166666666666
2013-04-28,186.58333333333334,2.3333333333333335,2.4583333333333335,7.666666666666667,8.916666666666666,1.25,11.416666666666666,189.04166666666666
2013-04-29,186.58333333333334,2.6666666666666665,3.375,9.291666666666666,11.583333333333334,2.2916666666666665,18.333333333333332,189.95833333333334
2013-04-30,183.66666666666666,3.0833333333333335,4.125,15.75,22.166666666666668,6.416666666666667,24.833333333333332,187.79166666666666
2013-05-01,186.91304347826087,2.375,3.4782608695652173,12.25,16.958333333333332,4.708333333333333,17.083333333333332,190.3913043478261
2013-05-02,187.7826086956522,2.6956521739130435,3.9130434782608696,13.391304347826088,18.73913043478261,5.3478260869565215,9.041666666666666,191.69565217391303
2013-05-03,189.41666666666666,2.375,2.7916666666666665,8.772727272727273,12.272727272727273,3.5,5.791666666666667,192.20833333333334
2013-05-04,189.875,2.5416666666666665,2.5,8.333333333333334,10.458333333333334,2.125,10.75,192.375
2013-05-05,190.45833333333334,2.875,2.9583333333333335,7.916666666666667,10.041666666666666,2.125,17.666666666666668,193.41666666666666
2013-05-06,188.70833333333334,3.0,2.0833333333333335,7.5,11.25,3.75,23.625,190.79166666666666
2013-05-07,186.95833333333334,2.2083333333333335,2.0,11.0,16.875,5.875,20.0,188.95833333333334
2013-05-08,187.69565217391303,2.1666666666666665,4.6521739130434785,15.666666666666666,24.25,8.583333333333334,10.083333333333334,192.34782608695653
2013-05-09,187.17391304347825,2.5,7.434782608695652,21.833333333333332,31.208333333333332,9.375,14.708333333333334,194.6086956521739
2013-05-10,185.54166666666666,2.6666666666666665,7.916666666666667,22.772727272727273,29.5,6.7272727272727275,22.625,193.45833333333334
2013-05-11,183.33333333333334,2.6666666666666665,8.125,17.375,23.166666666666668,5.791666666666667,9.75,191.45833333333334
2013-05-12,185.83333333333334,2.8333333333333335,5.041666666666667,9.416666666666666,11.5,2.0833333333333335,11.875,190.875
2013-05-13,183.95833333333334,2.2083333333333335,5.166666666666667,11.25,16.125,4.875,12.291666666666666,189.125
2013-05-14,185.375,2.2083333333333335,6.541666666666667,15.708333333333334,24.875,9.166666666666666,19.125,191.91666666666666
2013-05-15,185.04166666666666,2.3333333333333335,5.125,15.875,27.541666666666668,11.666666666666666,21.708333333333332,190.16666666666666
2013-05-16,186.2173913043478,2.375,3.608695652173913,12.708333333333334,21.916666666666668,9.208333333333334,21.25,189.82608695652175
2013-05-17,187.875,1.6956521739130435,4.0,15.80952380952381,21.333333333333332,5.523809523809524,21.869565217391305,191.875
2013-05-18,186.45833333333334,1.2083333333333333,3.375,15.25,18.375,3.125,18.625,189.83333333333334
