date,SO2_mean
2011-02-06,3.273
2011-02-07,1.0
2011-02-08,2.5
2011-02-09,2.042
2011-02-10,2.042
2011-02-11,2.167
2011-02-12,2.667
2011-02-13,3.333
2011-02-14,2.0
2011-02-15,1.958
2011-02-16,2.583
2011-02-17,3.0
2011-02-18,2.125
2011-02-19,2.458
2011-02-20,2.875
2011-02-21,2.875
2011-02-22,3.708
2011-02-23,1.75
2011-02-24,3.667
2011-02-25,2.458
2011-02-26,2.75
2011-02-27,3.167
2011-02-28,3.667
2011-03-01,2.583
2011-03-02,2.0
2011-03-03,2.042
2011-03-04,2.625
2011-03-05,1.083
2011-03-06,1.0
2011-03-07,3.458
2011-03-08,3.333
2011-03-09,2.292
2011-03-10,2.0
2011-03-11,3.333
2011-03-12,3.25
2011-03-13,2.958
2011-03-14,3.542
2011-03-15,4.167
2011-03-16,4.333
2011-03-17,2.083
2011-03-18,2.208
2011-03-19,2.958
2011-03-20,3.083
2011-03-21,2.875
2011-03-22,3.583
2011-03-23,2.458
2011-03-24,1.909
2011-03-30,3.1
2011-03-31,2.545
2011-04-01,4.583
2011-04-02,5.0
2011-04-03,4.167
2011-04-04,4.333
2011-04-05,4.542
2011-04-06,4.958
2011-04-07,4.292
2011-04-08,3.625
2011-04-09,2.5
2011-04-10,3.458
2011-04-11,6.25
2011-04-12,4.75
2011-04-13,5.625
2011-04-14,6.792
2011-04-15,5.417
2011-04-16,4.625
2011-04-17,4.833
2011-04-18,4.25
2011-04-19,4.083
2011-04-20,5.167
2011-04-21,5.875
2011-04-22,5.0
2011-04-23,3.125
2011-04-24,4.583
2011-04-25,4.625
2011-04-26,5.208
2011-04-27,3.625
2011-04-28,4.542
2011-04-29,4.875
2011-04-30,5.542
2011-05-01,3.292
2011-05-02,5.25
2011-05-03,5.708
2011-05-04,5.375
2011-05-05,5.792
2011-05-06,6.708
2011-05-07,5.083
2011-05-08,6.625
2011-05-09,8.958
2011-05-10,5.708
2011-05-11,4.167
2011-05-12,3.25
2011-05-13,5.042
2011-05-14,6.625
2011-05-15,7.083
2011-05-16,6.417
2011-05-17,5.5
2011-05-18,6.583
2011-05-19,6.958
2011-05-20,6.208
2011-05-21,5.667
2011-05-22,4.083
2011-05-23,4.333
2011-05-24,4.417
2011-05-25,5.833
2011-05-26,5.167
2011-05-27,4.0
2011-05-28,3.0
2011-05-29,2.458
2011-05-30,3.542
2011-05-31,4.042
2011-06-01,3.458
2011-06-02,2.875
2011-06-03,3.708
2011-06-04,4.542
2011-06-05,4.333
2011-06-06,5.667
2011-06-07,5.25
2011-06-08,4.875
2011-06-09,7.25
2011-06-10,5.833
2011-06-11,4.167
2011-06-12,5.375
2011-06-13,4.917
2011-06-14,5.458
2011-06-15,6.708
2011-06-16,5.167
2011-06-17,4.917
2011-06-18,5.0
2011-06-19,4.542
2011-06-20,3.917
2011-06-21,3.458
2011-06-22,6.167
2011-06-23,5.125
2011-06-24,4.375
2011-06-25,6.208
2011-06-26,6.458
2011-06-27,5.417
2011-06-28,7.292
2011-06-29,8.25
2011-06-30,10.333
2011-07-01,9.625
2011-07-02,10.333
2011-07-03,9.417
2011-07-04,7.917
2011-07-05,9.458
2011-07-06,11.958
2011-07-07,6.583
2011-07-08,5.75
2011-07-09,6.458
2011-07-10,6.875
2011-07-11,7.5
2011-07-12,7.875
2011-07-13,8.083
2011-07-14,8.542
2011-07-15,9.083
2011-07-16,9.083
2011-07-17,8.333
2011-07-18,7.333
2011-07-19,5.833
2011-07-20,5.833
2011-07-21,5.625
2011-07-22,7.083
2011-07-23,8.625
2011-07-24,7.083
2011-07-25,6.25
2011-07-26,4.542
2011-07-27,4.458
2011-07-28,5.083
2011-07-29,6.792
2011-07-30,5.958
2011-07-31,4.5
2011-08-01,5.833
2011-08-02,5.625
2011-08-03,6.042
2011-08-04,5.542
2011-08-05,5.208
2011-08-06,5.292
2011-08-07,6.042
2011-08-08,6.875
2011-08-09,7.25
2011-08-10,8.083
2011-08-11,8.125
2011-08-12,9.375
2011-08-13,9.042
2011-08-14,8.583
2011-08-15,6.375
2011-08-16,6.542
2011-08-17,6.125
2011-08-18,5.125
2011-08-19,5.048
2012-01-07,2.786
2012-01-08,2.458
2012-01-09,3.583
2012-01-10,4.375
2012-01-11,3.292
2012-01-12,4.125
2012-01-13,3.875
2012-01-30,4.267
2012-01-31,3.364
2012-02-08,3.0
2012-02-09,3.542
2012-02-10,3.375
2012-02-11,4.125
2012-02-12,3.958
2012-02-13,3.375
2012-02-14,3.958
2012-02-15,3.375
2012-02-16,3.0
2012-02-17,3.375
2012-02-18,2.792
2012-02-19,2.083
2012-02-20,2.375
2012-03-22,7.091
2012-03-23,5.458
2012-03-24,5.458
2012-03-25,5.042
2012-03-26,4.833
2012-04-06,3.0
2012-04-07,3.0
2012-04-08,3.667
2012-04-09,5.375
2012-04-10,5.542
2012-04-11,2.833
2012-04-12,3.708
2012-04-13,5.0
2012-04-14,3.083
2012-04-15,3.708
2012-04-16,5.167
2012-04-17,4.208
2012-04-18,4.792
2012-04-19,5.083
2012-04-20,4.167
2012-04-21,4.333
2012-04-22,3.625
2012-04-23,2.167
2012-04-24,4.333
2012-04-25,5.083
2012-04-26,3.542
2012-04-27,4.391
2012-04-28,5.958
2012-04-29,6.042
2012-04-30,5.458
