date,NO2_mean,NOX_mean,NO_mean
2011-01-01,17.625,24.625,7.0
2011-01-02,14.167,20.417,6.25
2011-01-03,14.0,18.292,4.292
2011-01-04,14.087,17.261,3.174
2011-01-05,10.348,14.217,3.87
2011-01-06,18.458,29.833,11.375
2011-01-07,5.167,6.375,1.208
2011-01-08,10.375,13.292,2.917
2011-01-09,20.125,29.958,9.833
2011-01-10,18.417,25.542,7.125
2011-01-11,14.348,20.391,6.043
2011-01-12,13.522,19.174,5.652
2011-01-13,18.417,30.542,12.125
2011-01-14,8.708,10.667,1.958
2011-01-15,7.417,9.083,1.667
2011-01-16,11.611,15.389,3.778
2011-01-17,12.667,15.833,3.167
2011-01-18,22.696,36.0,13.304
2011-01-19,24.043,41.391,17.348
2011-01-20,5.208,6.208,1.0
2011-01-21,14.958,18.583,3.625
2011-01-22,20.375,29.958,9.583
2011-01-23,10.25,13.542,3.292
2011-01-24,10.708,13.167,2.458
2011-01-25,17.435,25.391,7.957
2011-01-26,13.304,16.348,3.043
2011-01-27,21.917,29.25,7.333
2011-01-28,10.375,12.5,2.125
2011-01-29,6.708,8.208,1.5
2011-01-30,10.917,13.167,2.25
2011-01-31,17.917,23.25,5.333
2011-02-01,11.435,14.304,2.87
2011-02-02,9.217,11.522,2.304
2011-02-03,23.792,34.583,10.792
2011-02-04,21.042,32.375,11.333
2011-02-05,12.917,15.5,2.583
2011-02-06,21.667,32.458,10.792
2011-02-07,26.125,32.625,6.5
2011-02-08,7.391,8.826,1.435
2011-02-09,9.174,10.696,1.522
2011-02-10,13.75,18.25,4.5
2011-02-11,6.083,7.042,0.958
2011-02-12,7.542,8.958,1.417
2011-02-13,17.375,20.792,3.417
2011-02-14,22.333,28.0,5.667
2011-02-15,13.435,18.348,4.913
2011-02-16,9.261,11.043,1.783
2011-02-17,9.083,10.583,1.5
2011-02-18,6.958,8.833,1.875
2011-02-19,9.958,12.958,3.0
2011-02-20,18.208,25.917,7.708
2011-02-21,15.0,20.625,5.625
2011-02-22,12.348,14.217,1.87
2011-02-23,11.609,14.435,2.826
2011-02-24,6.625,7.333,0.708
2011-02-25,11.25,13.125,1.875
2011-02-26,6.208,7.333,1.125
2011-02-27,4.875,6.208,1.333
2011-02-28,10.75,13.458,2.708
2011-03-01,21.652,30.043,8.391
2011-03-02,22.708,31.708,9.0
2011-03-03,4.625,5.125,0.5
2011-03-04,5.5,5.833,0.333
2011-03-05,8.833,9.667,0.833
2011-03-06,15.5,22.0,6.5
2011-03-07,7.696,8.391,0.696
2011-03-08,8.652,9.87,1.217
2011-03-09,10.917,11.75,0.833
2011-03-10,9.667,11.25,1.583
2011-03-11,5.042,5.5,0.458
2011-03-12,8.208,10.042,1.833
2011-03-13,8.292,10.417,2.125
2011-03-14,11.565,13.87,2.304
2011-03-15,10.87,12.957,2.087
2011-03-16,8.292,9.583,1.292
2011-03-17,13.208,15.042,1.833
2011-03-18,10.333,11.458,1.125
2011-03-19,3.875,4.833,0.958
2011-03-20,7.667,9.333,1.667
2011-03-21,6.217,7.391,1.174
2011-03-22,19.045,22.909,3.864
2011-03-23,9.667,10.25,0.583
2011-03-24,8.625,9.417,0.792
2011-03-25,5.417,5.833,0.417
2011-03-26,8.917,10.125,1.208
2011-03-27,10.958,12.875,1.917
2011-03-28,18.583,24.0,5.417
2011-03-29,13.136,15.227,2.091
2011-03-30,13.708,16.583,2.875
2011-03-31,4.625,5.042,0.417
2011-04-01,21.958,24.917,2.958
2011-04-02,12.25,14.0,1.75
2011-04-03,4.304,4.609,0.304
2011-04-04,14.696,17.522,2.826
2011-04-05,19.958,23.0,3.042
2011-04-06,20.167,23.583,3.417
2011-04-07,27.042,33.208,6.167
2011-04-08,13.583,15.167,1.583
2011-04-09,12.583,14.833,2.25
2011-04-10,10.261,11.478,1.217
2011-04-11,9.435,10.957,1.522
2011-04-12,6.833,7.583,0.75
2011-04-13,14.958,17.292,2.333
2011-04-14,15.292,17.917,2.625
2011-04-15,16.833,19.458,2.625
2011-04-16,8.292,9.875,1.583
2011-04-17,4.87,5.696,0.826
2011-04-18,12.217,14.261,2.043
2011-04-19,8.522,9.609,1.087
2011-04-20,8.25,9.583,1.333
2011-04-21,8.75,10.042,1.292
2011-04-22,11.583,13.917,2.333
2011-04-23,5.042,5.75,0.708
2011-04-24,4.708,5.417,0.708
2011-04-25,7.682,9.5,1.818
2011-04-26,14.125,16.75,2.625
2011-04-27,9.292,11.0,1.708
2011-04-28,4.6,5.0,0.4
2011-05-27,6.154,6.308,0.154
2011-05-28,5.417,6.083,0.667
2011-05-29,7.087,8.174,1.087
2011-05-30,3.273,3.818,0.545
2011-05-31,4.167,4.833,0.667
2011-06-01,7.708,8.542,0.833
2011-06-02,8.167,9.458,1.292
2011-06-03,7.708,9.667,1.958
2011-06-04,5.75,6.375,0.625
2011-06-05,4.957,5.261,0.304
2011-06-06,4.696,5.0,0.304
2011-06-07,8.25,9.458,1.208
2011-06-08,6.208,6.5,0.292
2011-06-09,6.958,7.375,0.417
2011-06-10,9.208,10.583,1.375
2011-06-11,6.792,7.458,0.667
2011-06-12,5.261,6.043,0.783
2011-06-13,3.652,3.826,0.174
2011-06-14,3.958,4.208,0.25
2011-06-15,5.25,5.792,0.542
2011-06-16,7.375,8.375,1.0
2011-06-17,5.75,5.917,0.167
2011-06-18,8.125,8.583,0.458
2011-06-19,6.261,6.652,0.391
2011-06-20,7.87,8.826,0.957
2011-06-21,6.5,8.708,2.208
2011-06-22,5.417,6.125,0.708
2011-06-23,5.292,7.083,1.792
2011-06-24,7.333,10.833,3.5
2011-06-25,5.542,6.833,1.292
2011-06-26,5.174,6.739,1.565
2011-06-27,6.565,8.348,1.783
2011-06-28,5.958,7.875,1.917
2011-06-29,4.0,5.0,1.0
2011-06-30,4.714,5.714,1.0
2011-07-01,4.875,6.292,1.417
2011-07-02,4.083,5.125,1.042
