date,HUM_max,HUM_mean,HUM_min,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,99.0,80.875,55.0,1.292,21.333,7.8,2.712,-2.0
2011-01-02,99.0,73.333,46.0,0.913,11.958,10.9,5.717,1.6
2011-01-03,80.0,65.625,47.0,0.583,6.5,10.6,6.175,3.6
2011-01-04,96.0,62.333,33.0,2.833,18.625,10.6,5.788,2.3
2011-01-05,96.0,74.333,54.0,0.583,2.625,8.4,4.483,2.1
2011-01-06,94.0,73.042,54.0,1.542,12.083,9.3,5.117,0.7
2011-01-07,82.0,60.5,40.0,1.0,4.583,10.0,5.567,2.9
2011-01-08,84.0,62.083,41.0,0.75,3.083,10.1,4.838,-0.3
2011-01-09,89.0,67.792,49.0,2.696,12.083,12.2,6.246,-0.5
2011-01-10,96.0,76.5,49.0,2.0,20.125,13.2,7.125,3.5
2011-01-11,85.0,62.792,44.0,2.25,21.833,12.0,6.692,2.4
2011-01-12,90.0,53.958,35.0,1.083,5.583,8.9,3.017,-1.8
2011-01-13,99.0,69.5,41.0,1.5,14.625,11.3,4.796,-3.2
2011-01-14,88.0,70.0,51.0,2.083,14.042,10.0,5.946,1.8
2011-01-15,91.0,74.25,57.0,0.875,7.5,8.4,5.942,2.2
2011-01-16,99.0,62.542,51.0,2.478,13.875,6.5,4.812,1.5
2011-01-17,99.0,80.625,37.0,0.75,16.708,10.8,4.329,-1.0
2011-01-18,99.0,85.792,56.0,2.167,31.125,10.1,3.138,-2.9
2011-01-19,99.0,92.833,70.0,2.833,36.833,8.2,4.696,0.2
2011-01-20,99.0,99.0,99.0,0.833,21.125,9.1,7.129,5.3
2011-01-21,99.0,98.708,95.0,1.5,23.875,10.3,7.696,6.7
2011-01-22,99.0,86.542,69.0,1.458,11.542,12.4,8.121,3.7
2011-01-23,94.0,77.958,52.0,0.652,5.375,13.1,8.271,4.6
2011-01-24,83.0,65.583,50.0,0.375,4.542,8.7,4.762,3.1
2011-01-25,60.0,50.792,33.0,1.083,10.708,8.8,4.108,1.7
