date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,82.0,67.25,46.0,11.542,,,1.409,13.792,8.2,3.608,-1.1
2011-01-02,83.0,62.75,39.0,5.957,,,1.792,13.458,9.8,5.842,2.4
2011-01-03,74.0,55.167,45.0,3.708,,,1.542,5.542,7.9,5.596,3.2
2011-01-04,72.0,53.708,30.0,3.792,,,4.292,18.5,8.8,5.558,2.8
2011-01-05,91.0,64.042,41.0,3.958,,,1.292,5.458,6.0,3.808,1.4
2011-01-06,80.0,62.792,52.0,13.875,,,2.375,11.583,7.3,4.696,2.0
2011-01-07,76.0,52.625,34.0,5.292,,,1.583,5.75,7.3,4.842,3.3
2011-01-08,65.0,52.208,38.0,5.875,,,2.083,6.25,7.6,4.429,1.6
2011-01-09,73.0,59.458,50.0,8.391,,,3.583,8.583,9.0,5.912,2.7
2011-01-10,75.0,62.542,49.0,14.625,,,4.25,15.292,9.9,6.546,4.1
2011-01-11,72.0,56.75,39.0,15.0,,,4.5,23.958,9.4,6.212,2.2
2011-01-12,67.0,45.792,34.0,5.125,,,1.958,4.375,6.0,2.858,0.1
2011-01-13,79.0,59.5,42.0,13.5,,,3.591,10.0,8.4,4.708,-0.7
2011-01-14,77.0,60.5,48.0,7.25,,,4.5,12.417,7.7,5.758,3.3
2011-01-15,80.0,64.792,53.0,7.208,,,3.125,6.833,7.2,5.625,3.3
2011-01-16,96.0,61.125,50.0,17.609,,,2.375,1.0,5.8,4.421,1.4
2011-01-17,97.0,81.5,48.0,20.5,,,1.292,7.875,7.3,3.238,0.1
2011-01-18,94.0,74.708,53.0,21.5,,,0.0,24.5,9.6,3.992,-1.5
2011-01-19,97.0,77.042,48.0,20.75,,,0.0,17.75,10.7,6.0,2.3
2011-01-20,100.0,98.542,97.0,20.417,,,0.0,18.708,8.3,6.821,5.2
2011-01-21,100.0,96.417,86.0,19.458,,,0.0,16.292,9.4,7.65,6.2
2011-01-22,100.0,80.5,60.0,11.333,,,0.0,10.917,10.8,7.938,5.3
2011-01-23,81.0,67.417,51.0,7.87,,,0.0,4.708,10.1,7.508,4.2
2011-01-24,75.0,55.833,44.0,6.75,,,0.0,4.167,6.3,3.95,2.2
2011-01-25,57.0,48.542,36.0,5.5,,,0.0,10.375,5.9,3.371,1.9
2011-01-26,80.0,61.958,45.0,7.083,,,0.0,7.958,5.2,2.354,0.1
2011-01-27,86.0,61.292,52.0,8.083,,,0.0,14.458,6.6,3.462,0.4
2011-01-28,91.0,69.667,53.0,10.208,,,0.0,18.042,6.1,3.488,-0.8
2011-01-29,54.0,44.042,33.0,3.125,,,0.0,6.375,5.9,2.983,1.1
2011-01-30,67.0,54.583,43.0,8.304,,,0.0,4.875,5.1,2.817,0.4
