date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,5.333,74.0,60.417,40.0,23.208,45.125,21.917,1.125,18.917,9.5,4.55,0.6
2011-01-02,3.667,95.0,68.833,41.0,15.043,33.087,18.043,0.13,12.667,10.0,5.267,2.2
2011-01-03,4.292,77.0,61.542,48.0,22.667,43.583,20.917,0.0,7.083,8.3,5.154,2.0
2011-01-04,4.167,84.0,65.667,35.0,21.625,45.167,23.542,0.625,18.458,7.9,4.35,1.4
2011-01-05,4.75,92.0,70.917,42.0,35.042,94.542,59.5,0.042,10.833,6.6,3.017,-0.2
2011-01-06,4.958,92.0,71.042,58.0,43.5,148.333,104.833,0.5,17.75,7.2,4.342,0.9
2011-01-07,4.708,96.0,61.833,34.0,32.083,114.708,82.625,0.0,8.083,7.9,4.317,1.1
2011-01-08,4.458,75.0,54.417,33.0,25.625,58.25,32.625,0.0,8.75,8.5,3.762,-0.5
2011-01-09,5.261,89.0,68.5,51.0,31.217,79.957,48.739,0.652,17.25,9.1,4.783,1.7
2011-01-10,7.125,87.0,71.667,47.0,43.75,164.333,120.583,1.125,32.5,10.9,5.754,1.1
2011-01-11,5.625,84.0,69.708,50.0,37.458,141.875,104.417,0.458,22.708,7.9,5.321,1.9
2011-01-12,4.625,71.0,50.042,33.0,39.708,130.542,90.833,0.375,11.833,7.4,3.271,-0.7
2011-01-13,5.55,90.0,67.083,50.0,40.571,146.381,105.81,0.474,19.375,8.8,4.708,1.3
2011-01-14,5.875,94.0,72.458,43.0,31.417,104.458,73.042,0.667,18.917,8.0,5.192,2.7
2011-01-15,5.167,89.0,74.958,54.0,23.625,56.25,32.625,0.0,18.0,8.0,4.692,1.6
2011-01-16,5.5,63.0,52.75,43.0,42.409,155.955,113.545,1.087,17.875,7.0,5.25,3.5
2011-01-17,5.0,80.0,58.375,33.0,39.958,138.917,98.958,1.125,20.083,9.7,5.667,2.5
2011-01-18,6.708,77.0,60.958,46.0,48.292,184.417,136.125,2.875,35.167,10.6,5.425,0.2
2011-01-19,6.917,99.0,75.417,48.0,48.167,185.625,137.458,3.708,43.25,9.4,5.746,3.3
2011-01-20,5.292,99.0,96.208,84.0,42.542,152.417,109.875,0.375,20.833,10.4,7.546,5.3
2011-01-21,5.667,99.0,98.042,90.0,35.625,117.125,81.5,0.042,22.625,9.5,7.971,7.1
2011-01-22,4.458,99.0,80.625,56.0,22.75,52.083,29.333,0.0,8.875,11.7,7.746,4.1
2011-01-23,5.0,92.0,71.292,48.0,35.5,124.5,89.0,0.609,13.25,10.9,6.925,4.1
2011-01-24,3.792,77.0,54.958,37.0,37.625,119.583,81.958,0.458,8.583,6.8,3.95,1.2
2011-01-25,4.333,73.0,54.625,37.0,39.625,112.708,73.083,0.458,14.042,6.1,3.4,1.3
2011-01-26,4.583,97.0,81.292,53.0,38.583,128.792,90.208,0.208,10.75,4.6,1.892,0.3
2011-01-27,5.476,97.0,79.75,58.0,41.857,142.952,101.095,0.429,22.364,6.7,2.871,0.1
2011-01-28,5.083,99.0,74.875,55.0,32.042,85.25,53.208,0.333,20.833,6.7,3.333,1.1
2011-01-29,4.333,66.0,48.208,29.0,24.792,49.958,25.167,0.0,8.375,7.1,2.808,0.0
2011-01-30,5.292,89.0,63.625,40.0,41.045,138.273,97.227,0.13,13.625,6.1,2.312,-1.1
2011-01-31,5.458,91.0,78.667,57.0,39.792,137.75,97.958,0.125,17.25,4.9,2.004,-0.9
2011-02-01,5.125,99.0,83.167,59.0,38.375,145.167,106.792,0.5,18.875,6.9,1.496,-1.8
2011-02-02,4.583,99.0,80.0,57.0,39.375,122.667,83.292,0.125,10.5,2.0,-0.075,-1.9
2011-02-03,6.917,86.0,74.333,59.0,46.042,163.25,117.208,0.125,18.333,3.7,-0.125,-4.7
2011-02-04,6.458,92.0,73.667,46.0,38.5,134.792,96.292,0.375,28.75,6.8,2.433,-2.4
2011-02-05,5.792,92.0,66.25,43.0,29.125,61.75,32.625,0.125,29.542,8.6,4.988,0.6
2011-02-06,7.261,99.0,89.542,66.0,41.13,163.957,122.826,0.565,35.167,6.6,5.35,3.9
2011-02-07,6.292,99.0,86.75,63.0,38.792,142.042,103.25,0.833,20.542,12.1,8.192,6.0
2011-02-08,3.583,90.0,70.625,55.0,35.208,106.458,71.25,0.042,8.667,5.9,3.079,-0.8
2011-02-09,3.833,96.0,80.083,54.0,38.0,120.75,82.75,0.042,11.458,5.0,1.45,-1.2
2011-02-10,4.292,93.0,76.333,39.0,37.833,119.708,81.875,0.083,16.417,7.3,3.238,0.1
2011-02-11,4.458,89.0,69.917,39.0,33.542,81.542,48.0,0.0,13.875,7.4,3.604,0.0
2011-02-12,4.524,94.0,63.792,35.0,26.1,46.45,20.35,0.0,12.125,7.9,3.879,0.7
2011-02-13,5.542,99.0,70.917,37.0,41.261,131.609,90.348,0.304,19.417,6.9,3.408,1.0
2011-02-14,7.292,99.0,98.5,93.0,38.958,176.833,137.875,0.75,28.375,6.8,5.133,2.9
2011-02-15,6.458,99.0,80.292,53.0,39.667,145.375,105.708,0.583,28.167,10.0,5.029,1.9
2011-02-16,4.5,67.0,51.708,27.0,41.792,133.542,91.75,0.458,16.0,9.6,4.646,0.9
2011-02-17,4.292,83.0,62.667,47.0,40.875,116.917,76.042,0.583,12.625,6.1,3.775,2.1
2011-02-18,4.667,94.0,55.083,30.0,34.75,89.625,54.875,0.0,10.583,4.6,1.871,-0.6
2011-02-19,4.625,84.0,58.083,37.0,27.667,49.792,22.125,0.125,13.208,6.3,1.938,-3.1
2011-02-20,4.696,84.0,59.958,40.0,42.565,125.0,82.435,0.217,17.333,9.1,4.133,-0.9
2011-02-21,4.625,74.0,59.542,43.0,46.208,143.625,97.417,0.958,26.292,10.3,5.904,0.5
2011-02-22,6.167,99.0,67.875,40.0,48.417,142.333,93.917,1.125,42.875,13.7,9.046,3.5
2011-02-23,6.042,99.0,84.292,48.0,37.333,128.417,91.083,0.583,35.458,14.2,9.971,7.5
2011-02-24,5.75,68.0,51.083,35.0,48.792,119.625,70.833,1.417,40.667,14.7,10.508,7.6
2011-02-25,5.81,99.0,79.875,57.0,35.85,85.45,49.6,0.3,32.9,10.5,8.862,5.9
2011-02-26,3.917,86.0,58.125,38.0,24.708,43.75,19.042,0.0,13.958,7.8,4.929,2.2
2011-02-27,4.0,45.0,37.083,29.0,41.826,98.565,56.739,0.13,13.375,7.9,3.988,1.3
