date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-03-14,194.167,4.625,15.958,17.708,21.167,3.458,4.667,7.083,210.125
2011-03-15,196.25,3.625,21.542,16.75,25.0,8.25,4.833,12.458,217.792
2011-03-16,195.542,4.125,12.583,17.522,24.652,7.13,3.25,11.333,208.125
2011-03-17,198.583,6.208,30.458,25.875,49.458,23.583,3.792,21.042,229.042
2011-03-18,194.875,5.417,22.75,21.75,28.667,6.917,3.417,29.083,217.625
2011-03-19,190.913,3.304,12.522,15.261,17.348,2.087,4.333,9.125,203.435
2011-03-20,195.478,5.043,15.478,19.958,23.25,3.292,7.458,16.667,210.957
2011-03-21,192.583,2.917,12.042,14.542,16.125,1.583,5.333,9.75,204.625
2011-03-22,201.583,6.667,28.292,36.917,53.917,17.0,8.833,25.292,229.875
2011-03-23,201.458,6.5,25.833,31.87,46.696,14.826,4.708,37.25,227.292
2011-03-24,192.583,5.625,16.125,18.875,26.542,7.667,3.042,10.75,208.708
2011-03-25,193.958,3.667,13.75,11.667,14.75,3.083,4.875,6.167,207.708
2011-03-26,193.0,3.583,10.042,13.625,16.833,3.208,4.739,7.174,203.042
2011-03-27,195.174,4.087,11.087,15.667,20.75,5.083,5.042,11.042,206.261
2011-03-28,194.833,4.5,19.083,20.708,27.875,7.167,8.458,20.708,213.917
2011-03-29,192.375,3.75,10.25,11.875,13.958,2.083,5.875,13.833,202.625
2011-03-30,186.708,2.0,2.875,4.913,5.739,0.826,3.958,11.083,189.583
2011-03-31,184.792,2.292,4.375,4.625,5.375,0.75,3.875,12.458,189.167
2011-04-01,191.75,4.167,9.708,16.667,19.417,2.75,6.583,12.0,201.458
2011-04-02,191.5,4.917,16.417,22.958,26.0,3.042,8.917,26.292,207.917
2011-04-03,190.792,3.292,5.042,8.917,10.083,1.167,4.5,11.792,195.833
2011-04-04,191.958,3.583,8.292,14.167,16.458,2.292,5.417,9.833,200.25
2011-04-05,191.913,3.792,9.348,15.391,17.913,2.522,5.417,7.625,201.261
2011-04-06,192.208,5.174,16.833,22.875,30.583,7.708,9.708,18.708,209.042
2011-04-07,185.667,2.417,4.333,6.5,6.792,0.292,5.125,11.333,190.0
2011-04-08,183.917,2.0,2.708,2.75,2.75,0.0,4.208,13.875,186.625
2011-04-09,183.708,2.458,5.792,4.25,4.625,0.375,3.375,12.792,189.5
2011-04-10,189.667,3.375,5.167,5.5,6.5,1.0,4.0,13.25,194.833
2011-04-11,189.708,4.083,12.917,12.458,14.625,2.167,6.087,20.696,202.625
2011-04-12,191.261,3.042,8.913,9.522,10.783,1.261,4.958,11.458,200.174
2011-04-13,194.167,3.0,14.042,14.125,17.792,3.667,9.083,18.625,208.208
2011-04-14,192.0,4.458,19.292,22.083,25.333,3.25,11.333,27.5,211.292
2011-04-15,184.083,1.875,5.292,4.083,4.208,0.125,7.25,22.708,189.375
2011-04-16,184.667,2.875,8.625,7.792,8.625,0.833,7.542,16.0,193.292
2011-04-17,191.042,3.25,8.0,7.042,8.0,0.958,7.167,11.458,199.042
2011-04-18,193.458,2.583,5.958,7.125,9.042,1.917,4.708,12.917,199.417
2011-04-19,189.783,3.167,12.739,13.696,16.435,2.739,5.708,8.208,202.522
2011-04-20,191.083,3.217,7.083,11.417,14.875,3.458,5.0,4.125,198.167
2011-04-21,193.042,2.875,6.083,10.375,12.833,2.458,4.042,7.042,199.125
2011-04-22,194.25,3.083,16.542,12.625,14.583,1.958,6.208,16.0,210.792
2011-04-23,184.5,2.0,3.667,3.458,3.833,0.375,3.5,11.167,188.167
2011-04-24,188.458,2.583,5.042,7.5,8.125,0.625,5.583,8.5,193.5
2011-04-25,191.565,3.5,9.13,12.542,14.333,1.792,5.913,13.565,200.696
2011-04-26,190.957,3.792,12.565,13.739,17.391,3.652,6.458,16.875,203.522
2011-04-27,185.458,2.957,4.375,1.833,1.833,0.0,4.042,34.417,189.833
2011-04-28,184.375,3.625,6.083,6.542,6.875,0.333,4.75,16.917,190.458
2011-04-29,189.75,3.333,9.75,8.833,9.75,0.917,4.208,8.833,199.5
2011-04-30,191.542,3.542,9.458,8.0,9.0,1.0,4.875,17.417,201.0
2011-05-01,183.5,2.833,6.25,4.542,4.583,0.042,4.417,18.917,189.75
2011-05-02,190.208,4.625,13.75,14.5,15.333,0.833,7.261,59.217,203.958
2011-05-03,192.783,4.0,12.304,9.565,10.391,0.826,4.667,38.792,205.087
2011-05-04,187.667,4.13,10.417,8.917,9.583,0.667,6.583,17.042,198.083
2011-05-05,189.417,2.958,7.542,5.167,5.792,0.625,4.792,14.042,196.958
2011-05-06,190.875,3.333,7.458,9.125,11.0,1.875,4.417,18.458,198.333
2011-05-07,195.708,3.042,10.875,8.333,9.458,1.125,3.583,15.0,206.583
2011-05-08,189.042,4.417,16.458,13.042,14.375,1.333,7.125,25.208,205.5
2011-05-09,190.458,3.542,9.958,8.5,9.208,0.708,4.783,20.913,200.417
2011-05-10,183.13,3.125,9.565,11.435,13.217,1.783,5.292,32.208,192.696
