date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,92.0,75.708,51.0,8.875,10.958,2.083,,0.0,1.25,16.708,11.6,4.404,-0.8
2011-01-02,91.0,64.333,36.0,8.375,10.75,2.375,,0.0,1.417,14.125,9.8,5.512,2.1
2011-01-03,79.0,52.792,22.0,5.667,6.208,0.542,,0.0,0.958,3.333,10.0,3.7,-2.0
2011-01-04,89.0,58.25,36.0,6.417,7.5,1.083,,0.0,1.958,6.292,11.3,4.096,-2.6
2011-01-05,84.0,53.667,17.0,9.043,11.522,2.478,,0.0,0.917,3.792,9.4,1.842,-4.1
2011-01-06,90.0,69.125,33.0,12.125,17.958,5.833,,0.0,1.333,10.375,9.4,1.262,-3.8
2011-01-07,93.0,61.458,23.0,10.375,17.25,6.875,,0.0,0.5,15.292,8.5,0.917,-4.8
2011-01-08,82.0,59.125,26.0,7.0,8.375,1.375,,0.0,0.75,8.75,9.0,1.792,-4.4
2011-01-09,93.0,71.208,39.0,11.375,14.875,3.5,,0.0,1.458,22.5,11.1,3.146,-1.8
2011-01-10,93.0,75.583,40.0,8.125,13.0,4.875,,0.0,0.565,14.25,11.1,3.1,-3.4
2011-01-11,95.0,74.667,39.0,9.125,15.208,6.083,,0.0,1.417,14.042,10.4,3.7,-0.8
2011-01-12,75.0,48.75,26.0,12.083,15.333,3.25,,0.0,1.5,5.333,6.6,1.467,-2.6
2011-01-13,91.0,70.708,37.0,10.167,16.125,5.958,,0.0,0.958,13.125,11.1,2.446,-3.1
2011-01-14,89.0,64.083,29.0,10.75,14.25,3.5,,0.0,0.958,10.667,7.7,1.0,-4.5
2011-01-15,89.0,65.25,31.0,5.958,7.542,1.583,,0.0,0.333,8.833,6.8,1.079,-3.8
2011-01-16,76.0,50.5,35.0,10.0,11.667,1.667,,0.0,0.833,13.583,5.0,2.871,-0.1
