date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,201.208,90.0,76.625,56.0,15.833,13.625,18.083,4.458,0.0,2.208,22.833,9.9,3.754,-1.0,217.042
2011-01-02,197.292,91.0,66.75,39.0,12.208,11.0,15.5,4.5,0.0,2.458,17.5,9.7,5.071,1.4,209.5
2011-01-03,189.25,74.0,43.833,25.0,5.0,5.958,7.167,1.208,0.0,1.542,4.333,9.8,5.125,0.5,194.25
2011-01-04,199.043,86.0,59.583,40.0,8.522,9.125,13.167,4.042,0.0,2.565,8.083,10.6,3.571,-4.2,207.565
2011-01-05,195.417,80.0,49.167,23.0,6.875,9.458,12.625,3.167,0.0,1.667,3.042,8.8,2.196,-3.9,202.292
2011-01-06,197.708,84.0,66.292,36.0,11.75,16.667,24.917,8.25,0.0,1.875,9.125,10.6,1.662,-3.4,209.458
2011-01-07,198.042,89.0,56.417,28.0,9.958,12.667,18.292,5.625,0.0,1.458,6.542,8.4,2.004,-3.2,208.0
2011-01-08,197.833,77.0,57.0,28.0,7.875,8.708,11.625,2.917,0.0,1.25,8.708,9.4,2.029,-3.7,205.708
2011-01-09,202.708,89.0,69.542,43.0,15.5,17.333,24.667,7.333,0.0,2.208,22.583,10.5,3.05,-1.5,218.208
2011-01-10,201.708,94.0,75.417,42.0,9.917,11.042,19.125,8.083,0.0,0.75,17.083,11.1,3.046,-3.3,211.625
2011-01-11,196.478,95.0,76.667,45.0,10.783,12.167,22.917,10.75,0.0,1.913,16.417,9.6,3.304,-0.8,207.261
2011-01-12,194.318,73.0,47.833,32.0,9.636,15.565,20.591,5.0,0.0,2.348,6.696,6.0,1.575,-1.5,203.955
2011-01-13,199.292,87.0,67.542,39.0,15.708,17.792,29.917,12.125,0.0,1.958,18.375,11.1,2.554,-3.6,215.0
2011-01-14,196.875,85.0,56.875,34.0,9.958,14.167,19.25,5.083,0.0,1.958,11.125,7.5,1.692,-4.1,206.833
2011-01-15,202.625,84.0,63.542,36.0,9.25,9.042,11.458,2.417,0.0,0.875,17.458,6.0,0.871,-3.4,211.875
2011-01-16,197.5,77.0,52.542,40.0,7.083,13.167,15.792,2.625,0.0,1.083,12.25,4.2,2.317,-0.8,204.583
2011-01-17,193.167,83.0,55.917,34.0,6.167,9.958,12.25,2.292,0.0,1.042,8.708,6.9,2.629,-2.6,199.333
2011-01-18,197.565,91.0,74.167,47.0,11.739,15.417,24.292,8.875,0.0,3.261,20.333,9.7,1.871,-4.8,209.304
2011-01-19,195.833,93.0,73.292,53.0,11.417,10.583,20.958,10.375,0.0,1.208,25.542,9.8,4.358,-1.3,207.25
2011-01-20,189.958,94.0,88.125,62.0,12.333,15.25,17.792,2.542,15.0,2.958,20.167,5.8,3.229,2.2,202.292
2011-01-21,190.208,96.0,90.833,85.0,14.958,18.125,21.458,3.333,15.0,1.917,13.917,3.5,2.95,2.6,205.167
2011-01-22,190.792,98.0,96.125,92.0,15.833,19.292,23.958,4.667,24.0,1.875,15.75,6.7,4.242,1.4,206.625
2011-01-23,195.417,99.0,90.167,68.0,11.875,15.25,23.917,8.667,3.0,1.0,12.875,9.0,3.95,0.1,207.292
2011-01-24,192.917,96.0,82.5,66.0,7.417,12.13,15.091,3.045,8.0,1.0,11.083,3.8,0.996,-0.9,200.333
2011-01-25,195.957,97.0,81.5,44.0,11.087,17.042,29.625,12.583,1.0,2.0,17.708,8.4,2.017,-1.4,207.043
2011-01-26,193.875,94.0,69.167,38.0,10.708,16.792,23.625,6.833,0.0,1.708,11.875,5.5,0.496,-3.3,204.583
2011-01-27,196.542,91.0,72.75,43.0,9.833,15.125,25.458,10.333,0.0,2.417,13.833,6.5,0.625,-5.0,206.375
