date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,THC_mean
2011-01-01,201.083,25.167,21.125,26.042,4.917,,,9.542,23.333,226.25
2011-01-02,195.792,21.083,14.542,18.167,3.625,,,4.833,20.958,216.875
2011-01-03,190.348,10.304,8.261,9.391,1.13,,,3.375,4.25,200.652
2011-01-04,196.25,12.958,16.833,23.792,6.958,,,6.652,9.261,209.208
2011-01-05,192.917,12.0,12.042,14.833,2.792,,,6.125,3.875,204.917
2011-01-06,195.583,13.792,23.167,33.25,10.083,,,4.875,12.833,209.375
2011-01-07,196.542,16.042,16.042,21.708,5.667,,,3.917,8.208,212.583
2011-01-08,196.542,11.042,12.292,14.792,2.5,,,3.5,8.917,207.583
2011-01-09,202.75,25.125,24.75,38.958,14.208,,,6.708,21.125,227.875
2011-01-10,200.783,14.348,16.783,32.913,16.13,,,3.167,18.833,215.13
2011-01-11,196.125,17.792,17.333,29.833,12.5,,,3.957,13.522,213.917
2011-01-12,193.792,10.667,16.25,21.792,5.542,,,3.875,8.458,204.458
2011-01-13,200.0,21.625,24.583,49.625,25.042,,,4.458,13.792,221.625
2011-01-14,192.667,11.875,16.958,22.208,5.25,,,6.125,9.792,204.542
2011-01-15,9.625,4.708,17.042,21.458,4.417,,,4.5,19.042,14.333
2011-01-16,3.0,3.0,17.708,19.458,1.75,,,5.478,15.217,6.0
2011-01-17,193.6,7.5,13.609,15.348,1.739,,,4.333,8.917,201.1
2011-01-18,199.348,20.043,27.208,49.875,22.667,,,8.333,23.667,219.391
2011-01-19,197.5,16.458,19.625,37.708,18.083,,,4.0,24.292,213.958
2011-01-20,191.958,12.958,15.333,16.875,1.542,,,3.917,19.083,204.917
2011-01-21,192.292,16.958,14.0,15.583,1.583,,,2.833,8.125,209.25
2011-01-22,193.458,17.958,13.833,17.375,3.542,,,2.583,14.458,211.417
2011-01-23,199.708,13.5,16.958,33.75,16.792,,,3.042,18.583,213.208
2011-01-24,195.167,7.458,15.043,17.913,2.87,,,3.292,8.458,202.625
2011-01-25,200.043,22.391,23.417,44.583,21.167,,,5.417,19.333,222.435
2011-01-26,195.708,15.0,18.917,24.083,5.167,,,3.958,12.417,210.708
2011-01-27,199.417,17.292,22.042,40.0,17.958,,,4.625,15.542,216.708
2011-01-28,197.333,11.708,15.875,21.042,5.167,,,4.375,13.333,209.042
2011-01-29,194.208,15.583,7.833,8.667,0.833,,,3.667,7.167,209.792
2011-01-30,194.455,14.0,14.0,16.875,2.875,,,3.304,5.87,208.455
2011-01-31,197.958,22.625,24.174,39.609,15.435,,,5.25,10.125,220.583
2011-02-01,192.478,7.522,13.458,15.708,2.25,,0.0,5.792,12.25,200.0
2011-02-02,191.417,9.875,11.542,14.125,2.583,,0.0,4.292,7.625,201.292
