date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,89.0,68.75,50.0,17.375,21.625,4.25,,0.0,3.25,22.875,10.2,5.104,0.8
2011-01-02,90.0,58.667,32.0,11.583,14.25,2.667,,0.0,1.333,15.292,10.0,6.254,3.5
2011-01-03,63.0,38.083,21.0,9.292,11.083,1.792,,0.0,1.125,4.958,10.0,6.154,2.3
2011-01-04,76.0,52.125,32.0,11.917,17.542,5.625,,0.0,2.75,12.208,11.6,5.033,-1.1
2011-01-05,73.0,41.667,16.0,14.455,17.682,3.227,,0.0,1.609,6.208,9.7,3.925,-2.5
2011-01-06,77.0,56.5,32.0,19.208,27.333,8.125,,0.0,1.25,12.333,9.0,2.996,-1.7
2011-01-07,65.0,39.375,22.0,13.167,15.208,2.042,,0.0,1.25,6.583,8.6,5.104,0.0
2011-01-08,64.0,42.75,24.0,12.125,14.0,1.875,,0.0,1.0,9.292,9.0,4.242,-1.2
2011-01-09,89.0,65.25,41.0,22.625,32.708,10.083,,0.0,2.5,21.75,9.4,4.0,-0.7
2011-01-10,92.0,70.958,38.0,23.667,40.208,16.542,,0.0,2.667,30.455,10.8,4.525,-1.4
2011-01-11,92.0,68.417,34.0,15.083,25.0,9.917,,0.0,1.583,,10.0,4.608,0.6
2011-01-12,60.0,39.75,26.0,16.318,20.227,3.909,,0.0,1.261,14.167,5.6,2.817,0.4
2011-01-13,78.0,59.958,40.0,20.833,32.5,11.667,,0.0,2.417,17.167,10.5,4.271,-1.5
2011-01-14,73.0,48.667,29.0,15.542,19.125,3.583,,0.0,1.625,10.625,7.5,3.217,-1.3
2011-01-15,74.0,53.125,32.0,16.833,20.792,3.958,,0.0,1.958,18.667,6.4,2.604,-1.7
2011-01-16,53.0,46.375,40.0,18.25,20.375,2.125,,0.0,3.458,15.042,4.6,3.496,1.6
2011-01-17,80.0,51.875,31.0,17.167,19.375,2.208,,0.0,3.708,13.792,7.1,3.65,-1.5
2011-01-18,89.0,69.583,40.0,26.792,41.583,14.792,,0.0,2.833,23.667,9.0,2.796,-3.6
