date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean
2011-04-23,2.0,0.833,1.833,1.0,,23.583
2011-04-24,3.667,6.917,8.708,1.792,,23.042
2011-04-25,3.708,9.087,10.522,1.435,,27.167
2011-04-26,3.375,6.458,7.917,1.458,,29.792
2011-04-27,3.0,1.375,1.708,0.333,,48.167
2011-04-28,3.583,4.958,5.542,0.583,,32.417
2011-04-29,3.375,5.958,6.792,0.833,,22.917
2011-04-30,3.333,4.208,5.458,1.25,,27.958
2011-05-01,2.708,1.708,1.833,0.125,,30.208
2011-05-02,4.458,13.913,16.783,2.87,,68.333
2011-05-03,3.958,10.542,11.708,1.167,,49.708
2011-05-04,3.957,8.0,8.75,0.75,,28.208
2011-05-05,3.542,5.333,5.708,0.375,,28.375
2011-05-06,3.5,8.333,9.792,1.458,,29.125
2011-05-07,3.083,6.542,7.0,0.458,,27.167
2011-05-08,4.375,9.292,10.375,1.083,,34.792
2011-05-09,3.542,5.0,5.87,0.87,,33.292
2011-05-10,2.667,5.208,6.5,1.292,,41.739
2011-05-11,3.087,5.042,5.958,0.917,,20.417
2011-05-12,5.125,18.667,23.958,5.292,,34.375
2011-05-13,4.375,9.958,12.833,2.875,,37.667
2011-05-14,3.917,7.5,8.542,1.042,,53.667
2011-05-15,3.292,2.792,3.542,0.75,,28.208
2011-05-16,2.875,1.783,2.087,0.304,,33.0
2011-05-17,3.042,5.208,5.875,0.667,,32.542
2011-05-18,3.826,5.708,7.042,1.333,,42.583
2011-05-19,3.083,4.458,5.125,0.667,,37.167
2011-05-20,2.792,4.0,4.625,0.625,,39.417
2011-05-21,2.125,3.208,3.917,0.708,,29.042
2011-05-22,2.417,3.083,3.917,0.833,,25.125
2011-05-23,4.083,13.478,17.0,3.522,,22.25
2011-05-24,4.167,17.542,23.042,5.5,,27.0
2011-05-25,3.0,5.917,9.083,3.167,,22.875
2011-05-26,2.583,5.125,7.375,2.25,,25.708
2011-05-27,2.708,5.667,7.667,2.0,,24.833
2011-05-28,4.375,16.583,21.417,4.833,,30.125
2011-05-29,2.792,4.917,6.458,1.542,,14.708
2011-05-30,3.333,12.13,15.435,3.304,,16.917
2011-05-31,2.875,8.667,11.417,2.75,,27.417
2011-06-01,2.304,4.875,6.792,1.917,,37.625
2011-06-02,2.708,9.167,17.542,8.375,,41.208
2011-06-03,4.833,17.375,24.0,6.625,,46.667
2011-06-04,2.542,3.417,4.667,1.25,,35.875
2011-06-05,2.208,3.292,3.958,0.667,,36.708
2011-06-06,2.917,12.696,15.913,3.217,,39.833
2011-06-07,2.5,3.625,4.458,0.833,,44.625
2011-06-08,4.348,15.542,19.667,4.125,,30.5
2011-06-09,3.0,4.167,6.0,1.833,,27.542
2011-06-10,2.083,2.083,3.083,1.0,,23.458
2011-06-11,3.083,6.917,9.0,2.083,,40.5
