date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,210.833,67.0,49.958,38.0,23.208,22.083,29.917,7.833,28.417,0.0,0.917,18.542,73.0,42.75,13.0,234.042
2011-01-02,200.304,76.0,52.958,26.0,12.826,12.826,17.957,5.13,14.625,0.0,0.304,10.75,103.0,46.667,10.0,213.13
2011-01-03,192.042,41.0,31.417,20.0,6.125,9.792,10.458,0.667,2.375,0.0,0.0,2.625,99.0,59.125,28.0,198.167
2011-01-04,199.652,60.0,42.667,30.0,17.391,20.435,29.043,8.609,8.13,0.0,0.783,4.87,92.0,44.833,-2.0,217.043
2011-01-05,194.208,48.0,30.917,20.0,8.167,12.542,14.25,1.708,4.292,0.0,0.75,4.125,86.0,48.042,21.0,202.375
2011-01-06,202.083,54.0,39.292,23.0,21.667,33.75,53.417,19.667,13.167,0.0,1.667,10.708,100.0,49.667,13.0,223.75
2011-01-07,197.5,60.0,41.143,21.0,10.875,14.583,16.333,1.75,5.833,0.0,0.542,5.625,85.0,45.375,15.0,208.375
2011-01-08,198.5,,,,9.75,13.208,14.667,1.458,6.167,0.0,0.583,2.708,89.0,50.25,18.0,208.25
2011-01-09,206.174,,,,19.435,24.043,32.087,8.043,18.583,0.0,1.435,13.75,108.0,50.25,10.0,225.609
2011-01-10,201.826,57.0,40.429,29.0,21.391,27.783,43.13,15.348,18.217,0.0,1.087,13.625,97.0,52.522,-6.0,223.217
2011-01-11,195.333,76.0,53.292,36.0,17.583,22.75,37.958,15.208,15.5,0.0,0.958,10.833,106.0,47.417,13.0,212.917
2011-01-12,195.583,47.0,32.125,21.0,14.917,21.417,33.292,11.875,7.75,0.0,0.542,5.417,70.0,29.5,2.0,210.5
2011-01-13,200.292,53.0,41.417,26.0,28.458,36.542,73.875,37.333,15.708,0.0,1.917,10.417,106.0,43.0,-15.0,228.75
2011-01-14,199.542,57.0,36.042,23.0,16.292,22.25,31.917,9.667,8.292,0.0,1.0,4.333,79.0,39.792,7.0,215.833
2011-01-15,205.25,50.0,41.375,31.0,24.292,26.083,39.458,13.375,19.583,0.0,1.333,12.292,65.0,32.25,-3.0,229.542
2011-01-16,201.091,52.0,41.708,34.0,18.227,28.182,40.864,12.682,22.087,0.0,1.1,14.714,49.0,33.375,13.0,219.318
2011-01-17,199.375,60.0,41.833,28.0,14.542,20.083,30.167,10.083,10.708,0.0,0.917,8.875,83.0,44.417,21.0,213.917
2011-01-18,209.375,65.0,52.042,34.0,36.083,39.292,79.667,40.375,27.083,0.0,1.75,21.042,91.0,38.0,-11.0,245.458
2011-01-19,202.0,64.0,55.292,43.0,23.625,24.917,47.583,22.667,25.958,0.0,1.833,22.625,109.0,51.0,-2.0,225.625
2011-01-20,192.792,90.0,85.292,73.0,9.542,15.458,18.833,3.375,15.333,14.0,0.25,13.542,44.0,23.792,17.0,202.333
2011-01-21,193.0,91.0,83.25,72.0,8.083,12.917,13.958,1.042,7.083,20.0,0.0,4.375,34.0,27.375,22.0,201.083
2011-01-22,196.917,92.0,84.542,77.0,12.417,13.542,17.167,3.625,5.0,6.0,0.083,2.875,68.0,45.417,29.0,209.333
2011-01-23,208.182,91.0,85.389,78.0,30.364,27.591,67.955,40.364,13.292,8.0,0.636,11.783,63.0,34.611,6.0,238.545
2011-01-24,202.5,89.0,61.083,44.0,16.542,27.083,39.292,12.208,9.083,11.0,0.667,6.583,45.0,18.833,-8.0,219.042
