date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,THC_mean
2011-04-01,,4.375,,44.0,68.75,24.75,
2011-04-02,,5.042,,36.292,54.833,18.542,
2011-04-03,,4.167,,20.917,32.375,11.458,
2011-04-04,,3.045,,20.208,27.292,7.083,
2011-04-05,,4.333,,40.667,66.75,26.083,
2011-04-06,,5.708,,50.458,91.25,40.792,
2011-04-07,,4.75,,50.625,95.333,44.708,
2011-04-08,,3.792,,41.5,68.542,27.042,
2011-04-09,,3.5,,30.167,49.583,19.417,
2011-04-10,,4.333,,19.792,28.583,8.792,
2011-04-11,,4.87,,38.75,72.542,33.792,
2011-04-12,,3.083,,16.5,25.955,9.455,
2011-04-13,,4.917,,47.5,75.333,27.833,
2011-04-14,,5.542,,45.292,62.667,17.375,
2011-04-15,,5.083,,45.208,79.75,34.542,
2011-04-16,,4.167,,31.708,53.458,21.75,
2011-04-17,,3.667,,15.625,22.833,7.208,
2011-04-18,,4.261,,37.583,64.75,27.167,
2011-04-19,,2.625,,19.958,30.042,10.083,
2011-04-20,,3.75,,29.708,50.958,21.25,
2011-04-21,,3.833,,33.167,65.625,32.458,
2011-04-22,,4.458,,37.542,64.375,26.833,
2011-04-23,,3.375,,23.75,41.417,17.667,
2011-04-24,,3.375,,13.333,17.667,4.333,
2011-04-25,,4.348,,27.636,42.591,14.955,
2011-04-26,,4.792,,42.792,67.417,24.625,
2011-04-27,,4.208,,30.25,44.75,14.5,
2011-04-28,,4.25,,35.333,56.917,21.583,
2011-04-29,,4.292,,23.042,34.0,10.958,
2011-04-30,,5.042,,35.125,51.875,16.75,
2011-05-01,,4.625,,23.583,32.833,9.25,
2011-05-02,,3.522,,17.042,27.667,10.625,
2011-05-03,,3.958,,18.833,24.75,5.917,
2011-05-04,,4.391,,21.826,29.913,8.087,
2011-05-05,,3.292,,15.167,20.5,5.333,
2011-05-06,,4.125,,30.458,52.917,22.458,
2011-05-07,,4.542,,32.708,68.167,35.458,
2011-05-08,,5.583,,23.042,33.083,10.042,
2011-05-09,,5.739,,50.045,100.591,50.545,
2011-05-10,,4.875,,40.958,72.083,31.125,
2011-05-11,,4.958,,42.25,72.667,30.417,
2011-05-12,,3.333,,23.208,33.083,9.875,
2011-05-13,,5.583,,35.208,86.292,51.083,
2011-05-14,,5.583,,39.042,66.958,27.917,
2011-05-15,,4.25,,19.875,26.375,6.5,
2011-05-16,,5.0,,43.583,72.917,29.333,
2011-05-17,,5.042,,44.125,74.292,30.167,
2011-05-18,,5.917,,41.458,62.917,21.458,
2011-05-19,191.077,5.75,26.923,42.609,78.87,36.261,218.0
2011-05-20,196.333,5.583,36.042,47.542,86.958,39.417,232.375
2011-05-21,190.792,4.417,33.542,35.292,64.125,28.833,224.333
2011-05-22,188.333,3.458,24.792,16.417,25.708,9.292,213.125
2011-05-23,189.8,3.043,18.65,25.952,42.143,16.19,208.45
2011-05-24,192.583,3.5,17.125,26.417,39.958,13.542,209.708
2011-05-25,199.625,5.792,30.417,49.25,110.167,60.917,230.042
2011-05-26,195.167,4.708,22.625,40.667,77.5,36.833,217.792
2011-05-27,194.917,5.125,23.792,41.458,87.958,46.5,218.708
2011-05-28,192.125,3.875,21.542,28.625,47.375,18.75,213.667
2011-05-29,189.542,3.417,17.333,14.167,21.0,6.833,206.875
2011-05-30,186.364,2.13,9.364,13.792,21.333,7.542,195.727
2011-05-31,189.708,2.958,7.583,20.875,38.292,17.417,197.292
2011-06-01,192.5,4.0,9.333,30.333,67.75,37.417,201.833
2011-06-02,198.333,5.125,22.042,30.292,69.0,38.708,220.375
2011-06-03,195.25,5.667,26.458,39.5,61.417,21.917,221.708
2011-06-04,192.875,5.542,29.583,35.375,65.5,30.125,222.458
2011-06-05,193.5,5.083,28.208,23.375,32.542,9.167,221.708
2011-06-06,192.095,4.217,21.952,27.273,37.0,9.727,214.048
2011-06-07,194.292,6.208,27.125,46.375,87.542,41.167,221.417
2011-06-08,192.167,3.167,18.042,29.458,43.75,14.292,210.208
2011-06-09,193.833,4.667,23.0,41.542,73.0,31.458,216.833
2011-06-10,186.75,4.667,23.875,42.167,89.667,47.5,210.625
2011-06-11,191.292,5.083,21.417,28.208,47.75,19.542,212.708
2011-06-12,199.75,5.25,23.75,22.875,30.625,7.75,223.5
2011-06-13,192.4,5.318,26.05,39.625,71.833,32.208,218.45
2011-06-14,196.25,5.208,26.583,42.458,82.083,39.625,222.833
2011-06-15,193.625,4.417,20.417,39.5,79.625,40.125,214.042
2011-06-16,198.75,4.583,28.458,36.5,77.792,41.292,227.208
2011-06-17,189.042,3.167,20.292,26.167,40.625,14.458,209.333
2011-06-18,194.125,5.667,26.292,38.792,76.833,38.042,220.417
2011-06-19,194.917,5.0,22.458,19.042,27.833,8.792,217.375
2011-06-20,184.333,5.261,30.619,41.81,97.286,55.476,214.952
2011-06-21,188.375,4.625,35.917,36.083,86.458,50.375,224.292
2011-06-22,192.5,6.25,53.0,44.042,79.708,35.667,245.5
2011-06-23,185.042,5.25,43.667,34.542,90.417,55.875,228.708
2011-06-24,178.167,3.833,27.792,23.0,59.708,36.708,205.958
2011-06-25,187.542,4.042,25.292,21.75,41.667,19.917,212.833
2011-06-26,191.958,3.792,24.375,13.583,21.833,8.25,216.333
2011-06-27,195.364,4.261,29.682,25.208,65.042,39.833,225.045
2011-06-28,203.292,5.542,48.292,37.083,71.833,34.75,251.583
2011-06-29,191.875,4.833,36.167,36.458,70.625,34.167,228.042
2011-06-30,198.125,4.75,45.792,34.375,58.167,23.792,243.917
2011-07-01,191.957,4.4,48.913,35.167,63.167,28.0,240.87
2011-07-02,184.833,,34.917,19.75,33.5,13.75,219.75
2011-07-03,179.375,,28.333,14.792,21.708,6.917,207.708
2011-07-04,179.182,,35.955,23.909,48.773,24.864,215.136
2011-07-05,183.708,,34.833,32.75,54.333,21.583,218.542
2011-07-06,197.542,,34.542,30.875,48.167,17.292,232.083
2011-07-07,181.417,,31.625,28.5,71.958,43.458,213.042
2011-07-08,180.625,,40.917,26.917,75.375,48.458,221.542
2011-07-09,181.958,,51.375,25.167,68.333,43.167,233.333
2011-07-10,178.833,,33.167,16.333,40.042,23.708,212.0
2011-07-11,177.136,,29.5,20.958,54.833,33.875,206.636
2011-07-12,176.208,,28.125,19.708,60.042,40.333,204.333
2011-07-13,177.208,,26.333,21.583,60.167,38.583,203.542
2011-07-14,177.458,,27.333,23.375,63.625,40.25,204.792
2011-07-15,178.583,,31.167,30.391,69.261,38.87,209.75
2011-07-16,176.667,,29.667,24.083,58.917,34.833,206.333
2011-07-17,176.083,,26.167,15.0,31.25,16.25,202.25
2011-07-18,174.864,,29.318,14.875,38.083,23.208,204.182
2011-07-19,180.182,,23.818,15.545,77.727,62.182,204.0
2012-01-01,201.087,5.167,21.087,22.25,31.208,8.958,222.174
2012-01-02,202.708,5.25,22.333,23.958,35.167,11.208,225.042
2012-01-03,197.292,2.458,8.292,8.75,9.583,0.833,205.583
2012-01-04,196.125,2.0,6.917,5.333,5.625,0.292,203.042
2012-01-05,201.292,4.042,18.542,22.542,30.417,7.875,219.833
2012-01-06,202.375,5.333,25.083,25.875,35.917,10.042,227.458
2012-01-07,197.136,4.696,23.182,33.565,55.652,22.087,220.318
2012-01-08,197.708,4.708,27.0,33.708,53.583,19.875,224.708
2012-01-09,195.458,3.667,20.0,26.958,39.5,12.542,215.458
2012-01-10,195.667,3.208,16.75,23.292,31.208,7.917,212.417
2012-01-11,198.083,4.042,23.667,25.167,39.25,14.083,221.75
2012-01-12,200.75,5.667,35.375,35.833,55.833,20.0,236.125
2012-01-13,211.417,10.25,61.083,43.958,92.542,48.583,272.5
