date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,204.292,84.0,69.75,51.0,24.875,17.792,20.208,2.417,0.0,3.667,21.583,9.3,4.488,1.0,229.167
2011-01-02,199.583,85.0,60.417,32.0,20.958,14.875,18.542,3.667,0.0,2.708,16.458,9.7,5.638,1.9,220.542
2011-01-03,191.833,55.0,36.875,23.0,11.125,10.5,11.208,0.708,0.0,3.542,3.708,9.6,6.292,2.7,202.958
2011-01-04,197.783,71.0,50.25,35.0,9.783,14.261,18.652,4.391,0.0,4.043,8.391,9.7,4.688,-1.8,207.565
2011-01-05,196.136,40.0,32.292,21.0,8.182,11.826,13.652,1.826,0.0,4.227,3.727,9.5,5.829,3.0,204.318
2011-01-06,198.167,71.0,47.25,32.0,10.208,19.917,26.917,7.0,0.0,4.833,10.833,9.1,4.775,0.8,208.375
2011-01-07,199.417,70.0,42.167,26.0,15.167,24.667,34.875,10.208,0.0,8.542,7.958,8.8,4.829,1.5,214.583
2011-01-08,199.542,60.0,42.917,26.0,6.958,13.792,17.833,4.042,0.0,4.875,7.167,8.8,4.388,1.1,206.5
2011-01-09,204.5,89.0,63.333,43.0,17.833,21.208,26.292,5.083,0.0,4.542,18.292,10.0,4.512,0.1,222.333
2011-01-10,205.167,92.0,67.208,32.0,15.167,16.333,23.375,7.042,0.0,2.125,17.542,10.9,5.062,-1.3,220.333
2011-01-11,197.783,90.0,68.458,40.0,25.261,20.652,31.87,11.217,0.0,3.696,14.522,11.0,4.688,0.5,223.043
2011-01-12,194.833,54.0,40.708,28.0,15.0,16.5,21.042,4.542,0.0,4.667,7.917,6.1,2.733,0.1,209.833
2011-01-13,200.583,77.0,58.75,36.0,25.833,21.875,36.375,14.5,0.0,3.292,13.208,10.7,3.842,-2.9,226.417
2011-01-14,196.708,66.0,47.5,30.0,14.5,18.542,23.875,5.333,0.0,7.25,10.333,7.3,3.204,-1.3,211.208
2011-01-15,202.75,68.0,51.375,32.0,13.917,12.958,14.208,1.25,0.0,3.708,16.292,6.1,2.533,-2.0,216.667
2011-01-16,199.0,63.0,49.833,40.0,12.625,14.708,15.583,0.875,0.0,5.333,12.958,5.2,3.192,1.2,211.625
2011-01-17,193.667,80.0,54.417,31.0,8.167,7.833,8.042,0.208,0.0,2.792,6.958,8.3,3.458,-1.7,201.833
2011-01-18,198.0,82.0,66.917,38.0,19.913,20.261,27.696,7.435,0.0,4.0,19.043,10.2,3.362,-3.0,217.913
2011-01-19,197.583,81.0,64.25,47.0,25.625,19.458,29.625,10.167,0.0,2.792,23.375,11.5,5.729,0.4,223.208
2011-01-20,191.25,94.0,88.083,65.0,27.292,23.417,29.042,5.625,16.0,7.583,13.833,6.0,3.446,2.2,218.542
2011-01-21,190.917,94.0,88.583,82.0,34.292,24.917,34.25,9.333,20.0,6.333,15.125,3.6,3.2,2.8,225.208
2011-01-22,192.25,95.0,93.458,90.0,27.5,20.167,25.875,5.708,24.0,3.75,12.375,6.8,4.554,1.9,219.75
2011-01-23,200.583,95.0,87.417,66.0,21.042,17.625,27.125,9.5,6.0,2.292,12.958,9.8,4.579,0.7,221.625
2011-01-24,186.261,94.0,71.917,34.0,12.739,12.833,15.458,2.625,4.0,3.292,8.292,6.6,1.688,-1.1,199.0
2011-01-25,197.762,94.0,70.458,31.0,17.143,18.176,30.118,11.941,0.0,3.348,12.87,8.5,2.629,-1.5,214.905
2011-01-26,194.708,92.0,57.583,30.0,29.667,19.522,26.391,6.87,0.0,4.211,7.421,6.3,1.542,-2.7,224.375
2011-01-27,196.043,78.0,61.042,38.0,11.609,18.696,31.391,12.696,0.0,4.304,15.261,7.3,1.354,-4.7,207.652
2011-01-28,195.5,82.0,50.667,29.0,9.083,18.833,23.583,4.75,0.0,5.583,13.125,6.0,1.504,-3.2,204.583
