date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,83.0,65.5,45.0,16.208,18.667,2.458,8.3,3.217,-0.6
2011-01-02,90.0,61.375,28.0,10.667,14.542,3.875,10.0,4.196,-0.6
2011-01-03,63.0,35.875,19.0,5.333,5.625,0.292,10.4,5.212,1.1
2011-01-04,81.0,51.25,28.0,13.375,16.208,2.833,9.9,3.429,-2.7
2011-01-05,62.0,33.875,16.0,8.958,10.125,1.167,9.4,4.108,-0.3
2011-01-06,77.0,51.792,29.0,20.783,27.174,6.391,9.2,2.717,-2.1
2011-01-07,85.0,49.417,20.0,13.417,19.167,5.75,8.6,2.308,-3.4
2011-01-08,76.0,51.167,23.0,14.833,17.083,2.25,9.3,2.242,-3.2
2011-01-09,91.0,62.792,40.0,14.167,17.167,3.0,9.6,3.579,-1.5
2011-01-10,91.0,61.625,28.0,19.292,23.917,4.625,9.3,4.175,-2.1
2011-01-11,86.0,71.583,41.0,13.875,21.458,7.583,9.3,3.288,-0.8
2011-01-12,81.0,46.542,27.0,14.958,23.208,8.25,5.5,0.833,-4.0
2011-01-13,80.0,57.875,28.0,32.087,62.913,30.826,9.8,2.496,-4.7
2011-01-14,83.0,53.083,23.0,11.708,16.792,5.083,8.1,1.588,-3.7
2011-01-15,72.0,54.958,31.0,16.917,20.917,4.0,5.9,1.158,-3.2
2011-01-16,73.0,50.25,34.0,7.75,8.458,0.708,4.4,2.225,-0.9
2011-01-17,83.0,52.667,31.0,11.792,15.833,4.042,6.6,2.875,-1.7
2011-01-18,88.0,66.958,37.0,22.458,34.917,12.458,9.1,2.183,-3.8
2011-01-19,84.0,64.792,50.0,16.542,27.208,10.667,9.8,4.375,-2.2
2011-01-20,94.0,87.875,62.0,5.478,5.696,0.217,5.3,3.108,2.3
2011-01-21,95.0,88.708,79.0,7.333,8.375,1.042,3.6,2.762,2.1
2011-01-22,96.0,94.917,94.0,8.458,9.875,1.417,6.3,3.721,1.1
2011-01-23,97.0,90.667,68.0,13.542,32.208,18.667,7.3,3.067,-0.5
2011-01-24,96.0,77.25,44.0,15.625,17.917,2.292,3.8,0.942,-2.0
2011-01-25,92.0,67.833,21.0,22.542,42.708,20.167,8.3,2.0,-2.7
2011-01-26,92.0,61.167,28.0,13.125,15.333,2.208,6.4,0.433,-3.3
2011-01-27,84.0,63.167,32.0,18.0,32.304,14.304,6.8,0.429,-5.3
2011-01-28,88.0,56.5,22.0,12.833,15.417,2.583,6.3,0.079,-4.3
2011-01-29,61.0,37.958,22.0,4.458,4.833,0.375,6.3,1.488,-2.1
2011-01-30,74.0,41.208,20.0,13.417,16.833,3.417,6.0,1.154,-3.5
2011-01-31,77.0,48.333,27.0,24.292,37.417,13.125,8.3,1.454,-5.6
2011-02-01,73.0,45.583,31.0,13.667,16.292,2.625,11.9,4.812,-3.5
2011-02-02,58.0,32.917,14.0,7.625,8.667,1.042,5.9,1.246,-2.9
2011-02-03,74.0,47.458,16.0,23.435,33.087,9.652,6.5,0.188,-5.4
2011-02-04,83.0,47.958,17.0,23.625,49.583,25.958,10.8,2.567,-5.0
2011-02-05,83.0,53.958,27.0,9.0,10.708,1.708,8.6,3.754,-2.6
2011-02-06,95.0,90.792,78.0,27.25,33.625,6.375,4.2,3.008,-0.6
2011-02-07,96.0,95.792,94.0,19.083,28.0,8.917,15.0,6.971,4.2
2011-02-08,96.0,61.542,31.0,13.833,16.333,2.5,7.3,5.6,1.7
2011-02-09,65.0,41.042,15.0,13.25,15.708,2.458,8.2,2.704,-2.3
2011-02-10,86.0,55.333,26.0,21.0,28.609,7.609,9.0,3.538,-1.5
2011-02-11,94.0,57.625,22.0,9.917,11.833,1.917,8.8,3.442,-2.4
2011-02-12,63.0,39.333,21.0,8.792,9.292,0.5,9.3,3.458,-2.0
2011-02-13,76.0,59.25,36.0,13.625,15.083,1.458,8.6,3.658,-2.3
2011-02-14,96.0,88.75,64.0,19.792,22.792,3.0,5.8,4.596,3.4
2011-02-15,96.0,82.833,58.0,25.375,36.542,11.167,8.4,5.596,3.7
2011-02-16,96.0,71.458,50.0,9.125,10.583,1.458,3.3,1.517,0.4
2011-02-17,97.0,81.417,44.0,10.174,11.957,1.783,6.8,2.304,-0.4
2011-02-18,94.0,56.625,21.0,5.667,6.875,1.208,5.7,0.833,-3.1
2011-02-19,83.0,49.208,17.0,11.792,13.167,1.375,7.4,0.942,-5.8
2011-02-20,87.0,52.875,19.0,19.708,23.458,3.75,9.8,2.821,-3.9
2011-02-21,84.0,49.375,12.0,23.375,35.917,12.542,13.6,5.646,-2.4
2011-02-22,74.0,59.375,48.0,7.542,8.083,0.542,8.4,6.046,2.0
2011-02-23,96.0,92.708,71.0,12.182,13.273,1.091,8.8,5.738,4.2
2011-02-24,66.0,48.292,26.0,11.769,12.154,0.385,14.0,9.567,5.3
2011-02-25,96.0,89.917,69.0,7.458,8.125,0.667,8.4,5.083,3.4
2011-02-26,82.0,59.875,35.0,4.042,4.5,0.458,8.8,5.054,2.5
2011-02-27,47.0,33.875,19.0,4.0,4.75,0.75,9.0,3.946,0.1
2011-02-28,64.0,48.167,32.0,5.625,6.25,0.625,5.9,2.508,-2.0
2011-03-01,95.0,87.708,78.0,10.875,12.292,1.417,10.7,6.808,2.2
2011-03-02,96.0,88.875,78.0,9.174,9.609,0.435,8.9,6.358,3.7
2011-03-03,96.0,70.375,52.0,5.0,5.417,0.417,9.5,6.1,2.8
2011-03-04,89.0,66.917,55.0,4.917,5.375,0.458,6.2,4.65,2.7
2011-03-05,96.0,95.667,93.0,19.458,22.375,2.917,8.0,5.146,2.3
2011-03-06,96.0,94.042,86.0,13.667,15.167,1.5,14.1,10.175,7.8
2011-03-07,96.0,69.833,45.0,7.333,7.792,0.458,13.6,11.329,9.9
2011-03-08,89.0,76.083,59.0,4.208,4.25,0.042,9.7,7.983,6.3
2011-03-09,95.0,94.208,91.0,5.727,5.909,0.182,7.7,6.825,5.4
2011-03-10,95.0,91.875,80.0,3.792,3.875,0.083,5.4,4.288,2.9
2011-03-11,96.0,79.458,56.0,6.0,6.542,0.542,9.5,5.488,1.3
2011-03-12,95.0,47.458,20.0,8.5,10.292,1.792,12.2,5.946,0.1
2011-03-13,81.0,37.833,15.0,7.0,7.542,0.542,10.8,5.742,2.1
2011-03-14,84.0,57.25,26.0,10.792,11.417,0.625,10.7,5.271,-0.6
2011-03-15,92.0,50.25,16.0,14.042,19.542,5.5,13.6,5.808,-0.7
2011-03-16,72.0,51.042,28.0,14.609,15.783,1.174,10.6,5.112,-1.8
2011-03-17,97.0,88.125,61.0,28.25,36.583,8.333,9.1,7.042,5.6
2011-03-18,97.0,95.875,93.0,16.708,20.625,3.917,10.8,8.229,5.8
2011-03-19,97.0,51.083,23.0,11.083,12.25,1.167,12.3,8.238,5.4
2011-03-20,92.0,62.458,45.0,11.042,11.833,0.792,11.6,6.712,2.8
2011-03-21,93.0,41.625,18.0,10.125,10.792,0.667,12.2,6.5,1.3
2011-03-22,89.0,56.375,31.0,35.875,46.25,10.375,13.7,6.921,-1.1
2011-03-23,96.0,84.5,57.0,24.0,37.913,13.913,11.3,8.075,4.6
2011-03-24,96.0,94.958,91.0,13.0,16.167,3.167,8.6,6.5,3.9
2011-03-25,97.0,54.625,25.0,10.958,16.208,5.25,13.0,7.438,1.4
2011-03-26,85.0,49.125,17.0,14.333,17.333,3.0,13.0,5.804,-0.8
2011-03-27,86.0,48.458,15.0,18.083,20.542,2.458,14.0,7.362,-0.7
2011-03-28,91.0,50.0,20.0,16.875,21.042,4.167,16.8,9.458,1.8
2011-03-29,71.0,40.292,12.0,10.792,11.667,0.875,16.9,10.021,1.8
2011-03-30,62.0,53.25,41.0,7.435,7.783,0.348,17.6,14.438,11.8
2011-03-31,93.0,63.25,44.0,6.625,6.917,0.292,19.1,13.758,7.0
2011-04-01,85.0,53.333,15.0,9.565,10.348,0.783,16.1,9.75,1.0
2011-04-02,90.0,58.208,29.0,13.5,15.375,1.875,18.4,12.008,5.3
2011-04-03,81.0,57.667,37.0,4.917,5.042,0.125,8.2,6.479,3.5
2011-04-04,83.0,54.042,26.0,5.625,5.958,0.333,13.4,7.104,2.1
2011-04-05,72.0,41.458,19.0,8.542,8.75,0.208,15.1,7.846,-0.3
2011-04-06,92.0,51.792,14.0,22.333,28.667,6.333,19.6,11.554,1.9
2011-04-07,80.0,60.375,40.0,12.833,13.958,1.125,19.6,14.617,8.9
2011-04-08,80.0,60.333,48.0,9.957,10.391,0.435,17.9,16.438,14.7
2011-04-09,93.0,80.875,70.0,8.75,9.208,0.458,17.6,15.829,10.8
2011-04-10,91.0,64.292,28.0,3.375,3.417,0.042,16.8,12.508,9.1
2011-04-11,91.0,67.167,30.0,11.208,13.25,2.042,19.1,12.654,6.3
2011-04-12,94.0,49.25,14.0,5.667,6.083,0.417,15.5,9.775,4.9
2011-04-13,82.0,50.25,23.0,14.792,16.875,2.083,19.0,12.525,4.5
2011-04-14,85.0,49.375,14.0,15.792,16.458,0.667,23.6,15.158,6.1
2011-04-15,80.0,62.875,41.0,9.522,10.043,0.522,20.9,17.446,12.7
2011-04-16,81.0,61.0,30.0,6.875,7.5,0.625,22.4,17.729,11.1
2011-04-17,74.0,49.333,27.0,3.375,3.458,0.083,16.5,11.904,7.1
2011-04-18,87.0,61.083,38.0,4.5,4.625,0.125,17.4,13.804,9.1
2011-04-19,95.0,79.625,39.0,5.833,6.583,0.75,17.9,11.588,4.7
2011-04-20,92.0,66.5,48.0,5.125,5.458,0.333,14.7,9.321,2.8
2011-04-21,85.0,72.333,55.0,5.0,5.542,0.542,15.1,11.354,8.1
2011-04-22,89.0,68.0,45.0,12.783,14.043,1.261,18.7,15.229,11.0
2011-04-23,94.0,85.5,70.0,3.417,3.583,0.167,18.3,16.238,14.3
2011-04-24,87.0,61.583,40.0,4.625,4.875,0.25,19.3,15.55,10.2
2011-04-25,94.0,63.667,30.0,8.083,8.75,0.667,18.4,12.846,7.4
2011-04-26,92.0,61.5,31.0,11.75,12.917,1.167,19.5,15.033,6.7
2011-04-27,90.0,63.708,49.0,6.167,6.333,0.167,23.2,20.208,16.5
2011-04-28,93.0,64.458,34.0,6.792,7.083,0.292,22.5,18.192,11.8
2011-04-29,87.0,60.167,42.0,4.174,4.391,0.217,17.9,13.508,8.7
2011-04-30,94.0,66.833,44.0,9.417,10.5,1.083,20.9,16.1,8.3
2011-05-01,96.0,74.042,58.0,6.917,7.042,0.125,20.2,17.842,15.6
2011-05-02,96.0,55.333,22.0,9.417,9.833,0.417,24.2,18.158,12.1
2011-05-03,96.0,79.0,54.0,4.292,4.333,0.042,17.8,14.471,11.5
2011-05-04,96.0,66.583,37.0,5.917,6.125,0.208,22.2,16.35,11.9
