date,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean
2011-05-21,1.458,1.458,0.0,0.0,0.042,18.667
2011-05-22,1.292,1.292,0.0,4.0,0.0,8.083
2011-05-23,4.25,4.75,0.5,0.0,1.304,9.75
2011-05-24,3.333,4.0,0.667,29.0,0.0,8.917
2011-05-25,1.833,2.667,0.833,0.0,0.0,9.583
2011-05-26,1.792,2.417,0.625,0.0,0.0,11.333
2011-05-27,1.696,1.826,0.13,1.0,0.0,11.708
2011-05-28,2.333,2.375,0.042,27.0,0.0,6.542
2011-05-29,1.625,1.708,0.083,67.0,0.0,3.083
2011-05-30,2.708,3.042,0.333,23.0,0.087,3.625
2011-05-31,1.333,1.667,0.333,0.0,0.167,14.875
2011-06-01,1.261,1.565,0.304,0.0,0.0,25.0
2011-06-02,1.958,2.375,0.417,28.0,0.0,17.609
2011-06-03,9.826,12.217,2.391,1.0,1.333,26.0
2011-06-04,1.792,2.083,0.292,0.0,0.583,21.375
2011-06-05,1.542,1.542,0.0,0.0,1.083,23.958
2011-06-06,4.792,5.458,0.667,0.0,2.174,24.042
2011-06-07,2.542,2.833,0.292,0.0,1.208,25.0
2011-06-08,2.917,3.125,0.208,3.0,0.0,14.167
2011-06-09,1.833,2.042,0.208,0.0,0.0,12.75
2011-06-10,1.957,2.391,0.435,0.0,0.0,12.25
2011-06-11,3.167,3.417,0.25,44.0,0.083,23.667
2011-06-12,1.458,1.708,0.25,0.0,0.0,24.5
2011-06-13,4.875,5.458,0.583,72.0,0.522,17.625
2011-06-14,2.0,2.375,0.375,0.0,0.0,16.917
2011-06-15,1.783,2.043,0.261,0.0,0.0,8.542
2011-06-16,1.75,2.5,0.75,9.0,0.0,12.333
2011-06-17,1.652,1.696,0.043,19.0,0.125,9.917
2011-06-18,1.583,1.708,0.125,11.0,0.0,12.167
2011-06-19,1.083,1.125,0.042,1.0,0.0,6.708
2011-06-20,1.458,1.708,0.25,0.0,0.217,8.542
2011-06-21,1.542,1.792,0.25,0.0,0.0,6.208
2011-06-22,3.875,4.667,0.792,0.0,1.167,24.792
2011-06-23,2.208,2.625,0.417,0.0,0.292,22.167
