date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,75.0,54.958,40.0,24.5,32.542,8.042,,0.0,1.042,24.958,7.4,3.342,0.2
2011-01-02,81.0,58.708,30.0,15.042,21.167,6.125,,0.0,0.5,15.333,9.3,3.508,-0.1
2011-01-03,52.0,37.167,21.0,10.333,11.958,1.625,,0.0,0.25,3.583,8.7,4.483,0.6
2011-01-04,73.0,48.208,32.0,20.042,27.417,7.375,,0.0,0.875,9.583,8.4,3.388,-1.8
2011-01-05,55.0,34.542,19.0,13.083,14.917,1.833,,0.0,0.625,4.0,7.8,3.671,0.3
2011-01-06,69.0,45.958,28.0,34.292,62.25,27.958,,0.0,1.333,18.208,7.4,3.421,0.0
2011-01-07,75.0,45.375,23.0,17.708,22.542,4.833,,0.0,0.708,12.083,7.4,2.883,-1.3
2011-01-08,55.0,38.25,22.0,14.708,16.458,1.75,,0.0,0.667,8.375,8.1,3.821,-1.0
2011-01-09,82.0,55.125,34.0,26.708,34.667,7.958,,0.0,1.667,22.625,8.5,3.75,-0.9
2011-01-10,82.0,57.667,32.0,30.708,45.792,15.083,,0.0,1.25,22.708,8.1,4.05,-1.9
2011-01-11,84.0,61.667,40.0,21.739,33.913,12.174,,0.0,1.0,19.087,9.1,3.438,-0.3
2011-01-12,63.0,39.125,24.0,22.792,37.958,15.167,,0.0,0.5,10.208,5.5,1.433,-1.9
2011-01-13,68.0,51.458,29.0,40.958,85.833,44.875,,0.0,1.958,21.208,8.0,2.9,-3.6
2011-01-14,75.0,44.917,26.0,23.458,34.875,11.417,,0.0,0.833,3.6,6.8,2.546,-1.9
2011-01-15,61.0,49.875,33.0,29.125,48.417,19.292,,0.0,1.083,,4.7,1.658,-1.4
2011-01-16,63.0,49.792,41.0,28.0,38.5,10.5,,0.0,1.042,23.643,3.3,1.858,-0.4
2011-01-17,78.0,50.167,33.0,19.292,36.083,16.792,,0.0,0.833,15.0,5.9,2.562,-0.7
2011-01-18,81.0,61.458,34.0,39.583,82.292,42.708,,0.0,1.333,32.333,7.7,2.512,-2.9
2011-01-19,74.0,61.792,49.0,23.5,48.042,24.542,,0.0,1.417,29.833,8.9,3.892,-1.6
2011-01-20,94.0,90.292,69.0,13.958,15.917,1.958,,15.0,0.375,23.25,3.4,1.004,0.3
2011-01-21,95.0,87.375,78.0,13.708,15.542,1.833,,17.0,0.0,11.5,2.1,1.4,0.8
2011-01-22,96.0,92.333,84.0,15.292,23.875,8.583,,8.0,0.0,10.0,5.4,2.946,1.4
2011-01-23,96.0,88.625,63.0,25.458,68.125,42.667,,19.0,0.167,20.5,7.1,2.629,-1.0
2011-01-24,95.0,70.5,43.0,26.652,39.957,13.304,,11.0,0.522,9.957,4.2,0.717,-2.8
2011-01-25,90.0,64.125,30.0,34.458,70.167,35.708,,0.0,1.208,25.208,6.6,1.792,-2.8
2011-01-26,91.0,54.083,27.0,24.0,30.833,6.833,,0.0,0.75,11.458,4.5,0.642,-2.8
2011-01-27,78.0,58.75,34.0,29.792,59.5,29.708,,0.0,0.958,17.083,5.4,0.567,-4.5
2011-01-28,80.0,50.542,27.0,22.0,34.625,12.625,,0.0,1.042,17.167,4.5,0.158,-3.7
2011-01-29,45.0,37.083,24.0,5.542,6.25,0.708,,0.0,1.0,5.708,4.7,1.008,-1.1
2011-01-30,61.0,39.958,24.0,24.042,41.75,17.708,,0.0,0.958,10.5,4.6,0.821,-3.9
2011-01-31,70.0,48.125,28.0,34.5,65.083,30.583,,0.0,1.542,14.478,6.5,1.488,-4.4
2011-02-01,70.0,46.958,30.0,22.042,42.042,20.0,,0.0,2.042,15.125,10.7,3.562,-3.2
2011-02-02,49.0,31.167,15.0,10.792,12.375,1.583,,0.0,1.167,7.875,3.8,0.708,-2.1
2011-02-03,68.0,41.25,16.0,34.292,78.208,43.917,,0.0,1.958,17.75,5.5,0.538,-4.8
2011-02-04,74.0,43.583,22.0,34.792,73.167,38.375,,0.0,2.208,18.75,8.7,3.108,-4.0
