date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,212.667,99.0,83.042,57.0,43.625,,,,0.0,3.292,29.375,10.9,4.333,-0.9,256.292
2011-01-02,200.417,99.0,72.333,42.0,34.875,,,,0.0,2.792,23.0,11.2,5.654,1.9,235.292
2011-01-03,190.292,74.0,44.792,25.0,26.167,,,,0.0,3.042,2.333,10.9,5.825,0.6,216.458
2011-01-04,200.435,89.0,62.958,43.0,27.522,11.682,14.273,2.591,0.0,3.217,9.5,11.7,4.104,-3.2,227.957
2011-01-05,194.625,62.0,41.417,20.0,28.375,11.333,12.458,1.125,0.0,2.542,2.958,10.5,5.0,0.8,223.0
2011-01-06,199.833,96.0,59.917,35.0,28.417,18.083,24.667,6.583,0.0,2.792,13.0,9.6,3.508,-1.6,228.25
2011-01-07,199.125,97.0,53.958,26.0,26.583,13.917,17.417,3.5,0.0,1.625,9.625,9.9,3.946,-1.8,225.708
2011-01-08,199.708,77.0,55.042,28.0,22.25,7.625,8.333,0.708,0.0,1.625,6.167,10.5,3.538,-1.8,221.958
2011-01-09,206.792,99.0,70.625,41.0,31.5,15.667,19.875,4.208,0.0,1.667,22.417,12.1,4.283,-0.5,238.292
2011-01-10,205.917,99.0,77.583,38.0,30.042,13.083,17.667,4.583,0.0,0.625,17.958,11.4,4.329,-3.5,235.958
2011-01-11,206.957,99.0,81.5,52.0,34.348,13.609,21.087,7.478,0.0,1.478,17.208,11.9,4.267,-0.5,241.304
2011-01-12,196.0,77.0,51.458,32.0,23.045,11.864,15.091,3.227,0.0,1.435,8.0,8.4,2.054,-2.0,219.045
2011-01-13,208.833,97.0,72.042,38.0,41.792,21.458,39.875,18.417,0.0,2.583,20.417,11.4,3.004,-3.7,250.625
2011-01-14,198.083,84.0,59.625,31.0,32.208,13.083,15.375,2.292,0.0,3.208,9.417,9.1,2.517,-2.7,230.292
2011-01-15,208.875,85.0,62.125,36.0,33.917,10.458,11.333,0.875,0.0,1.25,16.792,6.4,1.838,-3.2,242.792
2011-01-16,195.042,67.0,54.667,44.0,27.75,10.591,10.818,0.227,0.0,0.958,12.292,5.0,3.021,1.1,222.792
2011-01-17,192.375,95.0,61.917,34.0,22.75,7.583,9.167,1.583,0.0,1.125,10.833,8.5,3.192,-3.2,215.125
2011-01-18,200.565,99.0,76.125,41.0,27.304,16.652,24.0,7.348,0.0,1.435,17.542,10.5,3.321,-3.2,227.87
2011-01-19,197.417,99.0,78.167,57.0,34.125,19.25,29.417,10.167,0.0,2.083,24.042,11.0,5.196,-1.0,231.542
2011-01-20,191.5,99.0,95.125,71.0,26.417,13.167,13.583,0.417,15.0,1.792,21.25,5.9,3.438,2.4,217.917
2011-01-21,190.5,99.0,99.0,99.0,32.125,13.75,14.25,0.5,17.0,1.458,12.0,3.8,3.138,2.6,222.625
2011-01-22,197.292,99.0,99.0,99.0,37.333,12.292,12.833,0.542,23.0,1.292,11.25,6.9,4.329,0.8,234.625
2011-01-23,203.167,99.0,96.625,80.0,34.875,14.167,21.75,7.583,4.0,0.667,16.708,10.6,4.246,-0.5,238.042
2011-01-24,196.083,99.0,92.042,71.0,27.75,8.125,10.25,2.125,3.0,0.348,4.826,4.0,0.808,-1.9,223.833
2011-01-25,211.652,99.0,85.5,51.0,33.304,18.348,33.13,14.783,0.0,2.913,19.333,8.8,2.138,-1.8,244.957
2011-01-26,201.958,99.0,70.333,36.0,32.125,14.208,17.5,3.292,0.0,1.333,12.083,7.4,1.129,-3.9,234.083
2011-01-27,208.875,99.0,73.75,39.0,26.083,12.182,19.864,7.682,0.0,1.917,15.75,8.7,1.021,-6.2,234.958
2011-01-28,200.292,99.0,62.25,34.0,23.5,12.208,15.917,3.708,0.0,1.667,8.833,7.4,1.117,-4.7,223.792
2011-01-29,194.625,60.0,45.0,31.0,20.75,6.625,6.875,0.25,0.0,1.917,4.083,6.6,2.088,-1.4,215.375
2011-01-30,194.5,71.0,45.375,28.0,22.833,9.042,10.5,1.458,0.0,2.458,10.125,7.3,2.079,-2.3,217.333
2011-01-31,206.833,94.0,59.208,34.0,34.083,19.792,29.208,9.417,0.0,2.125,10.625,9.6,1.796,-5.9,240.917
2011-02-01,194.783,83.0,55.875,38.0,24.87,8.565,10.13,1.565,0.0,1.478,41.542,11.7,5.246,-4.6,219.652
2011-02-02,193.375,59.0,37.292,21.0,21.917,10.833,12.292,1.458,0.0,2.5,9.542,6.8,2.521,-0.6,215.292
2011-02-03,198.458,94.0,53.083,22.0,26.75,14.833,22.083,7.25,0.0,2.708,8.458,7.3,0.617,-4.6,225.208
2011-02-04,205.125,99.0,67.917,36.0,28.292,10.875,17.333,6.458,0.0,0.833,11.375,11.2,2.975,-5.6,233.417
2011-02-05,207.625,99.0,64.0,37.0,23.542,8.625,10.083,1.458,0.0,1.625,16.333,9.1,3.6,-2.9,231.167
2011-02-06,210.875,99.0,99.0,99.0,49.625,29.708,45.958,16.25,8.0,1.458,45.75,4.8,3.125,-1.6,260.5
2011-02-07,194.75,99.0,99.0,99.0,48.708,20.125,33.667,13.542,52.0,0.833,36.833,17.2,10.471,5.0,243.458
2011-02-08,196.0,99.0,76.125,49.0,41.174,12.522,14.087,1.565,0.0,1.348,6.875,8.6,6.104,2.7,237.174
2011-02-09,205.042,97.0,61.625,35.0,51.625,16.667,23.083,6.417,0.0,1.583,5.667,9.4,2.812,-2.8,256.667
2011-02-10,200.083,97.0,72.583,41.0,30.0,16.0,22.875,6.875,0.0,1.25,8.833,9.7,3.196,-2.1,230.083
2011-02-11,198.25,99.0,69.583,35.0,31.083,8.958,10.458,1.5,0.0,0.958,13.333,9.9,3.75,-0.9,229.333
2011-02-12,203.792,88.0,55.917,32.0,28.958,9.875,11.0,1.125,0.0,1.417,8.042,10.5,3.846,-2.6,232.75
2011-02-13,204.417,99.0,67.25,44.0,25.917,15.542,19.5,3.958,0.0,1.083,20.0,10.9,4.842,-2.2,230.333
2011-02-14,200.667,99.0,99.0,99.0,53.208,30.875,39.292,8.417,6.0,1.333,42.958,5.6,4.7,4.1,253.875
2011-02-15,197.87,99.0,86.833,57.0,51.348,29.522,41.13,11.609,0.0,3.174,37.083,11.1,7.033,4.6,249.217
2011-02-16,193.333,99.0,87.542,65.0,25.917,11.125,12.833,1.708,1.0,1.625,14.208,4.6,2.038,0.7,219.25
2011-02-17,193.667,99.0,85.417,47.0,29.083,15.542,20.167,4.625,5.0,1.542,20.917,9.1,3.338,0.4,222.75
2011-02-18,193.875,99.0,60.542,29.0,23.833,7.667,8.333,0.667,1.0,1.708,6.167,6.8,1.783,-2.4,217.708
2011-02-19,195.125,88.0,60.75,31.0,18.625,7.417,8.458,1.042,0.0,1.833,6.917,7.2,0.371,-5.7,213.75
