date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,96.0,77.625,50.0,12.625,15.125,2.5,8.6,2.988,-2.0
2011-01-02,98.0,71.375,37.0,8.792,11.792,3.0,10.4,4.075,-1.7
2011-01-03,75.0,43.125,24.0,4.913,5.348,0.435,10.3,4.979,-0.5
2011-01-04,91.0,59.0,36.0,11.708,17.833,6.125,10.3,3.262,-3.2
2011-01-05,61.0,37.5,23.0,9.667,12.792,3.125,9.4,4.292,0.3
2011-01-06,90.0,62.042,36.0,23.167,45.667,22.5,8.8,1.771,-3.3
2011-01-07,96.0,57.875,24.0,17.167,45.292,28.125,8.7,1.738,-5.2
2011-01-08,88.0,62.5,28.0,9.333,12.875,3.542,9.5,1.071,-5.6
2011-01-09,97.0,71.083,42.0,17.208,27.833,10.625,10.8,3.692,-0.8
2011-01-10,97.0,71.125,32.0,16.652,31.043,14.391,10.1,4.158,-2.2
2011-01-11,95.0,79.0,48.0,17.542,35.917,18.375,10.6,3.554,-1.0
2011-01-12,90.0,55.167,33.0,16.208,28.167,11.958,6.1,0.575,-3.7
2011-01-13,95.0,69.083,32.0,32.583,99.125,66.542,10.8,2.117,-5.5
2011-01-14,96.0,65.125,30.0,20.958,55.875,34.917,6.8,0.971,-4.4
2011-01-15,84.0,63.458,36.0,15.25,22.083,6.833,6.2,1.192,-3.4
2011-01-16,74.0,55.917,43.0,13.667,17.375,3.708,4.6,2.546,0.4
2011-01-17,93.0,63.292,36.0,11.87,27.217,15.348,7.4,2.479,-3.5
2011-01-18,96.0,75.5,44.0,24.542,66.333,41.792,9.3,2.071,-5.2
2011-01-19,95.0,73.5,58.0,19.0,45.458,26.458,10.0,4.7,-2.3
2011-01-20,98.0,93.167,72.0,6.458,7.292,0.833,5.3,3.817,2.8
2011-01-21,98.0,95.875,92.0,7.708,9.667,1.958,4.2,3.112,2.3
2011-01-22,98.0,98.0,98.0,9.25,13.0,3.75,6.6,3.971,0.2
2011-01-23,98.0,95.208,83.0,16.958,47.833,30.875,8.0,3.142,-0.6
