date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,197.875,74.0,58.042,50.0,20.0,24.333,30.583,6.25,,35.0,8.1,4.471,1.5,217.875
2011-01-02,194.333,86.0,60.458,33.0,15.0,17.292,24.917,7.625,,29.917,9.5,4.85,1.9,209.333
2011-01-03,186.739,50.0,38.667,26.0,3.652,10.75,12.875,2.125,,17.542,9.1,5.512,3.0,190.391
2011-01-04,202.111,74.0,52.125,37.0,24.444,22.667,36.292,13.625,,25.208,9.1,4.162,-0.4,226.556
2011-01-05,187.909,50.0,30.478,13.0,6.364,23.227,43.818,20.591,,19.652,8.2,4.6,1.1,194.273
2011-01-06,196.042,61.0,39.125,30.0,27.542,34.833,73.292,38.458,,30.875,7.8,4.317,1.9,223.583
2011-01-07,191.087,67.0,35.636,14.0,11.435,17.417,26.708,9.292,,20.5,7.5,3.796,-0.7,202.522
2011-01-08,191.083,43.0,31.875,20.0,8.875,14.125,16.25,2.125,,20.958,8.3,4.388,1.0,199.958
2011-01-09,194.75,77.0,50.083,38.0,20.042,27.833,34.625,6.792,,36.125,9.0,4.688,1.1,214.792
2011-01-10,195.0,77.0,56.0,34.0,20.435,32.5,49.958,17.458,,32.583,9.0,5.079,0.1,215.435
2011-01-11,190.304,90.0,63.318,34.0,15.522,19.409,27.682,8.273,,27.783,9.3,4.183,1.1,205.826
2011-01-12,192.542,58.0,37.619,26.0,13.75,24.917,43.458,18.542,,24.208,5.9,2.088,-0.3,206.292
2011-01-13,194.174,95.0,58.917,45.0,39.565,45.708,105.875,60.167,,35.75,8.2,3.446,-1.8,233.739
2011-01-14,194.625,83.0,52.167,34.0,17.083,25.917,46.75,20.833,,24.333,6.9,3.0,-1.0,211.708
2011-01-15,199.125,67.0,57.917,45.0,25.625,28.833,46.042,17.208,,29.333,5.4,2.546,-1.1,224.75
2011-01-16,192.348,66.0,56.917,49.0,12.565,18.833,21.667,2.833,,31.167,4.4,2.992,1.2,204.913
2011-01-17,191.478,87.0,59.625,46.0,13.0,20.238,36.81,16.571,,25.696,6.3,3.388,0.5,204.478
2011-01-18,199.5,95.0,73.042,53.0,31.333,35.375,63.583,28.208,,39.208,8.7,3.396,-1.8,230.833
2011-01-19,193.087,82.0,64.391,49.0,20.565,22.292,37.417,15.125,,39.292,9.2,5.096,0.3,213.652
2011-01-20,187.75,97.0,89.917,54.0,6.875,13.417,15.25,1.833,,31.25,5.3,2.317,1.2,194.625
2011-01-21,187.375,99.0,84.75,71.0,6.917,12.292,13.583,1.292,,25.5,3.3,2.608,2.1,194.292
