date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,4.167,11.833,17.0,5.167,
2011-01-02,4.25,12.292,23.458,11.167,
2011-01-03,3.25,6.75,10.583,3.833,
2011-01-04,4.042,14.792,28.292,13.5,
2011-01-05,3.217,7.957,11.913,3.957,
2011-01-06,2.75,5.25,7.25,2.0,
2011-01-07,3.0,8.5,15.167,6.667,
2011-01-08,3.042,7.75,12.125,4.375,
2011-01-09,4.667,22.25,43.792,21.542,
2011-01-10,3.583,18.917,35.542,16.625,
2011-01-11,3.833,16.042,33.958,17.917,
2011-01-12,3.571,15.333,32.0,16.667,
2011-01-13,4.375,19.458,56.5,37.042,
2011-01-14,3.875,6.833,18.25,11.417,
2011-01-15,3.458,3.875,11.583,7.708,
2011-01-16,4.458,18.5,45.091,26.591,
2011-01-17,5.0,26.667,65.208,38.542,
2011-01-18,5.875,31.167,80.375,49.208,
2011-01-19,5.913,31.478,80.913,49.435,
2011-01-20,5.833,32.833,97.417,64.583,
2011-01-21,4.042,21.042,39.958,18.917,
2011-01-22,5.167,19.708,43.458,23.75,
2011-01-23,4.0,15.958,31.458,15.5,
2011-01-24,3.792,14.542,25.208,10.667,
2011-01-25,4.208,20.792,47.417,26.625,
2011-01-26,3.222,12.0,21.652,9.652,
2011-01-27,3.875,9.375,14.917,5.542,
2011-01-28,3.875,11.667,21.417,9.75,
2011-01-29,3.458,7.042,10.25,3.208,
2011-01-30,3.708,15.375,28.583,13.208,
2011-01-31,3.125,11.792,25.125,13.333,
2011-02-01,3.417,11.625,21.917,10.292,
2011-02-02,4.391,21.609,59.304,37.696,
2011-02-03,3.75,17.25,32.333,15.083,
2011-02-04,3.625,19.25,43.5,24.25,
2011-02-05,3.542,12.042,20.042,8.0,
2011-02-06,4.667,25.0,48.375,23.375,
2011-02-07,4.667,23.458,46.042,22.583,
2011-02-08,3.125,9.375,17.583,8.208,
2011-02-09,3.087,12.913,24.478,11.565,
2011-02-10,4.0,16.875,31.458,14.583,
2011-02-11,2.583,7.958,12.833,4.875,
2011-02-12,2.625,5.625,7.5,1.875,
2011-02-13,4.75,25.583,58.083,32.5,
2011-02-14,4.625,27.542,52.083,24.542,
2011-02-15,3.708,15.083,25.5,10.417,
2011-02-16,3.652,15.87,28.522,12.652,
2011-02-17,3.625,19.333,41.917,22.583,
2011-02-18,3.208,11.25,19.0,7.75,
