date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,189.125,3.542,8.167,9.083,12.5,3.417,,3.458,197.292
2011-01-02,187.375,3.125,5.458,3.5,4.5,1.0,,2.0,192.833
2011-01-03,187.833,3.583,6.042,5.917,7.625,1.708,,3.708,193.875
2011-01-04,188.792,3.542,5.625,3.208,4.542,1.333,,3.792,194.417
2011-01-05,189.261,2.913,8.913,6.0,7.435,1.435,,1.957,198.174
2011-01-06,190.208,2.542,8.042,9.083,11.625,2.542,,2.25,198.25
2011-01-07,190.167,2.792,9.125,10.625,13.792,3.167,,2.208,199.292
2011-01-08,190.792,2.417,11.833,10.75,14.0,3.25,,2.542,202.625
2011-01-09,194.0,3.958,13.818,10.708,14.5,3.792,,5.208,207.818
2011-01-10,192.565,5.565,12.304,14.261,21.652,7.391,,6.13,204.87
2011-01-11,189.5,3.583,9.292,8.417,10.833,2.417,,3.542,198.792
2011-01-12,190.833,3.167,13.083,13.333,18.583,5.25,,3.125,203.917
2011-01-13,189.375,3.0,7.208,6.292,8.167,1.875,,4.167,196.583
2011-01-14,191.083,3.583,7.875,4.417,5.875,1.458,,4.75,198.958
2011-01-15,189.833,3.792,9.208,12.792,16.667,3.875,,3.167,199.042
2011-01-16,189.042,2.417,6.917,8.5,10.292,1.792,,2.042,195.958
2011-01-17,188.043,3.174,14.13,19.13,28.0,8.87,,4.13,202.174
2011-01-18,190.125,3.75,17.958,26.792,39.25,12.458,,5.0,208.083
2011-01-19,189.417,3.583,11.667,23.375,32.417,9.042,,2.333,201.083
2011-01-20,185.792,2.75,11.0,17.667,22.042,4.375,,2.583,196.792
2011-01-21,186.833,2.875,10.917,16.375,19.833,3.458,,2.25,197.75
2011-01-22,187.667,3.0,10.75,10.833,15.083,4.25,,2.25,198.417
2011-01-23,188.913,2.478,7.957,5.391,7.826,2.435,,1.739,196.87
2011-01-24,189.167,1.833,6.458,3.75,5.583,1.833,,1.25,195.625
2011-01-25,190.958,2.875,7.917,5.292,7.292,2.0,,2.542,198.875
2011-01-26,190.958,2.417,7.958,4.792,6.833,2.042,,1.833,198.917
2011-01-27,192.167,3.5,9.5,9.75,12.292,2.542,,4.542,201.667
2011-01-28,193.417,4.333,12.125,12.458,15.792,3.333,,5.042,205.542
2011-01-29,191.583,2.75,9.375,7.75,10.542,2.792,,3.417,200.958
2011-01-30,192.042,3.75,14.292,9.917,14.708,4.792,,3.708,206.333
2011-01-31,189.174,2.826,8.957,9.217,11.13,1.913,,2.435,198.13
2011-02-01,189.75,3.375,8.708,5.333,6.583,1.25,,3.75,198.458
2011-02-02,188.25,2.083,6.292,3.125,3.958,0.833,,1.417,194.542
2011-02-03,188.875,2.167,5.75,4.083,4.958,0.875,,1.417,194.625
2011-02-04,134.0,2.542,2.667,4.125,5.167,1.042,,3.333,136.667
2011-02-05,,3.625,,9.292,11.042,1.75,,5.25,
2011-02-06,195.167,4.609,15.25,21.391,31.609,10.217,,4.696,210.417
2011-02-07,191.667,4.208,12.583,14.125,20.333,6.208,,3.292,204.25
2011-02-08,191.833,2.0,7.333,3.5,5.125,1.625,,1.208,199.167
2011-02-09,191.625,2.75,9.5,6.542,8.667,2.125,,2.5,201.125
2011-02-10,191.5,3.042,9.542,10.667,14.292,3.625,,3.0,201.042
2011-02-11,191.833,2.333,9.208,5.667,8.0,2.333,,1.833,201.042
2011-02-12,193.125,2.917,7.792,7.417,9.333,1.917,,2.208,200.917
2011-02-13,193.667,3.75,11.417,19.375,24.333,4.958,,2.708,205.083
2011-02-14,192.217,4.826,17.0,28.522,44.087,15.565,,3.652,209.217
2011-02-15,190.25,5.125,12.333,24.917,38.208,13.292,,5.917,202.583
2011-02-16,188.083,2.208,7.625,8.833,11.125,2.292,,3.217,195.708
2011-02-17,188.333,2.333,7.417,5.333,6.75,1.417,,2.083,195.75
2011-02-18,190.625,2.333,6.708,4.083,4.792,0.708,,1.75,197.333
2011-02-19,189.333,2.333,6.0,4.292,5.125,0.833,,2.042,195.333
2011-02-20,189.25,3.458,10.417,14.792,19.75,4.958,,3.667,199.667
2011-02-21,190.591,3.826,17.955,27.478,38.609,11.13,,5.045,208.545
2011-02-22,190.833,3.417,10.875,17.75,22.167,4.417,,2.417,201.708
2011-02-23,191.292,4.083,13.833,19.583,27.125,7.542,,2.583,205.125
2011-02-24,191.833,3.708,12.458,11.583,16.0,4.417,,4.375,204.292
2011-02-25,190.375,3.875,9.458,11.375,14.5,3.125,,3.375,199.833
2011-02-26,189.167,2.25,6.75,5.708,7.292,1.583,,1.958,195.917
2011-02-27,191.348,2.696,8.826,10.913,15.304,4.391,,3.739,200.174
2011-02-28,188.833,2.542,7.583,6.875,8.875,2.0,,1.583,196.417
2011-03-01,188.458,3.167,15.5,27.667,50.333,22.667,,6.708,203.958
2011-03-02,186.417,3.875,16.542,26.708,42.208,15.5,,4.917,202.958
2011-03-03,188.375,2.792,7.375,6.833,8.75,1.917,,3.958,195.75
2011-03-04,188.458,2.75,6.667,6.708,8.375,1.667,,1.375,195.125
2011-03-05,189.75,4.208,17.333,20.667,37.542,16.875,,2.292,207.083
2011-03-06,190.682,4.565,14.682,16.739,38.217,21.478,,2.957,205.364
2011-03-07,196.0,4.833,19.667,24.042,50.75,26.708,,6.792,215.667
2011-03-08,195.417,5.625,19.25,17.75,23.292,5.542,,5.083,214.667
2011-03-09,193.375,5.167,13.458,15.375,17.792,2.417,,1.792,206.833
2011-03-10,192.667,3.792,17.542,11.875,15.5,3.625,,1.417,210.208
2011-03-11,191.583,3.0,13.958,6.25,7.75,1.5,,3.042,205.542
2011-03-12,190.958,2.792,8.042,4.292,5.417,1.125,,2.25,199.0
2011-03-13,190.182,3.13,9.909,9.87,11.652,1.783,,2.818,200.091
2011-03-14,188.333,3.0,13.167,11.458,14.167,2.708,,3.5,201.5
2011-03-15,189.792,3.417,10.333,7.792,9.292,1.5,,5.417,200.125
2011-03-16,190.391,2.826,14.043,22.167,26.5,4.333,,5.125,204.435
2011-03-17,188.167,3.333,12.375,22.833,28.083,5.25,,3.958,200.542
2011-03-18,190.458,4.167,10.917,14.625,17.458,2.833,,3.542,201.375
2011-03-19,191.583,2.833,9.083,6.958,8.333,1.375,,1.958,200.667
2011-03-20,189.5,2.333,10.0,7.708,9.75,2.042,,2.25,199.5
2011-03-21,190.273,2.478,9.682,8.087,11.609,3.522,,2.0,199.955
2011-03-22,190.208,3.208,16.958,21.625,28.625,7.0,,4.75,207.167
2011-03-23,188.708,3.125,11.792,18.542,22.542,4.0,,2.125,200.5
2011-03-24,189.333,3.917,8.708,4.333,5.792,1.458,,2.375,198.042
2011-03-25,190.667,2.083,7.167,2.167,3.25,1.083,,1.167,197.833
2011-03-26,191.375,2.208,9.542,4.625,6.25,1.625,,1.583,200.917
2011-03-27,194.0,3.913,13.864,12.667,16.125,3.458,,4.609,207.864
2011-03-28,191.5,2.958,12.958,7.75,9.25,1.5,,4.042,204.458
2011-03-29,193.083,3.083,19.25,19.208,23.375,4.167,,4.792,212.333
2011-03-30,191.958,2.5,15.417,18.25,28.333,10.083,,4.542,207.375
2011-03-31,188.125,2.0,11.083,3.208,4.083,0.875,,1.167,199.208
2011-04-01,193.958,4.0,21.125,16.0,20.708,4.708,,5.542,215.083
2011-04-02,192.292,3.25,21.125,13.0,16.667,3.667,,4.375,213.417
2011-04-03,190.083,2.0,8.833,2.917,4.25,1.333,,2.083,198.917
