date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,THC_mean
2011-01-01,193.125,30.375,23.792,44.792,21.0,22.958,223.5
2011-01-02,189.167,18.583,18.292,25.5,7.208,16.0,207.75
2011-01-03,184.708,13.75,16.292,20.292,4.0,6.375,198.458
2011-01-04,189.375,13.667,22.652,36.391,13.739,10.833,203.042
2011-01-05,188.583,6.417,20.292,28.542,8.25,5.125,195.0
2011-01-06,192.5,31.458,43.167,102.333,59.167,17.333,223.958
2011-01-07,186.417,7.792,23.208,34.333,11.125,5.792,194.208
2011-01-08,187.583,9.542,19.958,25.792,5.833,5.25,197.125
2011-01-09,191.417,23.208,32.875,67.708,34.833,18.208,214.625
2011-01-10,198.364,25.682,40.292,90.583,50.292,20.261,224.045
2011-01-11,192.455,14.545,30.13,66.174,36.043,19.292,207.0
2011-01-12,193.6,3.4,32.75,73.833,41.083,8.583,197.0
2011-01-13,,,46.167,136.208,90.042,21.583,
2011-01-14,,,28.375,58.25,29.875,11.208,
2011-01-15,,,29.833,52.667,22.833,17.167,
2011-01-16,,,33.625,62.083,28.458,19.167,
2011-01-17,192.167,35.0,33.917,71.708,37.792,23.375,227.167
2011-01-18,198.042,54.167,48.87,146.174,97.304,30.708,252.208
2011-01-19,192.25,26.25,31.125,81.792,50.667,30.0,218.5
2011-01-20,186.458,13.75,23.292,36.042,12.75,14.083,200.208
2011-01-21,185.833,11.667,26.167,41.0,14.833,12.0,197.5
2011-01-22,188.167,18.75,18.708,41.0,22.292,5.167,206.917
2011-01-23,199.167,42.083,34.542,142.583,108.042,19.25,241.25
2011-01-24,190.417,31.042,41.292,106.25,64.958,11.75,221.458
2011-01-25,190.542,31.667,32.739,70.826,38.087,16.792,222.208
2011-01-26,192.208,26.667,35.0,87.0,52.0,9.458,218.875
2011-01-27,196.917,39.167,39.625,126.833,87.208,17.792,236.083
2011-01-28,194.375,25.208,29.375,75.125,45.75,18.292,219.583
2011-01-29,188.917,7.292,15.375,19.375,4.0,7.042,196.208
2011-01-30,193.917,33.75,37.708,112.625,74.917,11.875,227.667
2011-01-31,194.083,29.167,38.958,95.25,56.292,13.25,223.25
2011-02-01,193.667,31.667,34.043,93.696,59.652,16.458,225.333
2011-02-02,187.5,7.708,28.333,46.458,18.125,9.542,195.208
2011-02-03,193.875,37.083,44.167,129.5,85.333,14.583,230.958
2011-02-04,197.167,36.667,39.458,98.042,58.583,10.167,233.833
2011-02-05,191.625,16.667,24.333,32.958,8.625,15.625,208.292
2011-02-06,196.0,34.167,44.708,96.417,51.708,53.125,230.167
2011-02-07,192.125,36.458,38.083,95.292,57.208,42.125,228.583
2011-02-08,190.542,12.917,28.174,41.565,13.391,7.417,203.458
2011-02-09,187.875,13.542,29.042,48.792,19.75,5.083,201.417
2011-02-10,194.708,36.042,42.375,116.667,74.292,18.565,230.75
2011-02-11,189.542,14.375,24.583,45.125,20.542,14.583,203.917
2011-02-12,188.417,9.375,20.333,26.167,5.833,8.25,197.792
2011-02-13,192.042,26.25,41.958,86.792,44.833,23.792,218.292
2011-02-14,191.875,31.042,41.875,89.458,47.583,45.375,222.917
2011-02-15,190.958,31.042,36.739,78.043,41.304,36.958,222.0
2011-02-16,187.261,20.0,33.875,53.875,20.0,16.083,207.261
2011-02-17,186.958,20.0,27.917,54.0,26.083,23.958,206.958
2011-02-18,186.208,8.125,19.333,27.042,7.708,7.833,194.333
2011-02-19,195.75,25.208,28.917,58.917,30.0,12.458,220.958
2011-02-20,195.375,28.75,41.292,87.958,46.667,16.917,224.125
2011-02-21,194.667,35.0,48.375,105.917,57.542,15.75,229.667
2011-02-22,189.917,18.75,33.652,54.565,20.913,20.583,208.667
2011-02-23,190.0,32.5,41.5,76.75,35.25,32.25,222.5
2011-02-24,188.042,13.542,30.167,38.25,8.083,28.875,201.583
2011-02-25,188.583,13.542,22.167,30.583,8.417,17.708,202.125
2011-02-26,186.667,9.583,15.667,19.042,3.375,8.042,196.25
2011-02-27,187.958,7.708,21.167,29.125,7.958,11.292,195.667
