date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,188.261,82.0,62.667,48.0,18.13,16.458,21.792,5.333,17.0,7.2,3.175,0.5,206.391
2011-01-02,186.522,93.0,62.042,41.0,11.174,10.261,12.826,2.565,10.708,10.8,3.979,-1.2,197.696
2011-01-03,182.522,67.0,47.583,27.0,8.565,9.875,13.625,3.75,4.708,9.3,3.971,-1.3,191.087
2011-01-04,184.0,86.0,61.583,45.0,12.227,15.409,22.318,6.909,6.261,7.1,2.858,-1.2,196.227
2011-01-05,184.826,69.0,47.917,27.0,12.696,18.875,29.708,10.833,4.667,8.2,2.812,-1.8,197.522
2011-01-06,188.174,73.0,56.667,35.0,26.391,32.667,58.458,25.792,10.792,9.5,3.283,-2.5,214.565
2011-01-07,184.609,66.0,49.958,30.0,9.043,9.667,11.125,1.458,4.75,7.9,3.871,-0.2,193.652
2011-01-08,184.826,64.0,46.5,32.0,8.565,7.478,8.13,0.652,1.833,8.2,3.867,-2.0,193.391
2011-01-09,189.565,83.0,62.667,46.0,24.0,24.0,39.833,15.833,15.583,8.3,3.092,-1.8,213.565
2011-01-10,189.286,92.0,63.739,41.0,27.143,33.524,59.238,25.714,17.182,9.6,3.821,-1.5,216.429
2011-01-11,186.783,81.0,50.522,25.0,18.522,18.167,34.042,15.875,15.958,9.0,3.4,-0.8,205.304
2011-01-12,184.522,53.0,36.958,22.0,15.304,17.417,23.708,6.292,6.25,6.2,1.367,-2.7,199.826
2011-01-13,188.739,80.0,47.5,24.0,29.304,35.875,83.292,47.417,12.042,10.6,3.371,-3.7,218.043
2011-01-14,187.826,63.0,46.125,32.0,15.826,13.478,19.043,5.565,8.417,6.6,3.125,-0.6,203.652
2011-01-15,190.696,71.0,54.833,42.0,18.217,19.333,30.75,11.417,15.208,6.0,2.412,-1.5,208.913
2011-01-16,185.565,54.0,49.333,44.0,16.565,18.583,22.25,3.667,17.667,4.2,2.962,1.5,202.13
2011-01-17,189.435,63.0,53.5,38.0,30.696,30.208,51.875,21.667,24.25,6.4,2.746,0.5,220.13
2011-01-18,190.435,71.0,59.0,43.0,31.0,37.208,67.292,30.083,24.417,7.9,2.508,-2.1,221.435
2011-01-19,186.227,95.0,66.917,46.0,22.318,25.391,41.609,16.217,21.783,8.7,4.25,-1.2,208.545
2011-01-20,182.174,98.0,92.792,74.0,12.478,14.348,15.478,1.13,12.208,2.5,1.283,0.5,194.652
2011-01-21,181.261,98.0,90.875,80.0,10.391,10.75,11.417,0.667,5.792,3.2,2.358,1.5,191.652
2011-01-22,186.043,97.0,85.958,65.0,18.783,13.875,24.542,10.667,10.042,7.4,4.308,2.1,204.826
2011-01-23,189.478,99.0,84.0,57.0,25.783,23.542,61.375,37.833,12.75,7.8,3.671,0.2,215.261
2011-01-24,186.087,95.0,68.5,41.0,15.174,21.833,32.0,10.167,7.333,4.0,0.721,-2.2,201.261
2011-01-25,185.435,94.0,62.917,28.0,20.261,25.833,49.75,23.917,12.708,8.1,1.996,-2.7,205.696
2011-01-26,187.773,89.0,54.625,32.0,19.0,24.714,44.381,19.667,11.478,4.4,0.529,-2.7,206.773
2011-01-27,189.522,91.0,61.167,34.0,26.304,26.542,67.167,40.625,15.083,5.9,0.108,-5.2,215.826
2011-01-28,186.348,86.0,53.417,32.0,13.174,15.917,23.208,7.292,11.583,4.1,0.375,-3.2,199.522
2011-01-29,185.043,54.0,38.917,23.0,7.261,7.375,7.458,0.083,7.25,5.4,1.208,-1.9,192.304
2011-01-30,186.783,57.0,43.083,30.0,17.087,19.292,34.333,15.042,8.5,5.1,1.092,-4.0,203.87
2011-01-31,186.826,68.0,49.167,34.0,18.174,25.625,49.792,24.167,9.625,8.3,1.742,-3.5,205.0
2011-02-01,188.474,81.0,55.125,31.0,21.895,22.261,40.087,17.826,12.667,10.8,2.629,-3.6,210.368
2011-02-02,187.333,57.0,38.125,21.0,10.222,10.87,14.609,3.739,6.043,4.1,0.65,-2.5,197.556
2011-02-03,188.435,76.0,47.875,26.0,22.739,32.042,62.208,30.167,12.375,6.2,0.654,-5.2,211.174
2011-02-04,188.565,85.0,52.708,24.0,23.739,30.75,64.458,33.708,16.625,9.6,2.562,-4.3,212.304
2011-02-05,188.652,73.0,56.833,35.0,20.913,25.125,34.708,9.583,19.958,8.8,3.662,-1.8,209.565
2011-02-06,189.826,99.0,87.167,67.0,27.565,31.208,47.833,16.625,45.75,3.8,2.742,0.9,217.391
2011-02-07,191.13,98.0,93.583,82.0,31.0,29.565,56.826,27.261,32.625,8.6,6.271,3.5,222.13
2011-02-08,185.136,84.0,45.174,31.0,11.091,12.304,15.261,2.957,3.609,7.6,4.546,-0.5,196.227
