date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,69.0,51.75,37.0,16.25,18.0,1.75,17.5,7.2,3.492,0.9
2011-01-02,74.0,54.042,31.0,11.917,12.375,0.458,12.583,11.0,3.825,-1.0
2011-01-03,60.0,40.625,21.0,6.25,6.25,0.0,5.667,9.9,4.383,-0.5
2011-01-04,69.0,50.958,34.0,10.167,10.917,0.75,9.625,8.1,3.033,-1.9
2011-01-05,55.0,37.833,19.0,10.75,12.458,1.708,5.833,8.7,3.671,-1.3
2011-01-06,63.0,45.708,21.0,28.913,45.217,16.304,13.667,10.2,3.708,-2.0
2011-01-07,51.0,38.583,22.0,6.792,6.875,0.083,5.375,8.6,4.617,1.8
2011-01-08,54.0,38.75,24.0,6.875,6.875,0.0,5.667,8.9,4.092,-1.0
2011-01-09,66.0,50.833,33.0,22.375,28.25,5.875,21.875,9.0,3.646,-1.2
2011-01-10,75.0,50.5,33.0,32.957,45.957,13.0,19.957,9.6,4.992,-1.2
2011-01-11,70.0,47.5,26.0,17.625,28.0,10.375,17.958,10.4,4.033,0.0
2011-01-12,49.0,36.0,22.0,17.458,21.042,3.583,8.917,6.9,2.071,-2.5
2011-01-13,63.0,43.708,23.0,32.087,50.348,18.261,15.125,11.1,3.571,-3.3
2011-01-14,56.0,38.333,24.0,13.417,16.708,3.292,10.5,8.1,3.883,-0.4
2011-01-15,56.0,45.792,30.0,21.167,23.458,2.292,14.583,6.6,2.967,-0.6
2011-01-16,47.0,40.625,35.0,22.583,27.833,5.25,22.417,4.7,3.579,2.3
2011-01-17,60.0,46.5,28.0,28.083,37.292,9.208,19.375,7.6,3.575,0.0
2011-01-18,67.0,52.625,33.0,39.5,62.125,22.625,29.042,9.2,2.767,-2.5
2011-01-19,78.0,60.583,39.0,23.625,37.375,13.75,24.667,9.6,4.025,-2.3
2011-01-20,91.0,86.458,78.0,18.0,19.81,1.81,17.174,2.7,1.65,0.5
2011-01-21,90.0,86.542,79.0,14.333,14.583,0.25,13.917,3.2,2.612,2.0
2011-01-22,91.0,81.333,67.0,15.875,20.458,4.583,10.25,8.1,4.804,1.7
2011-01-23,92.0,81.292,58.0,26.0,67.792,41.792,17.75,8.1,3.862,0.3
2011-01-24,88.0,60.583,34.0,21.875,31.792,9.917,12.458,4.8,1.658,-0.7
2011-01-25,87.0,61.542,26.0,26.167,46.917,20.75,20.708,8.6,2.3,-2.7
2011-01-26,84.0,50.125,29.0,21.625,25.917,4.292,11.917,5.5,1.483,-2.1
2011-01-27,78.0,56.917,26.0,27.913,50.435,22.522,16.417,7.3,0.6,-4.6
2011-01-28,74.0,46.875,27.0,18.917,26.833,7.917,16.292,5.7,1.046,-2.8
2011-01-29,48.0,39.167,20.0,8.667,8.667,0.0,7.458,5.8,1.333,-1.0
2011-01-30,67.0,41.917,24.0,25.913,36.043,10.13,9.261,5.8,1.008,-4.0
2011-01-31,66.0,44.792,25.0,27.75,39.333,11.583,13.917,8.6,1.933,-3.6
2011-02-01,70.0,49.625,34.0,23.167,36.542,13.375,13.75,9.6,2.271,-4.3
2011-02-02,52.0,32.083,17.0,7.5,7.792,0.292,7.0,4.7,1.129,-1.8
2011-02-03,71.0,43.875,16.0,34.043,55.739,21.696,13.167,6.5,0.758,-4.9
2011-02-04,70.0,42.292,16.0,26.542,43.417,16.875,16.583,10.4,3.246,-4.2
2011-02-05,69.0,49.625,31.0,15.292,15.292,0.0,16.333,9.6,4.808,-1.6
2011-02-06,88.0,73.708,57.0,33.167,40.0,6.833,47.875,4.5,3.196,0.9
2011-02-07,92.0,86.875,66.0,29.625,41.083,11.458,40.333,9.9,6.971,4.0
2011-02-08,68.0,42.0,31.0,9.167,9.458,0.292,6.792,7.7,5.575,1.8
2011-02-09,60.0,37.042,18.0,16.0,19.958,3.958,6.833,7.7,2.954,-2.2
2011-02-10,73.0,51.792,27.0,35.773,60.409,24.636,19.565,9.6,3.708,-1.8
2011-02-11,78.0,44.333,23.0,13.25,13.958,0.708,10.333,8.9,3.85,-1.9
2011-02-12,60.0,40.542,25.0,9.042,9.083,0.042,9.292,8.4,3.029,-1.8
2011-02-13,55.0,43.208,26.0,29.708,37.333,7.625,21.583,8.5,4.029,-0.4
2011-02-14,90.0,71.667,55.0,29.583,33.5,3.917,35.875,5.9,3.875,2.2
2011-02-15,90.0,64.375,37.0,21.542,32.792,11.25,28.333,10.9,5.9,3.5
2011-02-16,78.0,51.042,38.0,18.917,19.542,0.625,14.042,3.9,2.683,1.1
2011-02-17,86.0,61.167,26.0,18.87,23.348,4.478,19.75,8.3,3.267,0.3
2011-02-18,81.0,41.667,19.0,6.375,6.375,0.0,7.5,5.7,1.654,-1.3
2011-02-19,63.0,41.542,14.0,19.375,23.333,3.958,13.5,7.5,1.454,-4.6
2011-02-20,65.0,45.5,16.0,30.87,37.13,6.261,17.043,10.7,3.962,-3.1
2011-02-21,65.0,38.875,15.0,35.375,47.833,12.458,21.083,13.2,6.533,-1.1
2011-02-22,66.0,50.708,39.0,20.417,21.958,1.542,23.458,10.5,7.329,4.6
2011-02-23,89.0,79.75,46.0,23.708,30.125,6.417,33.958,10.7,6.912,4.1
2011-02-24,72.0,43.458,26.0,13.826,13.826,0.0,24.667,14.8,10.692,7.0
2011-02-25,90.0,80.667,72.0,15.208,15.333,0.125,15.833,7.7,5.162,2.7
2011-02-26,72.0,51.083,32.0,9.75,9.792,0.042,9.75,8.7,5.196,3.0
2011-02-27,42.0,31.5,22.0,4.542,4.542,0.0,9.625,7.7,3.775,0.7
2011-02-28,55.0,40.75,28.0,16.708,17.5,0.792,9.5,6.4,3.058,-1.0
2011-03-01,91.0,75.292,47.0,31.875,54.708,22.833,26.25,11.1,6.258,1.5
2011-03-02,90.0,87.208,82.0,23.478,40.217,16.739,24.083,7.1,5.375,3.5
2011-03-03,90.0,61.667,43.0,10.208,10.417,0.208,12.375,12.0,7.112,3.3
2011-03-04,88.0,60.542,50.0,7.667,7.667,0.0,17.333,6.6,5.108,2.2
2011-03-05,93.0,90.917,89.0,21.652,29.739,8.087,14.273,7.2,4.233,1.1
2011-03-06,93.0,84.167,62.0,26.875,51.417,24.542,26.25,16.7,10.671,6.3
2011-03-07,92.0,61.958,35.0,16.667,19.167,2.5,31.125,15.1,12.525,10.5
2011-03-08,74.0,61.917,49.0,16.417,17.333,0.917,21.0,10.2,9.258,7.9
2011-03-09,89.0,85.5,67.0,20.565,21.696,1.13,16.375,9.0,6.621,4.8
2011-03-10,88.0,76.833,65.0,9.125,9.125,0.0,5.0,7.7,5.088,2.6
2011-03-11,84.0,67.542,46.0,12.792,13.0,0.208,10.458,11.2,6.362,2.7
2011-03-12,63.0,40.625,21.0,8.304,9.043,0.739,6.609,11.4,6.05,2.3
2011-03-13,62.0,38.917,20.0,9.333,9.875,0.542,6.833,10.5,5.512,1.4
2011-03-14,77.0,47.5,28.0,21.25,22.542,1.292,12.5,11.2,6.258,1.4
2011-03-15,85.0,48.542,22.0,15.583,21.833,6.25,17.25,12.2,6.008,1.1
2011-03-16,67.0,41.375,22.0,22.391,23.565,1.174,18.25,11.2,6.908,1.8
2011-03-17,87.0,75.417,55.0,33.833,35.583,1.75,38.167,8.1,6.121,3.9
2011-03-18,92.0,85.667,74.0,24.208,36.125,11.917,40.5,11.2,8.492,4.9
2011-03-19,92.0,40.458,21.0,9.333,9.458,0.125,9.625,10.6,7.696,4.7
2011-03-20,55.0,36.083,21.0,13.708,13.708,0.0,15.0,12.4,7.633,2.8
2011-03-21,45.0,30.583,18.0,6.0,6.0,0.0,10.167,11.8,6.958,3.5
2011-03-22,61.0,43.542,26.0,43.458,61.083,17.625,28.333,14.1,7.662,1.2
2011-03-23,92.0,70.625,46.0,36.227,39.909,3.682,37.609,11.7,8.508,6.7
2011-03-24,91.0,73.958,36.0,17.667,21.083,3.417,13.375,12.2,7.525,4.8
