date,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2011-01-01,73.0,50.708,34.0,16.375,22.25,5.875,,0.458,15.75,8.1,3.483,0.5
2011-01-02,75.0,52.958,28.0,14.375,20.542,6.167,,0.25,10.917,11.0,3.846,-1.0
2011-01-03,54.0,34.625,17.0,9.13,9.826,0.696,,0.174,3.458,9.9,5.033,-0.4
2011-01-04,73.0,47.5,30.0,14.958,22.208,7.25,,0.667,7.042,8.3,3.308,-2.1
2011-01-05,55.0,32.917,16.0,13.583,17.958,4.375,,0.417,5.167,8.7,4.033,-1.8
2011-01-06,63.0,43.167,21.0,29.333,56.875,27.542,,1.083,11.875,10.1,3.771,-3.3
2011-01-07,52.0,34.708,16.0,8.792,9.667,0.875,,0.75,4.375,8.6,4.754,2.1
2011-01-08,47.0,33.75,21.0,7.458,8.0,0.542,,0.167,2.958,8.3,4.396,-0.6
2011-01-09,67.0,48.583,30.0,22.958,35.417,12.458,,0.792,20.625,9.1,3.592,-1.3
2011-01-10,75.0,51.208,29.0,31.783,66.261,34.478,,1.348,21.542,9.8,4.112,-1.9
2011-01-11,76.0,47.625,23.0,19.75,50.417,30.667,,1.083,14.792,9.7,3.625,-0.3
2011-01-12,53.0,34.667,19.0,23.273,39.864,16.591,,0.591,8.045,6.7,1.904,-3.3
2011-01-13,70.0,42.542,19.0,31.292,75.625,44.333,,1.208,15.208,11.4,3.55,-4.6
2011-01-14,56.0,37.667,22.0,13.708,20.292,6.583,,1.0,9.167,7.4,3.675,-0.2
2011-01-15,59.0,42.667,31.0,16.458,21.667,5.208,,1.083,15.75,6.6,3.275,-0.4
2011-01-16,46.0,37.333,30.0,20.083,29.708,9.625,,1.042,20.833,5.0,3.704,1.8
2011-01-17,61.0,43.5,26.0,30.261,59.609,29.348,,1.087,25.125,7.4,3.417,-0.1
2011-01-18,69.0,51.958,32.0,39.316,98.263,58.947,,1.105,24.792,9.0,2.562,-2.7
2011-01-19,79.0,58.375,36.0,24.042,58.708,34.667,,1.208,25.5,9.2,4.204,-1.6
2011-01-20,95.0,89.458,71.0,17.292,18.875,1.583,,0.083,10.889,3.3,1.938,0.9
2011-01-21,95.0,88.75,80.0,12.667,13.583,0.917,,0.0,8.083,3.8,3.075,2.3
2011-01-22,95.0,86.25,69.0,15.875,26.5,10.625,,0.0,13.292,7.8,4.867,2.5
2011-01-23,97.0,84.75,61.0,21.125,57.667,36.542,,0.458,16.792,8.1,3.721,0.5
2011-01-24,93.0,58.25,32.0,16.826,24.087,7.261,,0.174,8.458,5.3,2.038,-0.3
2011-01-25,90.0,60.917,27.0,24.875,48.542,23.667,,0.5,12.25,8.3,2.417,-2.9
2011-01-26,81.0,50.333,29.0,24.227,49.091,24.864,,0.87,9.957,5.2,1.208,-2.8
2011-01-27,82.0,57.5,26.0,25.833,71.333,45.5,,0.958,18.417,6.6,0.238,-5.8
2011-01-28,78.0,46.625,26.0,17.083,29.708,12.625,,1.083,11.292,4.9,0.929,-3.3
2011-01-29,55.0,38.083,18.0,10.833,12.083,1.25,,1.083,7.542,5.4,1.125,-2.1
2011-01-30,67.0,41.5,21.0,26.042,47.0,20.958,,1.083,9.667,5.8,0.675,-4.4
2011-01-31,64.0,40.958,20.0,22.565,38.174,15.609,,0.913,10.667,8.7,2.142,-4.2
2011-02-01,69.0,47.708,27.0,22.833,46.5,23.667,,1.625,15.667,9.8,2.142,-4.3
2011-02-02,47.0,28.25,11.0,10.625,11.875,1.25,,1.167,7.333,4.2,1.258,-1.7
2011-02-03,64.0,40.5,14.0,31.375,68.875,37.5,,2.042,15.125,6.2,0.288,-6.4
2011-02-04,72.0,41.542,15.0,23.292,50.333,27.042,,1.458,17.875,10.3,3.067,-5.3
2011-02-05,68.0,45.417,27.0,19.542,24.833,5.292,,2.083,19.792,9.6,4.642,-3.0
2011-02-06,90.0,70.875,53.0,32.5,47.125,14.625,,1.292,42.375,5.0,3.517,1.1
2011-02-07,96.0,86.5,55.0,29.174,50.652,21.478,,0.826,38.75,10.8,7.262,4.1
2011-02-08,55.0,39.25,29.0,9.667,10.333,0.667,,0.583,4.792,8.7,5.529,1.4
2011-02-09,60.0,36.958,19.0,17.583,26.792,9.208,,0.583,7.542,7.4,2.829,-2.8
2011-02-10,74.0,49.708,23.0,29.583,62.833,33.25,,1.125,17.292,9.2,3.496,-2.7
2011-02-11,78.0,40.458,22.0,11.958,14.375,2.417,,0.792,8.167,7.9,3.879,-2.2
2011-02-12,62.0,38.5,23.0,9.417,10.583,1.167,,0.583,7.167,7.9,3.138,-1.8
2011-02-13,58.0,40.292,28.0,26.958,41.292,14.333,,1.083,21.0,7.7,3.762,-1.0
2011-02-14,94.0,71.958,52.0,31.522,52.261,20.739,,0.783,34.625,6.0,3.6,1.1
2011-02-15,95.0,63.5,33.0,19.333,38.583,19.25,,1.125,22.167,11.6,5.846,3.3
2011-02-16,81.0,50.417,34.0,20.333,23.125,2.792,,0.583,13.292,3.8,2.692,1.2
2011-02-17,92.0,59.583,21.0,18.958,26.792,7.833,,0.792,17.042,7.8,3.183,-0.1
2011-02-18,83.0,39.917,14.0,7.417,7.917,0.5,,0.625,7.333,4.8,1.575,-1.2
2011-02-19,67.0,39.5,13.0,17.75,24.667,6.917,,0.875,13.292,7.1,1.462,-5.5
2011-02-20,70.0,43.125,17.0,29.417,53.625,24.208,,1.208,16.625,10.6,3.821,-4.2
2011-02-21,72.0,38.208,12.0,30.522,57.565,27.043,,1.565,20.125,13.2,6.242,-2.4
2011-02-22,76.0,49.167,37.0,18.87,21.826,2.957,,2.565,24.348,10.4,7.354,4.8
2011-02-23,93.0,78.458,43.0,24.542,31.667,7.125,,1.083,33.292,11.7,7.5,4.4
2011-02-24,70.0,39.917,25.0,13.917,14.667,0.75,,2.958,26.333,14.7,10.862,7.5
2011-02-25,93.0,80.75,62.0,14.5,15.583,1.083,,0.875,15.667,7.1,5.421,3.2
2011-02-26,72.0,49.75,31.0,9.167,9.917,0.75,,0.417,11.083,8.5,5.225,3.2
2011-02-27,38.0,28.625,19.0,6.125,6.75,0.625,,0.333,11.167,7.5,3.8,0.8
2011-02-28,54.0,38.708,26.0,14.913,16.652,1.739,,1.043,10.917,6.6,3.017,-0.9
2011-03-01,97.0,78.5,54.0,32.625,67.542,34.917,,0.75,25.458,10.8,5.846,0.0
2011-03-02,96.0,93.5,88.0,23.083,43.792,20.708,,0.375,21.667,6.6,5.408,4.5
2011-03-03,96.0,63.625,40.0,11.75,12.75,1.0,,0.792,12.917,12.0,7.367,3.8
2011-03-04,94.0,61.333,46.0,8.25,8.625,0.375,,0.792,17.458,6.7,5.125,1.8
