date,CH4_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,193.217,66.0,52.292,41.0,28.478,20.667,32.583,11.917,2.958,16.083,6.9,4.154,1.4,221.696
2011-01-02,197.375,75.0,53.792,28.0,23.125,15.292,18.625,3.333,2.583,11.25,10.5,4.679,1.0,220.5
2011-01-03,,55.0,37.083,22.0,,9.625,10.5,0.875,2.208,2.5,9.9,5.617,1.2,
2011-01-04,,60.0,46.75,35.0,,16.25,19.833,3.583,2.783,6.083,8.4,4.171,0.2,
2011-01-05,191.286,53.0,35.375,22.0,12.0,14.609,18.739,4.13,2.208,2.625,8.6,4.742,1.1,203.286
2011-01-06,194.696,59.0,43.667,26.0,41.304,35.75,75.708,39.958,3.667,11.083,9.7,4.838,0.9,236.0
2011-01-07,188.478,59.0,39.75,25.0,10.13,13.667,16.292,2.625,2.542,3.667,8.7,4.979,2.4,198.609
2011-01-08,189.261,47.0,37.083,27.0,10.217,11.625,14.583,2.958,2.125,2.917,8.9,5.033,1.7,199.478
2011-01-09,193.391,72.0,51.083,38.0,26.783,30.125,46.792,16.667,3.292,18.375,9.6,4.833,1.0,220.174
2011-01-10,189.238,72.0,51.667,34.0,36.81,35.917,62.0,26.083,3.542,18.905,9.6,5.55,0.5,226.048
2011-01-11,190.043,69.0,51.25,35.0,23.478,24.333,38.542,14.208,3.087,16.083,10.4,4.825,1.0,213.522
2011-01-12,187.565,47.0,34.417,25.0,23.174,20.783,36.609,15.826,2.333,7.5,6.8,3.129,-0.1,210.739
2011-01-13,198.087,57.0,45.042,29.0,45.609,40.208,85.542,45.333,4.583,16.5,10.4,4.492,-1.6,243.696
2011-01-14,192.0,58.0,39.542,27.0,29.0,21.292,36.875,15.583,3.083,9.208,8.0,4.258,1.8,221.0
2011-01-15,197.0,55.0,45.167,34.0,26.087,26.833,38.0,11.167,3.667,14.625,6.5,3.417,0.0,223.087
2011-01-16,190.0,51.0,43.0,37.0,28.913,28.417,38.375,9.958,3.125,18.083,4.6,3.558,2.1,218.913
