date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,THC_mean
2011-01-01,190.75,6.125,16.208,16.708,28.25,11.542,206.958
2011-01-02,189.375,4.167,9.625,12.333,17.333,5.0,199.0
2011-01-03,189.875,5.0,12.875,14.417,23.167,8.75,202.75
2011-01-04,190.375,4.292,8.583,11.625,14.708,3.083,198.958
2011-01-05,191.043,4.167,12.087,16.625,23.125,6.5,203.13
2011-01-06,192.375,5.167,21.5,22.87,39.609,16.739,213.875
2011-01-07,192.667,5.542,19.125,22.375,41.25,18.875,211.792
2011-01-08,192.667,6.391,21.875,22.708,44.625,21.917,214.542
2011-01-09,194.458,5.875,19.417,21.333,35.208,13.875,213.875
2011-01-10,195.75,7.0,23.083,22.625,41.0,18.375,218.833
2011-01-11,190.5,4.25,10.333,12.75,17.75,5.0,200.833
2011-01-12,192.542,5.292,19.417,24.208,43.583,19.375,211.958
2011-01-13,192.304,5.083,17.652,17.792,34.375,16.583,209.957
2011-01-14,193.0,5.167,14.25,20.174,26.87,6.696,207.25
2011-01-15,190.333,4.333,14.083,18.25,25.875,7.625,204.417
2011-01-16,188.917,6.0,19.292,24.958,47.125,22.167,208.208
2011-01-17,190.333,6.25,27.583,28.0,58.458,30.458,217.917
2011-01-18,190.417,6.792,28.792,30.542,74.042,43.5,219.208
2011-01-19,188.083,6.583,24.583,28.375,63.833,35.458,212.667
2011-01-20,188.5,6.083,19.875,23.792,47.542,23.75,208.375
2011-01-21,187.478,6.708,21.87,25.125,57.958,32.833,209.348
2011-01-22,187.917,4.917,15.583,16.261,31.652,15.391,203.5
2011-01-23,188.75,2.875,9.208,8.958,12.625,3.667,197.958
2011-01-24,188.417,2.304,7.333,10.208,13.708,3.5,195.75
2011-01-25,190.708,3.833,10.333,14.625,22.0,7.375,201.042
2011-01-26,191.75,2.875,9.417,13.542,19.208,5.667,201.167
2011-01-27,193.75,4.583,14.542,23.042,36.5,13.458,208.292
2011-01-28,192.625,4.5,12.458,17.833,24.833,7.0,205.083
2011-01-29,192.217,5.292,16.217,21.667,38.542,16.875,208.435
2011-01-30,192.417,4.542,16.792,21.348,40.609,19.261,209.208
