date,NO2_mean,NOX_mean,NO_mean,PM25_mean
2011-01-01,7.435,8.478,1.043,
2011-01-02,3.125,3.125,0.0,
2011-01-03,4.292,4.542,0.25,
2011-01-04,4.083,4.125,0.042,
2011-01-05,4.75,5.042,0.292,
2011-01-06,7.917,9.667,1.75,
2011-01-07,7.958,10.458,2.5,
2011-01-08,11.167,12.75,1.583,
2011-01-09,11.348,13.783,2.435,
2011-01-10,9.417,11.875,2.458,
2011-01-11,6.417,7.042,0.625,
2011-01-12,11.5,15.167,3.667,
2011-01-13,8.167,10.917,2.75,
2011-01-14,6.875,8.0,1.125,
2011-01-15,7.0,8.083,1.083,
2011-01-16,11.5,13.25,1.75,
2011-01-17,10.478,14.391,3.913,
2011-01-18,16.458,23.833,7.375,
2011-01-19,11.958,16.5,4.542,
2011-01-20,7.625,10.958,3.333,
2011-01-21,10.125,12.167,2.042,
2011-01-22,5.458,6.667,1.208,
2011-01-23,3.708,4.5,0.792,
2011-01-24,3.917,4.458,0.542,
2011-01-25,6.609,8.087,1.478,
2011-01-26,4.792,5.167,0.375,
2011-01-27,8.958,11.917,2.958,
2011-01-28,7.208,8.25,1.042,
2011-01-29,5.625,6.167,0.542,
2011-01-30,6.042,7.542,1.5,
2011-01-31,7.875,9.417,1.542,
2011-02-01,6.208,6.583,0.375,
2011-02-02,3.348,3.522,0.174,
2011-02-03,6.5,6.958,0.458,
2011-02-04,8.292,9.0,0.708,
2011-02-05,8.5,9.333,0.833,
2011-02-06,12.417,13.5,1.083,
2011-02-07,6.083,6.292,0.208,
2011-02-08,2.875,3.042,0.167,
2011-02-09,4.708,5.167,0.458,
2011-02-10,5.696,7.043,1.348,
2011-02-11,3.667,4.667,1.0,
2011-02-12,5.083,5.708,0.625,
2011-02-13,10.0,11.125,1.125,
2011-02-14,13.833,17.833,4.0,
2011-02-15,6.5,8.333,1.833,
2011-02-16,7.542,10.042,2.5,
2011-02-17,4.458,5.208,0.75,
2011-02-18,4.826,4.957,0.13,
2011-02-19,4.625,4.833,0.208,
2011-02-20,10.583,11.708,1.125,
2011-02-21,17.375,21.5,4.125,
2011-02-22,12.917,13.292,0.375,
2011-02-23,10.917,13.458,2.542,
2011-02-24,9.542,9.792,0.25,
2011-02-25,10.125,10.333,0.208,
2011-02-26,2.652,2.652,0.0,
2011-02-27,6.583,7.375,0.792,
2011-02-28,8.958,10.0,1.042,
2011-03-01,16.25,19.583,3.333,
2011-03-02,11.875,14.292,2.417,
2011-03-03,4.625,5.083,0.458,
2011-03-04,3.875,3.917,0.042,
2011-03-05,17.478,24.522,7.043,
2011-03-06,15.625,25.083,9.458,
2011-03-07,13.375,15.25,1.875,
2011-03-08,15.792,19.0,3.208,
2011-03-09,10.833,12.167,1.333,
2011-03-10,4.958,6.5,1.542,
2011-03-11,3.542,4.625,1.083,
2011-03-12,3.542,4.375,0.833,
2011-03-13,7.391,8.0,0.609,
2011-03-14,10.417,11.833,1.417,
2011-03-15,7.625,8.542,0.917,
2011-03-16,12.833,14.083,1.25,
2011-03-17,13.625,14.667,1.042,
2011-03-18,4.417,4.875,0.458,
2011-03-19,3.333,3.583,0.25,
2011-03-20,4.792,5.75,0.958,
2011-03-21,7.609,8.174,0.565,
2011-03-22,12.375,14.625,2.25,
2011-03-23,11.0,11.375,0.375,
2011-03-24,5.708,5.75,0.042,
2011-03-25,2.917,2.958,0.042,
2011-03-26,3.542,3.625,0.083,
2011-03-27,9.75,10.875,1.125,
2011-03-28,7.75,8.375,0.625,
2011-03-29,11.609,12.87,1.261,
2011-03-30,9.958,10.958,1.0,
2011-03-31,4.208,4.208,0.0,
2011-04-01,14.458,15.542,1.083,
2011-04-02,8.042,8.375,0.333,
2011-04-03,3.833,3.917,0.083,
2011-04-04,4.304,4.826,0.522,
2011-04-05,11.667,12.542,0.875,
