date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,189.917,5.417,11.75,11.833,17.625,5.792,4.542,,201.667
2011-01-02,189.75,3.875,9.208,7.417,10.5,3.083,3.958,,198.958
2011-01-03,190.083,4.458,10.875,10.958,15.833,4.875,5.792,,200.958
2011-01-04,191.783,4.25,7.696,8.75,12.417,3.667,6.25,,199.478
2011-01-05,190.208,3.826,15.75,14.043,24.304,10.261,3.174,,205.958
2011-01-06,190.792,4.304,16.375,23.957,56.739,32.783,4.083,,207.167
2011-01-07,191.5,3.375,14.333,14.875,43.0,28.125,3.167,,205.833
2011-01-08,191.5,5.0,12.875,17.958,33.042,15.083,4.083,,204.375
2011-01-09,193.0,5.708,19.391,19.833,40.333,20.5,6.5,,212.391
2011-01-10,193.042,6.167,15.375,23.958,58.708,34.75,7.5,,208.417
2011-01-11,190.167,4.208,11.917,16.792,30.833,14.042,4.958,,202.083
2011-01-12,191.833,4.583,14.75,24.792,57.75,32.958,4.917,,206.583
2011-01-13,190.542,4.565,14.792,20.348,45.217,24.87,6.042,,205.333
2011-01-14,192.174,5.167,16.348,18.917,37.917,19.0,5.792,,208.522
2011-01-15,191.083,4.125,15.25,17.792,32.208,14.417,3.875,,206.333
2011-01-16,189.208,3.5,9.375,17.75,33.958,16.208,3.167,,198.583
2011-01-17,187.833,4.292,15.625,26.75,64.75,38.0,4.042,,203.458
2011-01-18,188.958,6.75,23.5,36.083,85.75,49.667,8.083,,212.458
2011-01-19,187.45,3.826,13.95,25.095,58.667,33.571,3.87,,201.4
2011-01-20,186.375,3.261,10.583,20.304,42.609,22.304,3.25,,196.958
2011-01-21,184.958,3.125,8.625,15.375,28.167,12.792,2.542,,193.583
2011-01-22,186.25,3.917,10.583,15.583,35.25,19.667,3.792,,196.833
2011-01-23,188.333,3.208,10.25,13.125,23.25,10.125,2.833,,198.583
2011-01-24,191.478,3.0,10.739,17.167,31.083,13.917,3.25,,202.217
2011-01-25,190.667,3.833,8.25,17.667,33.833,16.167,3.958,,198.917
2011-01-26,190.708,2.875,8.417,14.75,25.5,10.75,3.25,,199.125
2011-01-27,192.708,4.957,15.042,24.174,59.913,35.739,4.958,,207.75
2011-01-28,192.25,4.583,14.833,20.583,42.458,21.875,4.625,,207.083
2011-01-29,189.783,4.083,10.261,17.583,34.875,17.292,4.417,,200.043
2011-01-30,189.75,3.417,11.125,17.792,33.5,15.708,3.167,,200.875
2011-01-31,189.417,4.167,14.458,23.625,53.667,30.042,4.042,,203.875
2011-02-01,190.125,4.087,8.167,16.13,34.348,18.217,6.0,,198.292
