date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.91666666666666,4.958333333333333,63.0,45.916666666666664,33.0,18.833333333333332,18.916666666666668,31.416666666666668,12.5,,22.583333333333332,97.0,57.25,35.0,210.75
2011-01-02,189.91666666666666,4.375,73.0,46.791666666666664,24.0,17.0,17.958333333333332,32.458333333333336,14.5,,17.625,121.0,58.625,20.0,206.91666666666666
2011-01-03,188.83333333333334,4.458333333333333,60.0,39.125,15.0,17.458333333333332,20.041666666666668,40.75,20.708333333333332,,15.083333333333334,112.0,47.791666666666664,-9.0,206.29166666666666
2011-01-04,190.16666666666666,5.458333333333333,65.0,47.416666666666664,21.0,19.708333333333332,24.916666666666668,59.166666666666664,34.25,,17.791666666666668,124.0,46.625,-1.0,209.875
2011-01-05,192.33333333333334,5.916666666666667,56.0,34.875,12.0,23.083333333333332,35.75,115.375,79.625,,18.916666666666668,102.0,40.708333333333336,-6.0,215.41666666666666
2011-01-06,191.91666666666666,6.083333333333333,66.0,46.958333333333336,30.0,25.208333333333332,41.041666666666664,148.375,107.33333333333333,,21.041666666666668,108.0,45.125,-6.0,217.125
2011-01-07,191.41666666666666,4.583333333333333,68.0,41.25,14.0,20.708333333333332,30.375,98.66666666666667,68.29166666666667,,19.125,105.0,42.916666666666664,4.0,212.125
2011-01-08,191.08333333333334,4.208333333333333,54.0,34.291666666666664,19.0,17.333333333333332,19.833333333333332,41.541666666666664,21.708333333333332,,15.708333333333334,107.0,50.958333333333336,0.0,208.41666666666666
2011-01-09,192.83333333333334,6.041666666666667,62.0,44.75,30.0,23.875,31.541666666666668,88.29166666666667,56.75,,21.958333333333332,96.0,51.958333333333336,8.0,216.70833333333334
2011-01-10,193.66666666666666,6.958333333333333,69.0,53.458333333333336,31.0,28.541666666666668,43.59090909090909,149.04545454545453,105.45454545454545,,27.791666666666668,111.0,55.166666666666664,6.0,222.20833333333334
2011-01-11,190.54166666666666,5.083333333333333,71.0,46.166666666666664,27.0,19.75,32.208333333333336,101.45833333333333,69.25,,23.666666666666668,107.0,54.291666666666664,20.0,210.29166666666666
2011-01-12,192.625,5.416666666666667,62.0,35.958333333333336,19.0,22.25,39.583333333333336,116.29166666666667,76.70833333333333,,20.25,75.0,28.458333333333332,-1.0,214.875
2011-01-13,193.14285714285714,6.826086956521739,74.0,52.25,29.0,31.80952380952381,39.27272727272727,146.27272727272728,107.0,,24.333333333333332,105.0,41.375,-15.0,224.95238095238096
2011-01-14,195.79166666666666,7.041666666666667,68.0,50.875,34.0,26.75,36.166666666666664,114.0,77.83333333333333,,23.625,90.0,35.75,-3.0,222.54166666666666
2011-01-15,196.79166666666666,6.208333333333333,66.0,50.125,33.0,28.25,27.75,62.166666666666664,34.416666666666664,,25.625,69.0,32.0,-4.0,225.04166666666666
2011-01-16,193.70833333333334,5.208333333333333,56.0,40.333333333333336,32.0,25.208333333333332,38.708333333333336,114.29166666666667,75.58333333333333,,27.782608695652176,55.0,40.625,20.0,218.91666666666666
2011-01-17,193.04166666666666,5.041666666666667,62.0,44.375,27.0,27.583333333333332,37.416666666666664,115.125,77.70833333333333,,25.25,79.0,40.291666666666664,7.0,220.625
2011-01-18,194.25,6.875,67.0,53.458333333333336,31.0,34.958333333333336,44.041666666666664,159.29166666666666,115.25,,31.125,105.0,42.375,-5.0,229.20833333333334
2011-01-19,192.04545454545453,4.5,85.0,56.0,35.0,24.40909090909091,34.54545454545455,95.68181818181819,61.13636363636363,,27.954545454545453,104.0,62.875,26.0,216.45454545454547
2011-01-20,189.83333333333334,2.9166666666666665,87.0,82.08333333333333,72.0,12.0,18.833333333333332,50.208333333333336,31.375,,18.291666666666668,35.0,28.291666666666668,19.0,201.83333333333334
2011-01-21,188.33333333333334,2.7916666666666665,89.0,81.875,69.0,13.875,19.333333333333332,48.791666666666664,29.458333333333332,,14.916666666666666,45.0,37.708333333333336,30.0,202.20833333333334
2011-01-22,189.75,4.708333333333333,88.0,77.625,67.0,20.583333333333332,19.916666666666668,52.083333333333336,32.166666666666664,,17.083333333333332,95.0,63.208333333333336,36.0,210.33333333333334
2011-01-23,192.58333333333334,6.791666666666667,92.0,81.625,62.0,30.958333333333332,36.083333333333336,153.875,117.79166666666667,,22.25,89.0,49.416666666666664,7.0,223.54166666666666
2011-01-24,193.04166666666666,5.125,91.0,72.75,47.0,24.666666666666668,40.75,138.625,97.875,,21.791666666666668,40.0,16.333333333333332,-3.0,217.70833333333334
2011-01-25,192.16666666666666,6.541666666666667,86.0,62.958333333333336,32.0,29.208333333333332,35.833333333333336,142.0,106.16666666666667,,21.041666666666668,82.0,28.958333333333332,-11.0,221.375
2011-01-26,192.79166666666666,5.166666666666667,64.0,47.708333333333336,26.0,21.5,32.333333333333336,105.29166666666667,72.95833333333333,,19.25,63.0,20.291666666666668,-11.0,214.29166666666666
2011-01-27,194.0952380952381,6.818181818181818,73.0,52.083333333333336,27.0,27.142857142857142,40.0,161.22727272727272,121.22727272727273,,21.130434782608695,87.0,22.416666666666668,-27.0,221.23809523809524
2011-01-28,193.3913043478261,4.875,73.0,47.166666666666664,28.0,20.130434782608695,28.291666666666668,84.91666666666667,56.625,,20.125,61.0,18.958333333333332,-15.0,213.52173913043478
