date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SPM_mean,THC_mean
2017-03-23,193.625,6.333333333333333,10.666666666666666,12.75,2.0833333333333335,3.3333333333333335,,199.95833333333334
2017-03-24,194.20833333333334,6.083333333333333,9.166666666666666,11.083333333333334,1.9166666666666667,6.208333333333333,,200.29166666666666
2017-03-25,196.20833333333334,8.916666666666666,10.333333333333334,12.458333333333334,2.125,13.083333333333334,,205.125
2017-03-26,199.41666666666666,9.916666666666666,9.5,10.958333333333334,1.4583333333333333,28.541666666666668,,209.33333333333334
2017-03-27,202.22727272727272,22.318181818181817,18.727272727272727,22.40909090909091,3.6818181818181817,37.69565217391305,,224.54545454545453
2017-03-28,192.375,4.291666666666667,3.375,4.083333333333333,0.7083333333333334,30.333333333333332,,196.66666666666666
2017-03-29,196.54166666666666,11.416666666666666,9.75,11.708333333333334,1.9583333333333333,31.166666666666668,,207.95833333333334
2017-03-30,194.33333333333334,5.5,6.416666666666667,7.5,1.0833333333333333,12.125,,199.83333333333334
2017-03-31,194.79166666666666,5.833333333333333,5.916666666666667,7.375,1.4583333333333333,11.166666666666666,,200.625
2017-04-01,198.08333333333334,6.208333333333333,10.166666666666666,12.208333333333334,2.0416666666666665,,,204.29166666666666
2017-04-02,197.41666666666666,5.125,6.166666666666667,7.958333333333333,1.7916666666666667,,,202.54166666666666
2017-04-03,198.79166666666666,6.833333333333333,8.541666666666666,10.541666666666666,2.0,,,205.625
2017-04-04,197.04545454545453,6.090909090909091,10.0,12.136363636363637,2.1363636363636362,17.8,,203.13636363636363
2017-04-05,191.04166666666666,2.7083333333333335,3.25,4.25,1.0,14.875,,193.75
2017-04-06,187.41666666666666,2.125,2.8333333333333335,3.9166666666666665,1.0833333333333333,11.666666666666666,,189.54166666666666
2017-04-07,183.83333333333334,1.4583333333333333,2.125,3.125,1.0,10.083333333333334,,185.29166666666666
2017-04-08,182.20833333333334,1.4166666666666667,2.625,3.625,1.0,6.125,,183.625
2017-04-09,185.29166666666666,3.8333333333333335,4.875,6.041666666666667,1.1666666666666667,8.125,,189.125
