date,CH4_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,191.609,3.812,93.899,85.288,67.32,4.739,4.949,5.555,0.617,,2.492,7.327,5.557,2.771,196.348
2011-01-02,190.696,3.062,94.979,74.471,54.525,3.478,4.247,5.064,0.845,,1.233,6.126,4.213,1.934,194.174
2011-01-03,192.13,3.438,93.001,76.015,52.231,3.739,4.205,4.866,0.635,,3.358,6.403,4.416,2.396,195.87
2011-01-04,187.609,2.896,93.753,73.439,55.963,3.522,3.282,3.611,0.301,,2.958,5.337,2.914,0.892,191.13
2011-01-05,186.609,3.896,88.367,79.287,65.041,4.87,6.483,8.635,2.181,,1.421,4.945,3.231,1.588,191.478
2011-01-06,185.609,3.042,93.356,77.676,52.853,4.217,6.546,8.946,2.381,,1.268,8.5,4.203,2.146,189.826
2011-01-07,191.478,3.688,95.339,86.389,69.047,5.783,7.11,10.361,3.216,,0.409,5.611,3.244,1.271,197.261
2011-01-08,189.522,3.322,89.921,71.911,44.086,5.696,4.721,6.989,2.165,,0.455,9.71,5.136,1.27,195.217
2011-01-09,190.739,4.312,92.074,76.477,53.436,5.087,7.38,9.743,2.398,,3.741,9.3,6.163,4.39,195.826
2011-01-10,196.0,5.022,89.46,77.181,63.735,7.0,7.953,10.762,2.831,,4.266,8.467,5.805,3.816,203.0
2011-01-11,187.783,2.98,94.259,73.175,54.219,5.435,5.635,7.499,1.956,,2.269,7.053,4.27,0.63,193.217
2011-01-12,190.478,3.166,95.339,83.483,64.725,6.652,7.469,11.41,3.981,,0.736,5.949,3.224,0.44,197.13
2011-01-13,191.043,3.062,85.149,66.707,52.632,6.435,5.567,6.44,0.874,,4.266,6.588,5.38,3.849,197.478
2011-01-14,192.304,3.708,80.928,64.307,51.514,6.217,6.805,9.354,2.538,,2.5,8.002,5.749,3.653,198.522
2011-01-15,191.913,3.375,88.905,75.863,57.315,5.739,6.265,9.04,2.77,,0.853,7.608,4.955,2.863,197.652
2011-01-16,188.478,2.708,90.091,76.157,61.363,4.913,6.805,11.079,4.251,,0.548,6.614,4.935,3.188,193.391
2011-01-17,187.261,3.75,90.842,73.024,42.525,7.174,9.491,15.464,6.021,,0.54,9.982,4.642,0.523,194.435
2011-01-18,190.391,4.458,87.557,69.396,40.681,9.957,12.001,21.983,9.985,,0.957,11.651,5.566,-0.318,200.348
