date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,185.934,6.758,16.255,14.705,22.714,8.009,10.265,0.681,14.905,5.4,1.725,-1.7,202.189
2011-01-02,182.059,4.095,10.41,7.634,11.552,3.918,5.887,0.467,9.59,7.7,2.979,0.0,192.469
2011-01-03,180.055,3.025,5.689,6.063,8.133,2.07,1.379,0.267,6.835,4.7,1.758,-0.8,185.744
2011-01-04,182.002,3.909,9.861,10.727,14.9,4.172,6.448,0.658,9.754,2.8,-0.317,-1.7,191.863
2011-01-05,182.011,2.825,6.007,5.432,7.933,2.501,3.09,0.339,7.536,1.5,-0.104,-1.5,188.019
2011-01-06,182.838,4.945,11.228,12.91,20.563,7.653,6.11,0.504,9.435,3.4,1.117,-0.2,194.066
2011-01-07,181.766,3.278,8.42,8.137,11.86,3.722,4.481,0.371,7.969,3.5,0.975,-1.2,190.186
2011-01-08,181.832,3.508,7.837,8.269,11.287,3.018,2.933,0.3,7.462,2.8,0.838,-0.5,189.669
2011-01-09,184.558,7.52,25.904,17.081,30.233,13.152,6.092,0.561,10.119,4.8,1.071,-2.2,210.463
2011-01-10,182.446,4.69,15.778,15.016,23.341,8.324,8.326,0.888,11.81,3.9,1.608,0.3,198.223
2011-01-11,181.432,3.493,8.496,10.957,16.622,5.665,8.022,0.615,11.237,0.5,-2.2,-4.7,189.928
2011-01-12,182.199,5.035,12.324,15.141,27.315,12.174,4.571,0.576,8.382,0.6,-2.404,-4.9,194.523
2011-01-13,185.249,5.077,16.102,17.802,29.317,11.515,9.117,0.765,12.027,1.5,-1.433,-4.5,201.351
2011-01-14,186.956,4.304,12.247,8.178,14.343,6.165,9.237,0.866,9.915,0.1,-1.783,-3.4,199.204
2011-01-15,185.376,3.053,9.437,5.263,7.649,2.386,7.641,1.171,10.812,1.9,-0.708,-3.4,194.813
2011-01-16,185.578,5.055,16.448,13.85,23.965,10.115,7.924,0.625,11.359,1.6,-0.696,-2.7,202.027
2011-01-17,186.091,5.843,21.25,20.279,36.155,15.876,9.408,0.598,12.577,2.7,0.05,-1.5,207.342
2011-01-18,186.219,7.396,30.871,23.448,46.049,22.601,10.748,1.202,15.397,6.5,2.625,-1.0,217.09
2011-01-19,170.534,5.811,14.275,17.957,30.054,12.097,13.078,1.149,17.833,5.1,2.133,-0.8,184.809
2011-01-20,179.936,4.003,8.001,10.872,16.306,5.434,7.792,0.469,12.031,2.7,1.108,-0.2,187.938
2011-01-21,179.735,4.666,10.68,15.629,23.323,7.694,8.798,0.332,12.236,1.3,-0.233,-1.8,190.415
2011-01-22,179.498,4.927,13.818,13.389,22.376,8.986,2.892,0.219,7.235,4.5,2.167,0.0,193.316
2011-01-23,181.736,4.449,10.887,10.165,16.192,6.028,4.455,0.381,8.933,5.3,2.45,-1.3,192.623
2011-01-24,181.003,3.913,9.732,10.708,16.505,5.796,4.133,0.429,9.061,2.4,-0.808,-2.5,190.735
2011-01-25,181.698,4.524,9.914,14.559,20.993,6.434,9.833,0.63,11.8,0.2,-2.342,-4.9,191.612
2011-01-26,182.834,4.478,14.267,13.122,21.849,8.726,7.107,0.618,10.001,-1.0,-3.379,-5.1,197.101
2011-01-27,182.777,4.333,10.474,15.2,22.727,7.527,10.664,0.804,12.862,-2.6,-3.722,-4.8,193.251
2011-01-28,182.252,3.75,7.181,9.377,13.577,4.2,8.236,0.675,10.799,-1.4,-4.15,-6.2,189.434
2011-01-29,183.071,4.803,10.514,10.123,14.915,4.792,5.275,0.309,8.487,-0.3,-3.75,-6.6,193.585
2011-01-30,182.38,4.636,11.523,15.154,24.338,9.184,6.132,0.467,9.553,0.9,-2.529,-5.7,193.904
2011-01-31,182.714,3.948,12.083,13.842,21.395,7.553,7.553,0.577,10.097,-1.6,-2.962,-4.7,194.796
2011-02-01,181.822,4.319,11.296,14.632,24.501,9.87,8.858,0.781,12.102,4.5,-0.925,-4.8,193.118
2011-02-02,181.623,4.049,10.152,11.496,18.126,6.629,4.603,0.671,8.453,-1.1,-2.979,-4.7,191.774
2011-02-03,182.97,5.634,13.777,19.534,34.481,14.947,8.242,0.572,10.572,0.4,-2.375,-6.3,196.747
2011-02-04,182.638,4.834,15.828,16.442,26.493,10.052,8.771,0.629,12.444,2.9,-1.146,-5.3,198.467
2011-02-05,184.105,5.124,14.801,12.62,20.071,7.45,9.288,1.166,12.27,3.6,0.142,-3.2,198.907
2011-02-06,184.689,7.075,24.266,23.359,43.658,20.285,16.567,0.933,20.084,5.4,1.65,-2.4,208.955
2011-02-07,184.251,6.191,17.756,21.563,39.245,17.682,13.909,0.702,17.856,6.2,3.604,1.7,202.007
2011-02-08,182.077,3.633,7.426,6.901,10.868,3.967,6.897,0.712,10.053,1.6,-1.612,-4.3,189.503
2011-02-09,182.009,3.379,8.36,9.321,13.715,4.395,5.585,0.358,8.601,-1.3,-2.925,-4.2,190.369
2011-02-10,181.044,4.451,12.712,14.877,23.421,8.544,9.267,0.538,11.174,1.9,-2.5,-5.0,193.757
2011-02-11,181.876,4.679,11.25,12.354,18.026,5.672,7.846,0.323,10.653,0.7,-2.929,-6.6,193.126
2011-02-12,180.396,2.885,5.706,5.487,7.392,1.906,6.176,0.194,9.481,0.1,-2.433,-4.9,186.102
2011-02-13,181.936,5.017,17.813,18.408,30.246,11.838,9.418,0.817,12.328,4.1,0.942,-1.4,199.749
2011-02-14,181.159,5.659,18.144,24.253,38.719,14.465,14.193,1.294,16.942,5.7,2.55,-1.2,199.303
2011-02-15,184.225,5.175,17.123,14.973,27.803,12.83,14.279,1.475,18.486,5.7,1.688,-1.6,201.348
2011-02-16,179.861,3.606,6.515,8.962,13.019,4.057,5.112,0.389,9.556,1.6,-1.329,-3.8,186.376
2011-02-17,180.984,4.164,10.426,13.338,19.115,5.777,9.937,0.812,11.679,1.0,-2.808,-5.8,191.41
2011-02-18,181.923,3.842,10.857,10.151,14.669,4.517,6.778,0.574,9.686,-0.7,-2.958,-5.3,192.78
2011-02-19,182.675,4.524,9.497,11.223,15.047,3.824,10.537,0.855,12.328,2.6,-1.717,-4.5,192.172
2011-02-20,185.151,7.223,27.439,21.225,36.749,15.524,13.717,0.604,14.925,3.6,0.526,-3.4,212.589
2011-02-21,183.346,5.746,15.82,18.253,29.727,11.474,17.418,1.972,19.792,7.0,2.588,-1.4,199.166
2011-02-22,182.289,4.248,11.537,16.501,23.772,7.271,11.455,1.071,15.018,4.1,0.192,-3.1,193.826
2011-02-23,179.933,4.903,16.74,20.637,29.98,9.343,11.211,0.671,15.925,10.8,3.012,-0.2,196.672
2011-02-24,183.994,4.21,7.956,7.967,10.544,2.578,19.543,2.381,24.812,6.1,3.754,0.2,191.949
2011-02-25,181.221,4.553,10.933,14.531,19.644,5.112,9.769,0.398,12.32,0.9,-0.112,-1.0,192.154
2011-02-26,183.375,4.042,12.957,9.992,14.513,4.521,9.022,0.265,12.007,2.8,0.112,-2.0,196.333
2011-02-27,182.003,3.982,7.876,9.861,14.384,4.524,8.754,0.277,10.352,0.8,-1.848,-4.5,189.88
2011-02-28,183.594,5.465,13.68,21.115,34.294,13.178,10.01,0.964,12.487,1.9,-1.879,-4.7,197.273
2011-03-01,182.217,5.919,29.965,25.235,42.456,17.221,20.802,1.017,24.341,9.4,3.771,-0.5,212.182
2011-03-02,184.517,6.969,25.496,28.17,49.152,20.982,14.195,0.559,17.799,4.3,0.975,-0.7,210.012
2011-03-03,182.229,4.022,8.368,12.106,17.906,5.801,12.356,0.346,14.903,4.0,0.571,-1.5,190.597
2011-03-04,181.773,3.601,7.784,10.445,14.92,4.475,9.831,0.428,12.272,2.1,0.146,-2.4,189.557
2011-03-05,180.963,4.406,13.899,18.684,30.566,11.882,7.202,0.23,11.996,7.0,1.15,-1.1,194.863
2011-03-06,181.288,5.331,14.556,18.671,32.2,13.529,6.147,0.302,11.071,10.4,6.804,4.0,195.844
2011-03-07,182.27,3.659,8.375,9.789,14.509,4.72,6.764,0.343,11.852,10.4,6.671,3.0,190.646
2011-03-08,182.814,5.379,12.238,18.36,29.449,11.088,12.092,0.621,17.171,5.7,3.521,0.5,195.052
2011-03-09,182.95,4.881,11.517,16.417,25.254,8.837,16.514,0.651,20.527,5.7,2.813,0.2,194.467
2011-03-10,181.968,4.914,9.844,13.631,18.953,5.322,8.495,0.048,11.926,1.6,0.704,-0.2,191.813
2011-03-11,181.111,3.459,7.445,8.351,12.239,3.889,7.858,0.251,11.786,3.2,1.246,0.0,188.556
2011-03-12,182.679,4.287,8.913,11.451,17.445,5.975,9.079,0.594,11.389,5.6,1.833,-0.3,191.591
2011-03-13,182.051,3.74,10.032,11.83,18.024,6.194,3.731,0.158,7.721,4.1,0.95,-0.8,192.083
2011-03-14,183.823,5.045,15.044,18.112,29.402,11.29,9.021,0.665,11.866,4.9,2.008,-1.5,198.866
2011-03-15,183.354,4.642,10.001,12.837,18.66,5.823,17.886,0.882,19.939,5.9,2.888,1.0,193.356
2011-03-16,183.22,4.246,9.72,14.266,20.986,6.72,16.492,0.62,19.653,6.1,2.788,0.3,192.94
2011-03-17,184.227,6.054,17.095,24.742,37.13,12.388,23.832,0.722,28.903,5.7,3.442,0.3,201.322
2011-03-18,182.427,4.155,11.588,12.501,16.81,4.308,18.855,0.77,25.441,8.7,6.308,4.7,194.015
2011-03-19,181.607,2.33,4.982,4.704,6.861,2.157,4.934,0.067,9.134,5.4,1.5,-0.3,186.589
2011-03-20,180.129,2.645,5.634,6.109,8.588,2.48,4.028,0.145,8.244,6.2,2.512,-0.6,185.763
2011-03-21,181.086,2.585,6.031,5.512,7.927,2.415,9.97,0.241,13.418,5.5,2.942,-0.5,187.117
2011-03-22,181.681,3.584,9.377,11.22,15.444,4.224,18.221,0.904,26.367,11.0,7.0,2.1,191.057
2011-03-23,181.494,4.261,9.119,12.58,17.767,5.187,18.294,0.655,26.968,9.9,4.858,0.1,190.612
2011-03-24,180.57,3.821,7.761,10.42,15.149,4.729,1.634,0.043,6.48,8.1,3.254,0.2,188.332
2011-03-25,182.328,4.125,13.058,9.073,12.921,3.848,3.754,0.193,7.252,8.6,4.033,1.1,195.386
2011-03-26,182.919,3.155,7.011,8.927,12.589,3.661,10.594,0.08,12.383,5.2,2.1,-0.1,189.931
2011-03-27,184.181,3.848,10.154,14.092,19.032,4.941,13.123,0.284,15.976,9.7,5.146,-0.9,194.335
2011-03-28,182.173,4.27,10.193,13.775,19.769,5.994,16.906,0.993,20.627,11.1,7.112,4.4,192.088
2011-03-29,184.313,4.653,12.421,15.195,21.134,5.939,17.843,0.681,20.745,10.9,6.804,3.1,196.735
2011-03-30,186.289,6.608,24.791,27.974,43.133,15.159,22.583,1.521,30.157,17.6,11.796,6.9,211.079
2011-03-31,181.284,4.539,15.689,15.281,22.921,7.64,14.179,0.702,23.805,17.2,9.25,1.3,196.973
2011-04-01,181.687,4.304,15.869,15.186,27.145,11.959,16.208,0.647,18.111,10.2,6.338,2.9,197.557
2011-04-02,181.271,3.145,10.798,10.627,16.553,5.926,15.167,0.955,20.338,10.9,7.433,2.8,192.068
2011-04-03,180.926,2.547,6.545,5.533,8.124,2.592,8.792,0.503,12.943,7.3,3.858,1.9,187.471
2011-04-04,181.73,3.499,10.065,11.118,17.681,6.563,6.75,0.549,10.318,6.4,3.508,0.8,191.795
2011-04-05,181.795,3.787,11.778,14.158,23.484,9.326,11.917,0.707,14.847,13.1,8.137,1.9,193.573
2011-04-06,183.228,4.911,21.338,18.971,31.393,12.422,18.208,1.266,20.327,16.6,10.321,5.6,204.566
2011-04-07,185.134,5.279,28.494,23.718,37.627,13.908,28.0,1.381,28.125,16.8,13.025,7.3,213.629
2011-04-08,186.176,4.162,36.346,13.12,18.11,4.99,19.875,0.876,16.27,19.3,13.804,8.9,222.522
2011-04-09,179.13,4.157,15.469,11.798,18.366,6.567,12.25,0.652,18.268,9.0,8.075,7.1,194.599
2011-04-10,180.49,3.785,13.789,9.389,14.175,4.785,14.375,0.759,19.502,11.5,8.275,5.4,194.279
2011-04-11,181.672,4.872,14.276,13.682,21.869,8.187,14.542,0.98,22.613,12.9,7.317,4.2,195.948
2011-04-12,181.515,3.476,10.394,10.375,14.872,4.496,14.833,0.776,19.76,9.4,6.196,2.3,191.908
2011-04-13,181.597,4.798,14.471,14.635,21.174,6.539,28.625,1.699,37.476,17.8,11.204,3.4,196.068
2011-04-14,183.472,6.065,27.703,21.335,31.241,9.906,28.208,2.852,44.511,21.2,14.642,7.6,211.175
2011-04-15,184.397,6.19,32.42,23.095,32.764,9.669,39.396,2.628,49.787,17.9,13.742,9.5,216.817
2011-04-16,182.319,4.504,20.666,13.328,20.987,7.659,22.828,1.207,29.072,17.2,12.238,7.5,202.985
2011-04-17,180.572,2.692,7.326,5.857,8.607,2.75,10.417,0.716,13.324,13.7,8.975,5.4,187.898
2011-04-18,179.863,3.358,10.87,9.974,16.467,6.493,11.542,0.941,15.749,11.9,7.871,3.4,190.732
2011-04-19,179.324,3.554,10.5,8.54,14.441,5.901,4.812,0.702,9.488,8.3,4.788,0.4,189.824
