date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2011-01-01,183.75,4.0,7.833,6.971,8.161,1.19,8.582,1.417,191.583
2011-01-02,191.435,3.435,2.609,4.191,4.594,0.403,10.485,1.734,194.043
2011-01-03,191.375,3.783,4.0,6.103,6.786,0.683,18.632,2.446,195.375
2011-01-04,193.957,4.696,6.435,6.063,6.939,0.877,25.607,3.986,200.391
2011-01-05,191.043,3.348,4.435,6.92,8.018,1.098,14.149,1.605,195.478
2011-01-06,182.261,3.391,6.087,8.978,10.421,1.443,13.095,1.399,188.348
2011-01-07,184.042,3.087,6.375,7.641,8.974,1.333,6.762,1.099,190.417
2011-01-08,184.333,3.391,8.792,7.688,9.055,1.367,5.337,0.817,193.125
2011-01-09,186.875,4.435,9.292,10.797,13.172,2.376,21.959,3.625,196.167
2011-01-10,191.739,5.565,12.087,12.746,15.845,3.099,31.308,3.349,203.826
2011-01-11,189.833,4.13,8.417,7.923,9.128,1.205,21.365,3.077,198.25
2011-01-12,191.292,4.174,12.042,11.685,14.734,3.049,7.393,1.387,203.333
2011-01-13,190.208,4.087,15.75,10.785,14.179,3.394,15.739,2.623,205.958
2011-01-14,193.174,4.261,7.696,8.435,9.915,1.48,32.592,4.292,200.87
2011-01-15,191.292,3.696,7.708,8.182,9.119,0.936,16.014,1.857,199.0
2011-01-16,191.375,4.087,12.333,8.37,10.14,1.77,9.532,1.022,203.708
2011-01-17,189.792,3.348,10.458,10.04,12.661,2.621,7.482,0.667,200.25
2011-01-18,192.087,5.0,19.174,16.826,23.337,6.511,11.94,1.176,211.261
2011-01-19,192.222,5.0,24.333,19.543,28.122,8.579,10.606,0.966,216.556
2011-01-20,192.0,3.875,18.0,12.998,15.545,2.547,6.482,0.742,210.0
2011-01-21,190.25,3.625,13.333,11.793,13.813,2.021,8.238,0.589,203.583
2011-01-22,189.542,3.0,10.708,8.394,9.766,1.372,6.997,1.096,200.25
2011-01-23,191.375,3.083,9.792,5.892,7.06,1.167,8.257,1.166,201.167
2011-01-24,191.75,2.625,8.875,5.388,6.808,1.42,6.462,1.008,200.625
2011-01-25,193.333,3.417,9.75,7.338,8.763,1.425,13.911,2.193,203.083
2011-01-26,194.667,3.0,10.75,7.082,8.556,1.473,7.569,1.542,205.417
2011-01-27,195.5,2.812,10.042,11.134,13.59,2.455,24.325,3.153,205.542
2011-01-28,195.417,0.333,11.292,10.53,12.732,2.203,31.708,3.207,206.708
2011-01-29,194.375,0.0,9.75,7.138,8.071,0.933,10.241,1.394,204.125
2011-01-30,196.958,0.208,14.583,10.922,14.312,3.39,12.998,2.585,211.542
2011-01-31,194.417,0.042,13.542,11.763,14.467,2.704,10.499,2.261,207.958
2011-02-01,194.208,2.182,17.083,10.812,14.139,3.326,14.576,2.639,211.292
2011-02-02,193.167,1.958,10.417,5.246,6.467,1.221,5.556,1.428,203.583
2011-02-03,195.083,2.625,12.208,9.706,11.898,2.193,9.919,1.944,207.292
2011-02-04,195.25,2.75,11.833,9.963,12.152,2.189,16.491,3.275,207.083
2011-02-05,197.542,4.625,14.333,10.814,12.12,1.305,31.083,3.929,211.875
2011-02-06,196.696,5.739,18.435,18.211,22.534,4.323,34.703,2.584,215.13
2011-02-07,197.391,4.87,19.174,14.358,17.08,2.723,15.284,2.016,216.565
