date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2011-01-01,4.667,6.001,11.042,5.041,11.583,4.296
2011-01-02,5.167,5.898,8.146,2.247,13.208,4.295
2011-01-03,6.25,7.463,11.323,3.86,21.625,6.107
2011-01-04,5.783,7.229,10.338,3.109,22.292,6.557
2011-01-05,7.583,13.846,23.176,9.329,16.375,4.914
2011-01-06,6.125,14.642,24.586,9.944,9.833,4.687
2011-01-07,6.0,10.996,17.896,6.901,6.625,3.909
2011-01-08,6.125,9.56,13.972,4.412,7.167,4.015
2011-01-09,6.042,11.106,17.581,6.475,17.458,5.836
2011-01-10,7.708,14.456,22.558,8.102,30.5,5.932
2011-01-11,6.739,10.175,17.692,7.517,22.955,4.958
2011-01-12,7.583,12.217,20.319,8.102,6.375,4.333
2011-01-13,7.833,14.015,23.663,9.649,17.458,5.489
2011-01-14,8.542,14.12,21.904,7.784,30.958,6.609
2011-01-15,6.708,10.078,14.211,4.133,16.917,4.477
2011-01-16,6.833,10.075,18.191,8.116,7.583,3.449
2011-01-17,5.917,7.369,12.561,5.193,4.5,2.849
2011-01-18,7.739,13.425,23.493,10.068,6.542,3.617
2011-01-19,7.792,14.734,35.088,20.353,7.292,3.183
2011-01-20,6.292,7.802,15.924,8.122,1.042,2.596
2011-01-21,7.625,10.973,22.432,11.459,3.917,2.386
2011-01-22,5.667,6.554,11.959,5.405,3.708,2.648
2011-01-23,5.292,6.759,11.831,5.072,6.042,3.122
2011-01-24,5.333,9.299,15.193,5.895,7.25,4.036
2011-01-25,6.565,9.577,16.053,6.476,14.0,4.406
2011-01-26,6.625,11.8,19.485,7.684,7.458,3.881
2011-01-27,8.417,14.969,25.081,10.112,21.417,5.296
2011-01-28,8.417,12.487,20.517,8.031,32.542,5.388
2011-01-29,5.125,7.167,10.804,3.637,16.0,4.192
2011-01-30,7.167,14.075,23.294,9.219,10.417,4.656
2011-01-31,6.875,12.47,20.622,8.152,9.167,4.636
