date,CH4_mean,CO2_mean,CO_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,RAIN_sum,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,197.639,4237.238,4.986,98.738,85.613,69.937,10.587,10.859,15.821,4.962,24.5,0.0,0.809,19.094,8.699,3.431,-1.243,208.226
2011-01-02,194.096,4108.92,3.672,99.523,71.969,42.541,6.83,6.758,9.304,2.546,15.417,0.0,0.618,13.568,10.762,4.271,-0.818,200.926
2011-01-03,191.1,4143.336,3.981,87.369,59.718,36.819,6.452,8.476,11.74,3.265,3.292,0.0,0.448,7.651,9.827,3.748,-2.224,197.552
2011-01-04,192.351,4062.266,4.113,89.602,65.234,42.738,6.76,8.923,12.263,3.34,7.25,0.0,1.213,10.529,10.152,3.944,-1.091,199.112
2011-01-05,191.7,4071.594,3.64,82.888,61.897,41.368,6.303,8.926,12.522,3.595,1.833,0.0,0.775,8.454,7.789,2.551,-1.575,198.003
2011-01-06,195.147,4209.303,5.17,91.411,70.819,44.717,13.366,19.675,34.033,14.357,12.167,0.0,1.079,14.818,9.103,2.75,-3.381,208.513
2011-01-07,193.026,4146.157,3.735,86.229,63.243,40.603,7.654,10.739,16.608,5.869,6.667,0.0,0.656,9.008,8.13,3.14,-1.313,200.68
2011-01-08,195.511,4245.315,4.468,92.893,70.078,42.603,9.631,11.803,16.551,4.747,7.333,0.0,0.738,11.326,7.908,1.908,-3.674,205.143
2011-01-09,194.345,4205.129,3.691,98.789,79.399,61.738,10.386,13.19,17.632,4.442,11.417,0.0,1.287,14.482,9.373,3.805,-1.093,204.731
2011-01-10,193.795,4184.465,4.701,99.523,72.4,43.973,12.54,17.891,31.506,13.615,14.958,0.0,1.384,15.744,9.218,4.547,-1.491,206.335
2011-01-11,191.175,4089.761,3.648,97.783,73.361,48.224,8.787,12.023,19.186,7.163,10.792,0.0,1.54,13.238,8.246,3.918,-0.301,199.963
2011-01-12,192.376,4193.252,4.979,85.506,59.076,36.062,10.394,18.015,32.47,14.455,7.667,0.0,1.123,11.478,6.052,0.62,-4.226,202.77
2011-01-13,194.247,4232.826,5.762,91.819,65.236,38.697,17.671,24.101,46.688,22.587,15.625,0.0,1.644,17.411,10.817,3.017,-4.147,211.918
2011-01-14,194.287,4165.894,5.58,85.858,59.584,38.142,10.247,14.561,26.504,11.943,8.083,0.0,1.305,12.213,7.416,2.239,-2.426,204.534
2011-01-15,195.427,4146.632,4.868,85.447,66.251,46.68,10.23,12.937,18.818,5.881,20.375,0.0,1.312,17.789,6.985,2.042,-3.054,205.657
2011-01-16,194.682,4093.584,3.93,78.375,64.223,51.664,10.657,15.297,26.027,10.73,14.75,0.0,1.139,17.44,5.798,2.983,-0.235,205.338
2011-01-17,191.987,4148.519,3.797,85.398,68.468,54.389,9.444,14.378,21.644,7.266,11.333,0.0,1.327,13.483,7.082,3.317,-0.512,201.431
2011-01-18,195.748,4237.53,5.612,92.058,73.25,48.486,17.211,23.829,48.14,24.311,25.167,0.0,1.699,23.482,8.793,2.693,-3.128,212.959
2011-01-19,194.064,4173.399,3.721,93.702,78.608,66.0,12.517,14.493,26.841,12.348,27.542,0.0,2.154,23.837,9.167,4.806,-1.355,206.581
2011-01-20,189.423,4080.565,2.504,98.462,91.346,75.107,6.272,7.107,9.116,2.009,8.958,4.5,1.192,14.443,5.532,4.154,3.303,195.696
2011-01-21,188.969,4097.427,2.661,99.37,93.368,83.862,6.118,6.612,8.212,1.6,2.292,30.0,0.636,9.614,5.908,4.109,2.706,195.087
2011-01-22,189.037,4082.803,3.378,99.37,96.357,86.618,7.611,7.646,10.687,3.041,2.5,25.5,0.36,8.298,7.46,5.027,1.902,196.648
2011-01-23,193.878,4155.591,4.422,97.564,90.482,72.471,12.481,14.782,32.426,17.643,14.625,23.0,0.687,13.918,7.358,3.289,0.094,206.358
2011-01-24,193.387,4134.288,4.562,94.804,70.473,42.064,10.569,16.266,28.212,11.945,13.167,2.0,0.827,11.806,5.314,1.603,-2.304,203.957
2011-01-25,192.774,4137.934,4.29,97.616,74.207,34.366,12.183,16.829,30.413,13.583,15.792,0.0,1.352,15.553,8.578,2.369,-1.815,204.958
2011-01-26,193.299,4120.281,3.832,93.591,60.094,34.492,8.67,13.454,20.094,6.64,8.875,0.0,1.014,11.025,5.549,0.937,-3.024,201.969
2011-01-27,196.95,4158.882,4.616,87.026,63.993,43.163,11.435,16.99,33.066,16.076,12.208,0.0,1.539,14.497,6.726,0.635,-4.935,208.384
2011-01-28,194.178,4083.985,4.018,83.176,57.708,36.537,7.825,11.134,17.612,6.478,12.417,0.0,1.597,15.446,5.25,0.866,-2.976,202.003
2011-01-29,193.22,4102.038,3.744,81.225,57.73,36.091,6.772,7.733,10.332,2.599,5.708,0.0,0.993,10.917,5.594,0.316,-3.942,199.992
2011-01-30,194.672,4235.756,5.18,90.748,62.608,36.368,11.449,16.93,31.276,14.346,8.208,0.0,0.883,11.846,5.838,0.156,-4.825,206.121
2011-01-31,195.636,4187.963,5.001,86.744,61.151,37.017,12.176,19.336,35.774,16.438,12.292,0.0,1.225,13.931,8.161,1.269,-5.174,207.812
2011-02-01,193.584,4130.952,4.472,92.819,66.324,42.062,10.218,15.279,28.821,13.543,10.375,0.0,1.528,13.916,10.776,2.633,-4.177,203.802
2011-02-02,190.522,4089.408,3.27,70.247,49.112,32.689,5.41,7.405,9.491,2.086,5.208,0.0,1.133,10.285,4.848,1.146,-2.347,195.933
2011-02-03,195.549,4312.992,5.649,90.005,61.282,34.586,12.855,20.26,37.107,16.847,11.708,0.0,1.32,13.432,6.393,0.444,-5.294,208.404
2011-02-04,196.73,4277.019,5.921,88.542,59.502,35.643,14.397,19.052,36.372,17.32,18.542,0.0,1.511,17.967,10.458,3.153,-4.125,211.127
2011-02-05,194.141,4263.637,4.435,96.934,75.939,55.102,7.975,10.056,12.463,2.407,15.667,0.0,1.689,16.444,7.726,3.933,-1.866,202.117
2011-02-06,194.589,4275.76,4.798,99.501,94.779,77.008,13.63,19.203,28.413,9.21,35.583,8.0,1.151,28.328,8.444,4.785,0.359,208.218
2011-02-07,194.036,4231.47,5.351,99.312,95.713,82.577,17.453,22.205,35.018,12.813,31.792,25.0,0.928,26.693,10.014,7.441,4.551,211.489
2011-02-08,191.225,4049.775,4.072,94.638,63.417,40.631,8.41,12.012,16.656,4.643,9.833,2.0,1.084,9.94,8.023,5.201,1.026,199.635
2011-02-09,191.919,4070.329,3.517,74.482,52.438,31.946,6.687,10.276,14.166,3.889,3.292,0.0,0.847,8.057,7.499,2.497,-1.457,198.606
2011-02-10,193.605,4122.072,4.181,92.724,67.414,35.41,11.616,16.489,29.695,13.206,11.375,0.0,1.501,12.865,9.22,3.243,-2.169,205.221
2011-02-11,192.743,4104.282,3.665,96.281,60.641,33.228,7.113,9.561,13.432,3.871,11.083,0.0,1.345,11.604,8.177,3.495,-1.751,199.856
