date,SPM_mean
2011-01-01,4.667
2011-01-02,2.042
2011-01-03,3.958
2011-01-04,7.25
2011-01-05,7.375
2011-01-06,6.833
2011-01-07,6.917
2011-01-08,3.792
2011-01-09,8.208
2011-01-10,5.792
2011-01-11,5.583
2011-01-12,2.375
2011-01-13,9.292
2011-01-14,8.417
2011-01-15,7.708
2011-01-16,6.875
2011-01-17,6.833
2011-01-18,8.292
2011-01-19,5.833
2011-01-20,10.792
2011-01-21,7.958
2011-01-22,5.208
2011-01-23,9.565
2011-01-24,6.167
2011-01-25,3.167
2011-01-26,5.083
2011-01-27,7.708
2011-01-28,8.125
2011-01-29,6.333
2011-01-30,4.5
2011-01-31,9.9
2011-02-01,11.5
2011-02-02,7.125
2011-02-03,3.875
2011-02-04,13.625
2011-02-05,12.083
2011-02-06,17.167
2011-02-07,14.167
2011-02-08,7.25
2011-02-09,5.333
2011-02-10,4.792
2011-02-11,7.625
2011-02-12,12.167
2011-02-13,7.542
2011-02-14,15.0
2011-02-15,17.167
2011-02-16,6.792
2011-02-17,8.458
2011-02-18,6.667
2011-02-19,6.625
2011-02-20,7.083
2011-02-21,14.208
2011-02-22,19.958
2011-02-23,21.167
2011-02-24,21.905
2011-02-25,10.75
2011-02-26,11.958
2011-02-27,10.417
2011-02-28,8.167
2011-03-01,9.208
2011-03-02,7.708
2011-03-03,16.0
2011-03-04,9.083
2011-03-05,7.125
2011-03-06,3.958
2011-03-07,19.75
2011-03-08,12.125
2011-03-09,16.75
2011-03-10,12.25
2011-03-11,7.708
2011-03-12,7.917
2011-03-13,7.958
2011-03-14,10.625
2011-03-15,17.708
2011-03-16,15.708
2011-03-17,12.833
2011-03-18,8.125
2011-03-19,8.75
2011-03-20,9.25
2011-03-21,10.75
2011-03-22,14.643
2011-03-23,11.0
2011-03-24,5.625
2011-03-25,4.875
2011-03-26,9.417
2011-03-27,16.625
2011-03-28,29.708
2011-03-29,19.227
2011-03-30,19.583
2011-03-31,11.417
2011-04-01,13.958
2011-04-02,11.0
2011-04-03,8.292
2011-04-04,8.375
2011-04-05,17.292
2011-04-06,16.708
2011-04-07,16.375
2011-04-08,15.292
2011-04-09,9.167
2011-04-10,20.167
2011-04-11,20.208
2011-04-12,20.083
2011-04-13,21.792
2011-04-14,35.0
2011-04-15,30.083
2011-04-16,23.375
2011-04-17,12.708
2011-04-18,12.261
2011-04-19,9.348
2011-04-20,5.25
2011-04-21,8.125
2011-04-22,17.917
2011-04-23,13.25
2011-04-24,16.625
2011-04-25,19.542
2011-04-26,18.958
2011-04-27,19.083
2011-04-28,12.958
2011-04-29,10.708
2011-04-30,26.75
2011-05-01,33.792
2011-05-02,39.042
2011-05-03,49.125
2011-05-04,34.042
2011-05-05,11.292
2011-05-06,20.417
2011-05-07,18.833
2011-05-08,24.25
2011-05-09,18.792
2011-05-10,18.792
2011-05-11,17.417
2011-05-12,15.5
2011-05-13,49.875
2011-05-14,33.708
2011-05-15,27.875
2011-05-16,42.208
2011-05-17,41.458
2011-05-18,30.333
2011-05-19,26.667
2011-05-20,35.792
2011-05-21,25.833
2011-05-22,11.5
2011-05-23,8.462
2011-05-24,8.727
2011-05-25,15.625
2011-05-26,19.583
2011-05-27,22.292
2011-05-28,18.042
2011-05-29,5.625
2011-05-30,8.833
2011-05-31,14.25
2011-06-01,18.458
2011-06-02,15.625
2011-06-03,24.042
2011-06-04,37.542
2011-06-05,34.75
2011-06-06,39.583
2011-06-07,27.957
2011-06-08,30.458
2011-06-09,27.417
2011-06-10,38.708
2011-06-11,34.792
2011-06-12,28.333
2011-06-13,24.625
2011-06-14,13.208
2011-06-15,7.0
2011-06-16,7.958
2011-06-17,12.958
2011-06-18,19.208
2011-06-19,19.375
2011-06-20,20.875
2011-06-21,21.25
2011-06-22,21.125
2011-06-23,26.792
2011-06-24,20.0
2011-06-25,6.625
2011-06-26,10.75
2011-06-27,14.87
2011-06-28,18.75
2011-06-29,16.625
2011-06-30,22.917
2011-07-01,27.417
2011-07-02,22.542
2011-07-03,30.708
2011-07-04,20.75
2011-07-05,32.875
2011-07-06,36.583
2011-07-07,17.083
2011-07-08,19.333
2011-07-09,24.083
2011-07-10,22.708
2011-07-11,21.833
2011-07-12,24.042
2011-07-13,24.292
2011-07-14,21.958
2011-07-15,25.958
2011-07-16,29.375
2011-07-17,30.875
2011-07-18,36.292
2011-07-19,24.375
2011-07-20,14.5
2011-07-21,18.583
2011-07-22,22.542
2011-07-23,24.208
2011-07-24,20.792
2011-07-25,26.917
2011-07-26,19.375
2011-07-27,20.667
2011-07-28,19.467
2011-07-29,30.818
2011-07-30,24.333
2011-07-31,17.5
2011-08-01,18.792
2011-08-02,21.174
2011-08-03,26.625
2011-08-04,31.833
2011-08-05,28.583
2011-08-06,27.417
2011-08-07,25.542
2011-08-08,25.0
2011-08-09,23.708
2011-08-10,22.5
2011-08-11,34.75
2011-08-12,41.583
2011-08-13,28.083
2011-08-14,30.792
2011-08-15,29.458
2011-08-16,38.458
2011-08-17,42.417
2011-08-18,29.0
2011-08-19,8.25
2011-08-20,16.208
2011-08-21,7.167
2011-08-22,9.375
2011-08-23,10.333
2011-08-24,11.333
2011-08-25,16.042
2011-08-26,9.75
2011-08-27,10.875
2011-08-28,12.083
2011-08-29,12.583
2011-08-30,21.917
2011-08-31,27.958
2011-09-01,22.042
2011-09-02,20.792
2011-09-03,22.875
2011-09-04,9.458
2011-09-05,10.042
2011-09-06,10.826
2011-09-07,15.083
2011-09-08,25.625
2011-09-09,27.042
2011-09-10,23.667
2011-09-11,22.833
2011-09-12,21.708
2011-09-13,21.875
2011-09-14,28.708
2011-09-15,28.042
2011-09-16,32.667
2011-09-17,24.583
2011-09-18,13.0
2011-09-19,4.708
2011-09-20,4.0
2011-09-21,6.5
2011-09-22,8.083
2011-09-23,7.375
2011-09-24,7.333
2011-09-25,13.0
2011-09-26,20.0
2011-09-27,15.083
2011-09-28,17.5
2011-09-29,38.0
2011-09-30,14.542
2011-10-01,8.625
2011-10-02,7.583
2011-10-03,7.417
2011-10-04,11.375
2011-10-05,21.958
2011-10-06,15.458
2011-10-07,23.583
2011-10-08,38.167
2011-10-09,33.917
2011-10-10,41.583
2011-10-11,32.0
2011-10-12,24.0
2011-10-13,36.917
2011-10-14,30.333
2011-10-15,17.792
2011-10-16,23.208
2011-10-17,22.375
2011-10-18,10.958
2011-10-19,9.125
2011-10-20,15.417
2011-10-21,22.083
2011-10-22,17.208
2011-10-23,7.833
2011-10-24,10.792
2011-10-25,12.696
2011-10-26,12.375
2011-10-27,10.625
2011-10-28,18.25
2011-10-29,17.375
2011-10-30,18.958
2011-10-31,11.625
2011-11-01,18.125
2011-11-02,21.75
2011-11-03,22.958
2011-11-04,21.042
2011-11-05,31.667
2011-11-06,8.958
2011-11-07,11.182
2011-11-08,6.615
2011-11-09,7.75
2011-11-10,5.208
2011-11-11,11.583
2011-11-12,9.708
2011-11-13,17.583
2011-11-14,34.292
2011-11-15,7.652
2011-11-16,7.792
2011-11-17,17.042
2011-11-18,23.667
2011-11-19,16.208
2011-11-20,9.75
2011-11-21,3.583
2011-11-22,3.583
2011-11-23,11.583
2011-11-24,8.0
2011-11-25,5.5
2011-11-26,8.125
2011-11-27,14.458
2011-11-28,40.375
2011-11-29,35.542
2011-11-30,5.625
2011-12-01,1.708
2011-12-02,5.167
2011-12-03,5.0
2011-12-04,7.708
2011-12-05,9.875
2011-12-06,6.625
2011-12-07,10.667
2011-12-08,4.917
2011-12-09,4.667
2011-12-10,2.083
2011-12-11,9.583
2011-12-12,9.5
2011-12-13,7.417
2011-12-14,8.625
2011-12-15,12.708
2011-12-16,1.75
2011-12-17,4.708
2011-12-18,2.292
2011-12-19,2.913
2011-12-20,6.0
2011-12-21,7.458
2011-12-22,10.458
2011-12-23,4.708
2011-12-24,4.042
2011-12-25,5.208
2011-12-26,5.042
2011-12-27,3.333
2011-12-28,6.087
2011-12-29,12.708
2011-12-30,8.333
2011-12-31,11.25
2015-01-01,7.125
2015-01-02,14.5
2015-01-03,20.292
2015-01-04,25.542
2015-01-05,13.792
2015-01-06,6.458
2015-01-07,6.583
2015-01-08,5.042
2015-01-09,5.208
2015-01-10,8.708
2015-01-11,5.292
2015-01-12,4.958
2015-01-13,4.417
2015-01-14,6.542
2015-01-15,5.042
2015-01-16,8.208
2015-01-17,8.208
2015-01-18,6.583
2015-01-19,5.25
2015-01-20,6.458
2015-01-21,7.125
2015-01-22,4.25
2015-01-23,3.917
2015-01-24,5.583
2015-01-25,7.458
2015-01-26,6.957
2015-01-27,15.042
2015-01-28,18.25
2015-01-29,6.417
2015-01-30,7.375
2015-01-31,9.292
2015-02-01,7.708
2015-02-02,7.25
2015-02-03,7.458
2015-02-04,9.227
2015-02-05,13.083
2015-02-06,7.708
2015-02-07,8.458
2015-02-08,6.708
2015-02-09,15.542
2015-02-10,12.417
2015-02-11,11.083
2015-02-12,14.5
2015-02-13,9.292
2015-02-14,14.833
2015-02-15,7.5
2015-02-16,6.304
2015-02-17,9.5
2015-02-18,8.6
2015-02-19,26.0
2015-02-20,16.375
2015-02-21,9.458
2015-02-22,7.958
2015-02-23,12.875
2015-02-24,6.417
2015-02-25,3.458
2015-02-26,9.542
2015-02-27,19.042
2015-02-28,8.875
2015-03-01,6.417
2015-03-02,11.348
2015-03-03,34.375
2015-03-04,31.083
2015-03-05,29.375
2015-03-06,22.792
2015-03-07,14.708
2015-03-08,23.167
2015-03-09,11.25
2015-03-10,12.292
2015-03-11,7.875
2015-03-12,6.625
2015-03-13,8.083
2015-03-14,8.625
2015-03-15,14.042
2015-03-16,10.042
2015-03-17,12.167
2015-03-18,14.125
2015-03-19,15.667
2015-03-20,19.5
2015-03-21,5.958
2015-03-22,9.958
2015-03-23,11.0
2015-03-24,6.667
2015-03-25,3.917
2015-03-26,5.917
2015-03-27,6.375
2015-03-28,6.458
2015-03-29,20.083
2015-03-30,34.0
2015-03-31,23.75
2015-04-01,29.792
2015-04-02,8.478
2015-04-03,11.333
2015-04-04,11.917
2015-04-05,4.708
2015-04-06,9.667
2015-04-07,12.958
2015-04-08,7.583
2015-04-09,9.0
2015-04-10,14.167
2015-04-11,12.375
2015-04-12,11.375
2015-04-13,14.708
2015-04-14,5.708
2015-04-15,9.833
2015-04-16,31.917
2015-04-17,25.667
2015-04-18,19.375
2015-04-19,17.625
2015-04-20,15.13
2015-04-21,6.958
2015-04-22,12.043
2015-04-23,16.75
2015-04-24,29.458
2015-04-25,26.083
2015-04-26,21.208
2015-04-27,21.792
2015-04-28,29.708
2015-04-29,30.708
2015-04-30,24.125
2015-05-01,23.958
2015-05-02,27.0
2015-05-03,25.125
2015-05-04,14.542
2015-05-05,10.292
2015-05-06,17.458
2015-05-07,18.417
2015-05-08,19.375
2015-05-09,23.333
2015-05-10,14.125
2015-05-11,8.042
2015-05-12,13.667
2015-05-13,26.208
2015-05-14,22.333
2015-05-15,23.458
2015-05-16,21.458
2015-05-17,21.542
2015-05-18,23.25
2015-05-19,11.833
2015-05-20,18.875
2015-05-21,10.208
2015-05-22,12.625
2015-05-23,21.042
2015-05-24,22.167
2015-05-25,26.875
2015-05-26,31.565
2015-05-27,27.708
2015-05-28,32.417
2015-05-29,31.583
2015-05-30,37.208
2015-05-31,19.292
2015-06-01,13.125
2015-06-02,22.958
2015-06-03,26.75
2015-06-04,6.583
2015-06-05,11.792
2015-06-06,10.458
2015-06-07,10.792
2015-06-08,14.625
2015-06-09,9.958
2015-06-10,12.542
2015-06-11,18.833
2015-06-12,34.958
2015-06-13,48.667
2015-06-14,49.042
2015-06-15,40.708
2015-06-16,29.667
2015-06-17,25.833
2015-06-18,20.208
2015-06-19,18.0
2015-06-20,19.917
2015-06-21,17.083
2015-06-22,16.125
2015-06-23,17.083
2015-06-24,16.208
2015-06-25,16.792
2015-06-26,23.25
2015-06-27,11.25
2015-06-28,6.875
2015-06-29,5.792
2015-06-30,17.565
2015-07-01,11.292
2015-07-02,19.5
2015-07-03,25.75
2015-07-04,28.167
2015-07-05,19.583
2015-07-06,16.417
2015-07-07,18.917
2015-07-08,11.208
2015-07-09,9.417
2015-07-10,11.958
2015-07-11,17.458
2015-07-12,21.792
2015-07-13,18.875
2015-07-14,25.833
2015-07-15,43.125
2015-07-16,46.846
2015-07-17,13.25
2015-07-18,13.5
2015-07-19,19.375
2015-07-20,18.583
2015-07-21,20.208
2015-07-22,15.833
2015-07-23,8.375
2015-07-24,18.167
2015-07-25,20.125
2015-07-26,19.917
2015-07-27,20.708
2015-07-28,35.125
2015-07-29,51.375
2015-07-30,71.667
2015-07-31,50.333
2015-08-01,75.0
2015-08-02,57.792
2015-08-03,42.458
2015-08-04,49.043
2015-08-05,50.917
2015-08-06,54.458
2015-08-07,41.25
2015-08-08,24.667
2015-08-09,26.792
2015-08-10,24.125
2015-08-11,21.333
2015-08-12,20.167
2015-08-13,17.417
2015-08-14,15.417
2015-08-15,14.333
2015-08-16,16.292
2015-08-17,19.208
2015-08-18,11.042
2015-08-19,15.208
2015-08-20,22.458
2015-08-21,16.5
2015-08-22,13.542
2015-08-23,11.0
2015-08-24,8.5
2015-08-25,11.375
2015-08-26,10.417
2015-08-27,11.667
2015-08-28,11.783
2015-08-29,9.875
2015-08-30,8.208
2015-08-31,7.458
2015-09-01,9.042
2015-09-02,11.708
2015-09-03,13.708
2015-09-04,16.958
2015-09-05,11.375
2015-09-06,10.792
2015-09-07,10.917
2015-09-08,7.417
2015-09-09,10.13
2015-09-10,6.667
2015-09-11,8.75
2015-09-12,14.292
2015-09-13,7.75
2015-09-14,8.833
2015-09-15,7.333
2015-09-16,10.042
2015-09-17,16.958
2015-09-18,3.917
2015-09-19,6.583
2015-09-20,8.0
2015-09-21,7.542
2015-09-22,7.583
2015-09-23,17.333
2015-09-24,17.375
2015-09-25,13.917
2015-09-26,10.917
2015-09-27,11.833
2015-09-28,14.042
2015-09-29,9.125
2015-09-30,8.167
2015-10-01,13.542
2015-10-02,10.292
2015-10-03,15.708
2015-10-04,10.417
2015-10-05,6.667
2015-10-06,5.208
2015-10-07,8.333
2015-10-08,13.75
2015-10-09,27.292
2015-10-10,22.875
2015-10-11,16.5
2015-10-12,11.375
2015-10-13,7.833
2015-10-14,10.917
2015-10-15,11.174
2015-10-16,12.833
2015-10-17,11.0
2015-10-18,20.375
2015-10-19,21.417
2015-10-20,22.458
2015-10-21,14.833
2015-10-22,17.0
2015-10-23,9.583
2015-10-24,36.958
2015-10-25,11.75
2015-10-26,12.792
2015-10-27,20.375
2015-10-28,14.917
2015-10-29,10.958
2015-10-30,11.792
2015-10-31,9.042
2015-11-01,10.917
2015-11-02,10.75
2015-11-03,6.25
2015-11-04,12.25
2015-11-05,17.833
2015-11-06,21.625
2015-11-07,26.958
2015-11-08,17.958
2015-11-09,6.833
2015-11-10,4.792
2015-11-11,5.083
2015-11-12,6.75
2015-11-13,12.417
2015-11-14,13.167
2015-11-15,9.375
2015-11-16,5.208
2015-11-17,12.435
2015-11-18,8.792
2015-11-19,6.458
2015-11-20,9.417
2015-11-21,11.458
2015-11-22,12.125
2015-11-23,13.208
2015-11-24,11.708
2015-11-25,3.125
2015-11-26,6.167
2015-11-27,6.625
2015-11-28,7.333
2015-11-29,7.5
2015-11-30,10.667
2015-12-01,9.042
2015-12-02,15.083
2015-12-03,10.417
2015-12-04,9.375
2015-12-05,9.875
2015-12-06,7.708
2015-12-07,5.667
2015-12-08,6.292
2015-12-09,8.917
2015-12-10,15.25
2015-12-11,13.625
2015-12-12,11.417
2015-12-13,11.167
