date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-01-01,2.958,4.083,1.125,3.917
2011-01-02,1.958,2.958,1.0,2.458
2011-01-03,2.417,3.417,1.0,2.917
2011-01-04,2.375,3.542,1.167,2.792
2011-01-05,4.217,5.696,1.478,2.87
2011-01-06,5.042,6.625,1.583,2.0
2011-01-07,7.0,9.0,2.0,4.625
2011-01-08,5.75,7.542,1.792,4.167
2011-01-09,4.5,5.792,1.292,3.792
2011-01-10,5.75,7.708,1.958,7.292
2011-01-11,4.708,5.958,1.25,4.583
2011-01-12,5.25,6.75,1.5,5.417
2011-01-13,3.636,4.909,1.273,3.217
2011-01-14,6.875,8.458,1.583,5.792
2011-01-15,6.25,7.5,1.25,3.667
2011-01-16,5.792,7.583,1.792,1.75
2011-01-17,6.043,8.565,2.522,2.0
2011-01-18,5.583,8.042,2.458,6.0
2011-01-19,8.125,11.667,3.542,2.667
2011-01-20,5.875,10.458,4.583,2.375
2011-01-21,5.0,6.875,1.875,3.375
2011-01-22,4.5,6.208,1.708,3.917
2011-01-23,2.083,3.0,0.917,1.5
2011-01-24,2.583,3.542,0.958,1.958
2011-01-25,3.583,4.667,1.083,3.375
2011-01-26,4.182,5.909,1.727,2.565
2011-01-27,5.875,7.542,1.667,6.125
2011-01-28,6.917,8.542,1.625,4.958
2011-01-29,4.708,5.708,1.0,5.25
2011-01-30,6.042,7.958,1.917,5.0
2011-01-31,6.375,8.083,1.708,8.083
2011-02-01,3.227,4.318,1.091,4.652
2011-02-02,2.417,3.792,1.375,1.5
2011-02-03,3.417,5.042,1.625,1.458
2011-02-04,6.5,8.458,1.958,4.208
2011-02-05,6.833,8.458,1.625,3.417
2011-02-06,9.375,14.667,5.292,2.125
2011-02-07,3.125,3.958,0.833,2.125
2011-02-08,2.167,3.125,0.958,1.0
2011-02-09,3.042,4.208,1.167,1.375
2011-02-10,4.826,6.348,1.522,1.913
2011-02-11,4.083,5.458,1.375,5.5
2011-02-12,4.042,4.958,0.917,4.667
2011-02-13,6.667,8.167,1.5,2.0
2011-02-14,20.111,30.889,10.778,2.435
2011-02-15,11.333,11.875,0.542,2.708
2011-02-16,7.042,7.333,0.292,2.583
2011-02-17,4.833,5.167,0.333,2.25
2011-02-18,3.917,4.083,0.167,1.708
2011-02-19,2.958,3.0,0.042,1.417
2011-02-20,7.75,8.333,0.583,4.792
2011-02-21,15.083,16.958,1.875,9.0
2011-02-22,15.833,18.417,2.583,3.167
2011-02-23,8.5,8.917,0.417,2.708
2011-02-24,6.696,6.783,0.087,4.696
2011-02-25,8.042,8.75,0.708,2.25
2011-02-26,5.667,6.042,0.375,2.542
2011-02-27,7.292,8.875,1.583,4.042
2011-02-28,8.043,8.522,0.478,2.435
2011-03-01,15.333,17.667,2.333,1.958
2011-03-02,11.0,11.75,0.75,2.0
2011-03-03,5.25,5.375,0.125,2.667
2011-03-04,9.917,10.083,0.167,1.667
2011-03-05,11.458,13.875,2.417,2.045
2011-03-06,3.833,4.0,0.167,2.0
2011-03-07,11.583,12.625,1.042,2.478
2011-03-08,10.875,13.417,2.542,2.917
2011-03-09,11.565,12.304,0.739,2.625
2011-03-10,6.083,6.625,0.542,3.667
2011-03-11,4.708,4.708,0.0,3.958
2011-03-12,4.792,5.083,0.292,1.458
2011-03-13,6.875,7.292,0.417,5.125
2011-03-14,9.65,10.2,0.55,3.304
2011-03-15,11.13,11.826,0.696,5.208
2011-03-16,18.833,20.208,1.375,3.125
2011-03-17,7.708,7.833,0.125,1.583
2011-03-18,4.708,4.708,0.0,1.875
2011-03-19,5.958,6.125,0.167,2.333
2011-03-20,7.458,7.542,0.083,2.083
2011-03-21,7.333,7.583,0.25,3.75
2011-03-22,9.25,10.083,0.833,8.792
2011-03-23,10.833,13.583,2.75,2.13
2011-03-24,3.542,3.542,0.0,2.167
2011-03-25,2.958,2.958,0.0,1.75
2011-03-26,5.042,5.167,0.125,1.542
2011-03-27,6.792,7.208,0.417,4.391
2011-03-28,7.542,7.583,0.042,3.375
2011-03-29,8.667,9.25,0.583,3.708
2011-03-30,7.542,7.958,0.417,2.542
2011-03-31,4.792,4.792,0.0,2.042
2011-04-01,7.417,8.167,0.75,7.25
2011-04-02,4.833,4.917,0.083,5.625
2011-04-03,4.958,5.0,0.042,3.125
2011-04-04,5.043,5.13,0.087,2.174
2011-04-05,7.625,8.333,0.708,2.292
2011-04-06,7.958,8.875,0.917,2.042
2011-04-07,7.792,8.417,0.625,1.708
2011-04-08,9.042,9.5,0.458,1.583
2011-04-09,5.25,5.375,0.125,1.625
2011-04-10,6.208,6.292,0.083,2.583
2011-04-11,7.417,7.708,0.292,3.167
2011-04-12,7.042,7.292,0.25,1.833
2011-04-13,5.667,5.833,0.167,2.417
2011-04-14,6.375,6.5,0.125,3.042
2011-04-15,9.091,10.136,1.045,3.522
2011-04-16,5.958,6.167,0.208,2.542
2011-04-17,5.208,5.25,0.042,3.042
2011-04-18,5.565,5.913,0.348,1.609
2011-04-19,4.75,5.208,0.458,1.0
2011-04-20,5.875,6.417,0.542,2.5
