date,NO2_mean,NOX_mean,NO_mean,SO2_mean
2011-05-18,14.783,80.391,65.609,3.143
2011-05-19,8.875,30.542,21.667,2.818
2011-05-20,5.708,29.0,23.292,2.667
2011-05-21,1.0,1.667,0.667,1.625
2011-05-22,3.333,7.042,3.708,1.917
2011-05-23,5.292,11.292,6.0,1.0
2011-05-24,2.3,3.2,0.9,1.455
2011-05-25,5.375,10.125,4.75,3.957
2011-05-26,6.292,47.667,41.375,1.708
2011-05-27,4.75,6.75,2.0,1.0
2011-05-28,3.875,5.292,1.417,1.0
2011-05-29,5.75,7.5,1.75,1.0
2011-05-30,8.458,14.375,5.917,2.625
2011-05-31,7.667,51.333,43.667,2.458
2011-06-01,11.043,43.913,32.87,1.25
2011-06-02,3.542,56.667,53.125,2.042
2011-06-03,4.875,15.958,11.083,1.75
2011-06-04,5.625,64.25,58.625,2.5
2011-06-05,2.208,4.042,1.833,0.958
2011-06-06,6.875,68.625,61.75,1.958
2011-06-07,1.792,2.625,0.833,1.0
2011-06-08,3.87,5.348,1.478,1.174
2011-06-09,2.667,5.125,2.458,2.625
2011-06-10,2.583,5.25,2.667,1.625
2011-06-11,6.333,12.5,6.167,1.042
2011-06-12,2.708,10.292,7.583,0.958
2011-06-13,9.708,30.417,20.708,1.542
2011-06-14,5.458,39.417,33.958,2.292
2011-06-15,8.087,32.435,24.348,1.75
2011-06-16,4.542,6.333,1.792,1.0
2011-06-17,4.875,13.917,9.042,1.0
2011-06-18,1.75,2.833,1.083,1.0
2011-06-19,6.917,13.167,6.25,0.958
2011-06-20,6.083,9.708,3.625,0.958
2011-06-21,2.25,3.375,1.125,1.208
2011-06-22,1.348,6.913,5.565,2.087
2011-06-23,0.708,2.167,1.458,1.625
2011-06-24,0.625,1.792,1.167,2.125
2011-06-25,0.458,1.417,0.958,2.0
2011-06-26,0.792,1.542,0.75,1.0
2011-06-27,0.542,1.25,0.708,1.083
2011-06-28,1.0,5.417,4.417,2.75
2011-06-29,1.609,24.696,23.087,2.667
2011-06-30,2.458,5.625,3.167,2.667
2011-07-01,5.292,21.125,15.833,1.125
2011-07-02,4.833,76.042,71.208,2.5
2011-07-03,2.75,16.0,13.25,1.125
2011-07-04,1.333,5.208,3.875,2.375
2011-07-05,11.792,32.625,20.833,3.0
2011-07-06,9.348,62.609,53.261,1.217
2011-07-07,1.833,3.458,1.625,1.0
2011-07-08,0.708,2.042,1.333,1.0
2011-07-09,0.708,2.208,1.5,1.417
2011-07-10,1.125,3.958,2.833,2.542
2011-07-11,0.917,3.125,2.208,1.958
2011-07-12,0.792,5.125,4.333,2.333
2011-07-13,1.043,3.261,2.217,2.333
2011-07-14,0.292,1.417,1.125,2.708
2011-07-15,1.792,24.875,23.083,2.708
2011-07-16,1.417,17.167,15.75,2.833
2011-07-17,0.25,1.125,0.875,2.167
2011-07-18,0.042,0.708,0.667,1.0
2011-07-19,1.5,4.958,3.458,1.0
2011-07-20,4.478,11.217,6.739,2.609
2011-07-21,0.833,1.292,0.458,2.667
2011-07-22,1.333,1.458,0.125,1.0
2011-07-23,1.75,5.958,4.208,2.125
2011-07-24,1.375,2.917,1.542,2.25
2011-07-25,0.375,0.375,0.0,1.083
2011-07-26,0.583,1.208,0.625,1.667
2011-07-27,1.565,2.304,0.739,1.042
2011-07-28,0.792,3.25,2.458,1.958
2011-07-29,2.292,19.708,17.417,2.333
2011-07-30,3.333,30.417,27.083,2.292
2011-07-31,2.375,10.583,8.208,1.792
2011-08-01,2.167,3.083,0.917,1.542
2011-08-02,0.333,0.417,0.083,1.292
2011-08-03,0.13,0.478,0.348,1.739
2011-08-04,0.583,2.375,1.792,1.542
2011-08-05,2.292,8.125,5.833,1.125
2011-08-06,0.167,1.167,1.0,1.0
2011-08-07,0.042,1.125,1.083,1.375
2011-08-08,0.542,3.667,3.125,1.542
2011-08-09,0.625,2.083,1.458,2.125
2011-08-10,0.652,2.087,1.435,2.5
2011-08-11,4.75,40.708,35.958,2.75
2011-08-12,4.875,69.583,64.708,2.583
2011-08-13,3.958,50.583,46.625,2.208
2011-08-14,2.708,18.083,15.375,1.708
2011-08-15,2.542,12.708,10.167,1.625
2011-08-16,6.75,31.167,24.417,2.375
2011-08-17,3.739,60.87,57.13,1.609
2011-08-18,3.792,33.583,29.792,1.333
2011-08-19,9.417,18.208,8.792,1.833
2011-08-20,13.0,80.125,67.125,1.625
2011-08-21,8.333,73.417,65.083,0.667
2011-08-22,6.292,43.375,37.083,1.042
2011-08-23,4.792,33.333,28.542,0.375
2011-08-24,2.87,47.13,44.261,1.167
2011-08-25,2.792,14.458,11.667,0.542
2011-08-26,1.75,18.958,17.208,1.083
2011-08-27,2.042,78.75,76.708,1.708
2011-08-28,1.75,12.125,10.375,1.667
2011-08-29,5.75,90.0,84.25,1.917
2011-08-30,5.542,96.917,91.375,2.042
2011-08-31,6.478,45.783,39.304,2.174
2011-09-01,1.75,6.375,4.625,0.75
2011-09-02,7.958,18.958,11.0,0.708
2011-09-03,6.833,25.958,19.125,0.25
2011-09-04,5.958,40.083,34.125,1.625
2011-09-05,3.625,5.708,2.083,2.125
2011-09-06,3.042,11.333,8.292,2.0
2011-09-07,6.652,43.783,37.13,1.958
2011-09-08,5.75,19.125,13.375,2.208
2011-09-09,1.042,1.5,0.458,1.5
2011-09-10,0.625,2.917,2.292,0.75
2011-09-11,0.917,6.083,5.167,1.042
2011-09-12,1.708,7.542,5.833,1.125
2011-09-13,2.042,47.75,45.708,1.875
2011-09-14,1.739,33.478,31.739,2.348
2011-09-15,2.583,18.458,15.875,1.375
2011-09-16,0.917,1.667,0.75,0.75
2011-09-17,0.167,0.5,0.333,0.583
2011-09-18,0.125,0.292,0.167,0.542
2011-09-19,2.167,10.125,7.958,0.833
2011-09-20,1.0,1.75,0.75,0.625
2011-09-21,3.957,6.261,2.304,1.625
2011-09-22,4.583,7.542,2.958,2.333
2011-09-23,3.917,7.667,3.75,2.083
2011-09-24,7.917,20.583,12.667,2.167
2011-09-25,10.792,51.708,40.917,1.833
2011-09-26,5.542,14.208,8.667,0.75
2011-09-27,4.292,26.333,22.042,2.042
2011-09-28,10.522,86.087,75.565,2.087
2011-09-29,8.625,88.417,79.792,1.917
2011-09-30,12.75,38.25,25.5,1.333
2011-10-01,3.833,11.708,7.875,2.375
2011-10-02,5.958,13.542,7.583,1.958
2011-10-03,1.75,2.333,0.583,1.917
2011-10-04,5.833,21.167,15.333,1.792
2011-10-05,8.957,16.696,7.739,0.917
2011-10-06,8.792,23.083,14.292,1.917
2011-10-07,9.333,54.625,45.292,2.708
2011-10-08,1.667,2.042,0.375,2.125
2011-10-09,1.125,1.208,0.083,2.167
2011-10-10,0.667,0.833,0.167,1.333
2011-10-11,1.125,1.583,0.458,1.458
2011-10-12,0.826,1.565,0.739,2.043
2011-10-13,1.333,2.0,0.667,0.958
2011-10-14,5.333,13.583,8.25,0.958
2011-10-15,7.625,55.042,47.417,1.0
2011-10-16,7.958,24.375,16.417,2.25
2011-10-17,10.542,97.833,87.292,2.042
2011-10-18,2.542,3.417,0.875,2.292
2011-10-19,8.522,27.957,19.435,2.25
2011-10-20,6.167,25.333,19.167,2.083
2011-10-21,5.208,8.833,3.625,1.0
2011-10-22,9.708,41.5,31.792,1.0
2011-10-23,5.833,26.292,20.458,1.333
2011-10-24,5.458,84.792,79.333,1.833
2011-10-25,6.667,59.375,52.708,1.458
2011-10-26,1.696,2.478,0.783,2.261
2011-10-27,9.792,78.792,69.0,2.083
2011-10-28,7.917,18.125,10.208,1.917
2011-10-29,11.458,84.625,73.167,1.875
2011-10-30,10.917,75.25,64.333,0.833
2011-10-31,5.042,17.292,12.25,1.792
2011-11-01,2.708,13.792,11.083,1.75
2011-11-02,4.174,7.478,3.304,1.333
2011-11-03,4.875,17.375,12.5,0.833
2011-11-04,5.542,79.792,74.25,0.833
2011-11-05,2.833,4.917,2.083,0.917
2011-11-06,4.458,25.792,21.333,0.875
2011-11-07,3.375,27.958,24.583,1.625
2011-11-08,4.917,54.208,49.292,1.583
2011-11-09,1.609,2.565,0.957,1.522
2011-11-10,3.125,6.75,3.625,1.333
2011-11-11,13.792,86.0,72.208,1.458
2011-11-12,7.583,132.792,125.208,1.542
2011-11-13,12.833,87.75,74.917,2.125
2011-11-14,6.917,9.417,2.5,3.071
2011-11-15,17.3,96.8,79.5,
2011-11-16,10.714,53.571,42.857,2.75
2011-11-17,15.792,129.208,113.417,3.792
2011-11-18,5.5,27.083,21.583,1.083
2011-11-19,13.208,36.708,23.5,1.208
2011-11-20,9.167,27.708,18.542,2.583
2011-11-21,8.375,19.875,11.5,1.958
2011-11-22,11.652,64.783,53.13,2.13
2011-11-23,13.583,123.583,110.0,1.375
2011-11-24,9.167,19.458,10.292,1.917
2011-11-25,12.375,85.667,73.292,2.167
2011-11-26,10.417,78.125,67.708,2.625
2011-11-27,9.917,65.292,55.375,2.708
2011-11-28,5.5,36.042,30.542,1.417
2011-11-29,7.0,80.625,73.625,2.208
2011-11-30,4.348,64.435,60.087,2.083
2011-12-01,2.792,13.333,10.542,1.083
2011-12-02,2.125,3.542,1.417,1.0
2011-12-03,14.167,53.667,39.5,1.917
2011-12-04,9.583,32.625,23.042,2.083
2011-12-05,6.792,45.917,39.125,1.958
2011-12-06,10.167,78.542,68.375,3.042
2011-12-07,9.304,39.217,29.913,1.304
2011-12-08,11.167,38.542,27.375,1.0
2011-12-09,6.458,15.542,9.083,1.375
2011-12-10,15.125,59.917,44.792,3.125
2011-12-11,10.542,24.958,14.417,1.958
2011-12-12,7.875,33.458,25.583,1.75
2011-12-13,6.583,27.333,20.75,1.917
2011-12-14,12.043,71.609,59.565,1.75
2011-12-15,9.542,44.792,35.25,2.167
2011-12-16,5.542,9.542,4.0,2.583
2011-12-17,6.833,10.458,3.625,1.958
2011-12-18,11.458,22.958,11.5,2.083
2011-12-19,11.417,22.083,10.667,2.333
2011-12-20,8.792,13.917,5.125,2.167
2011-12-21,10.217,15.609,5.391,3.304
2011-12-22,10.417,24.25,13.833,3.583
2011-12-23,9.208,31.375,22.167,2.458
2011-12-24,12.75,31.75,19.0,2.375
2011-12-25,7.125,14.833,7.708,2.417
2011-12-26,8.417,15.667,7.25,2.375
2011-12-27,11.217,34.957,23.739,2.167
2011-12-28,9.417,22.083,12.667,2.167
2011-12-29,8.208,11.917,3.708,3.208
2011-12-30,9.0,21.042,12.042,1.958
2011-12-31,13.792,52.375,38.583,2.042
2012-01-01,17.125,114.542,97.417,1.917
2012-01-02,16.458,132.25,115.792,2.667
2012-01-03,3.208,5.417,2.208,2.083
2012-01-04,3.217,6.565,3.348,1.333
2012-01-05,10.333,16.333,6.0,1.292
2012-01-06,5.792,8.708,2.917,1.542
2012-01-07,2.708,3.375,0.667,1.625
2012-01-08,2.625,3.208,0.583,1.833
2012-01-09,3.217,4.261,1.043,2.739
2012-01-10,4.583,6.542,1.958,2.167
2012-01-11,3.125,5.458,2.333,1.708
2012-01-12,13.667,34.0,20.333,3.292
2012-01-13,5.042,7.0,1.958,1.5
2012-01-14,1.667,2.042,0.375,2.0
2012-01-15,2.208,3.0,0.792,2.5
2012-01-16,4.435,11.826,7.391,1.917
2012-01-17,7.458,11.083,3.625,2.583
2012-01-18,3.0,3.958,0.958,1.875
2012-01-19,8.458,12.125,3.667,1.958
2012-01-20,2.75,3.417,0.667,1.833
2012-01-21,7.125,9.958,2.833,1.625
2012-01-22,3.083,4.083,1.0,1.417
2012-01-23,2.565,3.957,1.391,1.478
2012-01-24,12.75,35.833,23.083,2.958
2012-01-25,6.542,8.875,2.333,3.0
2012-01-26,5.083,7.292,2.208,5.667
2012-01-27,5.5,8.042,2.542,2.958
2012-01-28,6.583,11.292,4.708,2.792
2012-01-29,4.792,9.625,4.833,2.917
2012-01-30,2.783,3.783,1.0,2.917
2012-01-31,6.375,13.583,7.208,2.208
2012-02-01,4.708,6.417,1.708,1.375
2012-02-02,7.667,12.208,4.542,1.917
2012-02-03,4.833,7.708,2.875,2.0
2012-02-04,5.667,6.875,1.208,1.333
2012-02-05,2.217,2.739,0.522,1.583
2012-02-06,5.913,7.783,1.87,1.739
