date,CO_mean
2011-01-01,4.667
2011-01-02,5.167
2011-01-03,6.25
2011-01-04,5.783
2011-01-05,7.583
2011-01-06,6.125
2011-01-07,6.0
2011-01-08,6.125
2011-01-09,6.042
2011-01-10,7.708
2011-01-11,6.739
2011-01-12,7.583
2011-01-13,7.833
2011-01-14,8.542
2011-01-15,6.708
2011-01-16,6.833
2011-01-17,5.917
2011-01-18,7.739
2011-01-19,7.792
2011-01-20,6.292
2011-01-21,7.625
2011-01-22,5.667
2011-01-23,5.292
2011-01-24,5.333
2011-01-25,6.565
2011-01-26,6.625
2011-01-27,8.417
2011-01-28,8.417
2011-01-29,5.125
2011-01-30,7.167
2011-01-31,6.875
2011-02-01,6.696
2011-02-02,4.75
2011-02-03,7.167
2011-02-04,6.792
2011-02-05,7.208
2011-02-06,7.75
2011-02-07,7.833
2011-02-08,5.87
2011-02-09,7.625
2011-02-10,7.0
2011-02-11,6.333
2011-02-12,6.25
2011-02-13,6.792
2011-02-14,10.042
2011-02-15,9.696
2011-02-16,6.542
2011-02-17,5.75
2011-02-18,5.5
2011-02-19,4.917
2011-02-20,6.083
2011-02-21,7.833
2011-02-22,7.833
2011-02-23,6.125
2011-02-24,6.875
2011-02-25,8.542
2011-02-26,4.833
2011-02-27,6.5
2011-02-28,6.25
2011-03-01,8.0
2011-03-02,9.042
2011-03-03,5.375
2011-03-04,6.292
2011-03-05,9.875
2011-03-06,7.833
2011-03-07,7.708
2011-03-08,8.083
2011-03-09,9.083
2011-03-10,5.708
2011-03-11,5.542
2011-03-12,4.792
2011-03-13,6.083
2011-03-14,5.583
2011-03-15,6.391
2011-03-16,8.375
2011-03-17,8.833
2011-03-18,9.875
2011-03-19,6.458
2011-03-20,6.208
2011-03-21,6.417
2011-03-22,5.696
2011-03-23,7.083
2011-03-24,6.625
2011-03-25,4.25
2011-03-26,5.25
2011-03-27,5.667
2011-03-28,5.875
2011-03-29,5.739
2011-03-30,5.583
2011-03-31,4.958
2011-04-01,3.833
2011-04-02,2.833
2011-04-03,1.667
2011-04-04,1.458
2011-04-05,2.375
2011-04-06,2.167
2011-04-07,1.625
2011-04-08,3.125
2011-04-09,1.875
2011-04-10,2.083
2011-04-11,2.458
2011-04-12,2.5
2011-04-13,2.292
2011-04-14,2.208
2011-04-15,3.75
2011-04-16,2.708
2011-04-17,2.208
2011-04-18,3.875
2011-04-19,3.292
2011-04-20,2.542
2011-04-21,9.609
2011-04-22,17.0
2011-04-23,15.125
2011-04-24,15.167
2011-04-25,15.333
2011-04-26,14.958
2011-04-27,15.292
2011-04-28,14.792
2011-04-29,14.75
2011-04-30,15.167
2011-05-01,14.167
2011-05-02,14.458
2011-05-03,15.542
2011-05-04,14.458
2011-05-05,14.417
2011-05-06,14.667
2011-05-07,14.25
2011-05-08,13.25
2011-05-09,14.167
2011-05-10,14.292
2011-05-11,13.833
2011-05-12,14.292
2011-05-13,14.042
2011-05-14,14.25
2011-05-15,14.25
2011-05-16,13.958
2011-05-17,14.0
2011-05-18,14.25
2011-05-19,14.0
2011-05-20,13.375
2011-05-21,12.708
2011-05-22,12.458
2011-05-23,13.958
2011-05-24,14.0
2011-05-25,13.708
2011-05-26,7.522
2011-05-27,1.667
2011-05-28,1.833
2011-05-29,0.542
2011-05-30,0.875
2011-05-31,0.667
2011-06-01,0.917
2011-06-02,6.043
2011-06-03,13.417
2011-06-04,13.208
2011-06-05,13.417
2011-06-06,12.792
2011-06-07,13.75
2011-06-08,13.583
2011-06-09,12.708
2011-06-10,13.417
2011-06-11,13.75
2011-06-12,13.333
2011-06-13,12.625
2011-06-14,13.792
2011-06-15,14.792
2011-06-16,15.042
2011-06-17,14.583
2011-06-18,15.125
2011-06-19,14.125
2011-06-20,13.875
2011-06-21,12.708
2011-06-22,12.333
2011-06-23,11.25
2011-06-24,11.333
2011-06-25,11.417
2011-06-26,10.708
2011-06-27,11.708
2011-06-28,12.25
2011-06-29,12.208
2011-06-30,12.292
2011-07-01,13.125
2011-07-02,13.0
2011-07-03,12.792
2011-07-04,11.5
2011-07-05,11.208
2011-07-06,11.917
2011-07-07,10.556
2011-07-08,5.739
2011-07-09,4.958
2011-07-10,3.375
2011-07-11,3.917
2011-07-12,4.875
2011-07-13,4.565
2011-07-14,3.542
2011-07-15,3.833
2011-07-16,3.917
2011-07-17,3.458
2011-07-18,3.833
2011-07-19,2.125
2011-07-20,4.087
2011-07-21,4.708
2011-07-22,7.167
2011-07-23,4.125
2011-07-24,3.958
2011-07-25,5.25
2011-07-26,4.75
2011-07-27,4.522
2011-07-28,4.375
2011-07-29,4.727
2011-07-30,5.333
2011-07-31,4.75
2011-08-01,5.708
2011-08-02,5.583
2011-08-03,3.783
2011-08-04,4.125
2011-08-05,4.25
2011-08-06,3.583
2011-08-07,2.875
2011-08-08,3.5
2011-08-09,4.0
2011-08-10,4.652
2011-08-11,4.208
2011-08-12,4.625
2011-08-13,4.125
2011-08-14,3.75
2011-08-15,3.958
2011-08-16,5.25
2011-08-17,4.522
2011-08-18,4.167
2011-08-19,5.75
2011-08-20,5.0
2011-08-21,4.958
2011-08-22,4.792
2011-08-23,4.667
2011-08-24,4.667
2011-08-25,5.708
2011-08-26,4.042
2011-08-27,3.917
2011-08-28,4.042
2011-08-29,4.042
2011-08-30,4.458
2011-08-31,5.217
2011-09-01,6.25
2011-09-02,4.542
2011-09-03,6.667
2011-09-04,5.083
2011-09-05,4.125
2011-09-06,5.25
2011-09-07,4.913
2011-09-08,5.0
2011-09-09,5.875
2011-09-10,5.542
2011-09-11,3.5
2011-09-12,5.25
2011-09-13,4.333
2011-09-14,4.652
2011-09-15,5.417
2011-09-16,6.125
2011-09-17,3.708
2011-09-18,2.958
2011-09-19,4.292
2011-09-20,4.833
2011-09-21,3.13
2011-09-22,3.833
2011-09-23,4.042
2011-09-24,5.25
2011-09-25,5.25
2011-09-26,6.875
2011-09-27,5.833
2011-09-28,5.174
2011-09-29,6.25
2011-09-30,8.625
2011-10-01,5.083
2011-10-02,4.0
2011-10-03,3.875
2011-10-04,6.167
2011-10-05,6.0
2011-10-06,4.625
2011-10-07,6.542
2011-10-08,6.208
2011-10-09,5.083
2011-10-10,4.542
2011-10-11,5.833
2011-10-12,6.261
2011-10-13,7.542
2011-10-14,6.042
2011-10-15,7.292
2011-10-16,5.375
2011-10-17,6.708
2011-10-18,5.333
2011-10-19,6.043
2011-10-20,6.125
2011-10-21,7.958
2011-10-22,6.958
2011-10-23,4.958
2011-10-24,5.333
2011-10-25,4.708
2011-10-26,3.913
2011-10-27,5.625
2011-10-28,6.25
2011-10-29,6.375
2011-10-30,5.583
2011-10-31,4.792
2011-11-01,6.542
2011-11-02,6.739
2011-11-03,5.583
2011-11-04,6.875
2011-11-05,8.417
2011-11-06,6.375
2011-11-07,5.833
2011-11-08,5.708
2011-11-09,4.609
2011-11-10,6.125
2011-11-11,7.083
2011-11-12,6.458
2011-11-13,5.958
2011-11-14,7.375
2011-11-15,5.833
2011-11-16,6.043
2011-11-17,6.375
2011-11-18,8.542
2011-11-19,7.667
2011-11-20,4.875
2011-11-21,4.708
2011-11-22,5.875
2011-11-23,5.739
2011-11-24,5.917
2011-11-25,5.375
2011-11-26,6.208
2011-11-27,6.292
2011-11-28,7.0
2011-11-29,8.125
2011-11-30,7.565
2011-12-01,5.474
2011-12-02,7.375
2011-12-03,5.792
2011-12-04,5.542
2011-12-05,6.167
2011-12-06,7.333
2011-12-07,8.826
2011-12-08,9.227
2011-12-09,5.542
2011-12-10,7.667
2011-12-11,6.583
2011-12-12,7.417
2011-12-13,8.75
2011-12-14,7.87
2011-12-15,8.25
2011-12-16,5.958
2011-12-17,7.458
2011-12-18,5.833
2011-12-19,6.917
2011-12-20,8.042
2011-12-21,8.217
2011-12-22,6.625
2011-12-23,5.708
2011-12-24,6.5
2011-12-25,4.667
2011-12-26,7.292
2011-12-27,6.833
2011-12-28,7.391
2011-12-29,7.25
2011-12-30,5.208
2011-12-31,5.458
2012-01-01,4.75
2012-01-02,5.125
2012-01-03,4.043
2012-01-04,5.208
2012-01-05,6.375
2012-01-06,5.125
2012-01-07,6.25
2012-01-08,6.833
2012-01-09,7.625
2012-01-10,6.348
2012-01-11,6.917
2012-01-12,5.708
2012-01-13,5.792
2012-01-14,4.167
2012-01-15,4.875
2012-01-16,6.833
2012-01-17,6.409
2012-01-18,4.917
2012-01-19,7.292
2012-01-20,6.292
2012-01-21,7.667
2012-01-22,5.917
2012-01-23,6.542
2012-01-24,7.0
2012-01-25,6.583
2012-01-26,6.167
2012-01-27,5.583
2012-01-28,7.125
2012-01-29,7.375
2012-01-30,6.917
2012-01-31,7.864
2012-02-01,9.458
2012-02-02,6.75
2012-02-03,5.292
2012-02-04,7.333
2012-02-05,7.0
2012-02-06,7.708
2012-02-07,7.348
2012-02-08,3.833
2012-02-09,6.125
2012-02-10,6.208
2012-02-11,6.167
2012-02-12,8.292
2012-02-13,5.375
2012-02-14,6.652
2012-02-15,6.167
2012-02-16,5.25
2012-02-17,5.625
2012-02-18,7.083
2012-02-19,5.125
2012-02-20,6.417
2012-02-21,6.652
2012-02-22,7.583
2012-02-23,7.583
2012-02-24,4.042
2012-02-25,6.417
2012-02-26,6.833
2012-02-27,6.042
2012-02-28,6.565
2012-03-01,8.0
2012-03-02,4.083
2012-03-03,5.042
2012-03-04,5.458
2012-03-05,7.292
2012-03-06,6.167
2012-03-07,6.348
2012-03-08,7.042
2012-03-09,8.375
2012-03-10,6.708
2012-03-11,4.792
2012-03-12,5.917
2012-03-13,8.083
2012-04-01,4.5
2012-04-02,5.417
2012-04-03,3.792
2012-04-04,5.042
2012-04-05,6.261
2012-04-06,4.958
2012-04-07,4.708
2012-04-08,4.75
2012-04-09,6.167
2012-04-10,6.208
2012-04-11,6.0
2012-04-12,6.826
2012-04-13,6.375
2012-04-14,4.667
