date,PM25_mean,SO2_mean
2011-01-01,,4.583333333333333
2011-01-02,,3.7083333333333335
2011-01-03,,6.083333333333333
2011-01-04,,5.541666666666667
2011-01-05,,4.478260869565218
2011-01-06,,4.833333333333333
2011-01-07,,4.541666666666667
2011-01-08,,6.166666666666667
2011-01-09,,5.625
2011-01-10,,7.166666666666667
2011-01-11,,5.041666666666667
2011-01-12,,5.583333333333333
2011-01-13,,8.166666666666666
2011-01-14,,9.041666666666666
2011-01-15,,4.708333333333333
2011-01-16,,3.5
2011-01-17,,2.7083333333333335
2011-01-18,,3.0434782608695654
2011-01-19,,1.5833333333333333
2011-01-20,,1.7083333333333333
2011-01-21,,1.5
2011-01-22,,3.1666666666666665
2011-01-23,,2.8333333333333335
2011-01-24,,3.6666666666666665
2011-01-25,,4.875
2011-01-26,,3.7916666666666665
2011-01-27,,6.333333333333333
2011-01-28,,6.291666666666667
2011-01-29,,5.541666666666667
2011-01-30,,4.541666666666667
2011-01-31,,4.958333333333333
2011-02-01,,5.913043478260869
2011-02-02,,3.0833333333333335
2011-02-03,,5.291666666666667
2011-02-04,,7.791666666666667
2011-02-05,,5.75
2011-02-06,,1.0833333333333333
2011-02-07,,2.4166666666666665
2011-02-08,,2.5833333333333335
2011-02-09,,3.9583333333333335
2011-02-10,,4.5
2011-02-11,,4.25
2011-02-12,,5.791666666666667
2011-02-13,,2.5833333333333335
2011-02-14,,1.9166666666666667
2011-02-15,,1.608695652173913
2011-02-16,,3.25
2011-02-17,,4.0
2011-02-18,,3.25
2011-02-19,,3.8333333333333335
2011-02-20,,4.291666666666667
2011-02-21,,5.5
2011-02-22,,2.0833333333333335
2011-02-23,,2.0416666666666665
2011-02-24,,6.083333333333333
2011-02-25,,2.9166666666666665
2011-02-26,,4.666666666666667
2011-02-27,,5.333333333333333
2011-02-28,,3.625
2011-03-01,,2.1666666666666665
2011-03-02,,2.7083333333333335
2011-03-03,,3.1666666666666665
2011-03-04,,2.625
2011-03-05,,2.0
2011-03-06,,2.875
2011-03-07,,5.666666666666667
2011-03-08,,3.9583333333333335
2011-03-09,,2.375
2011-03-10,,3.6666666666666665
2011-03-11,,7.0
2011-03-12,,4.541666666666667
2011-03-13,,6.0
2011-03-14,,8.695652173913043
2011-03-15,,8.375
2011-03-16,,5.291666666666667
2011-03-17,,1.2083333333333333
2011-03-18,,2.2916666666666665
2011-03-19,,4.25
2011-03-20,,4.416666666666667
2011-03-21,,5.791666666666667
2011-03-22,,10.916666666666666
2011-03-23,,2.5833333333333335
2011-03-24,,4.375
2011-03-25,,4.333333333333333
2011-03-26,,4.458333333333333
2011-03-27,,6.5
2011-03-28,,6.391304347826087
2011-03-29,,6.458333333333333
2011-03-30,,4.5
2011-03-31,,3.7916666666666665
2011-04-01,,5.666666666666667
2011-04-02,,5.458333333333333
2011-04-03,,5.083333333333333
2011-04-04,,3.8333333333333335
2011-04-05,,5.458333333333333
2011-04-06,,4.125
2011-04-07,,3.4166666666666665
2011-04-08,,2.2083333333333335
2011-04-09,,3.0
2011-04-10,,5.166666666666667
2011-04-11,,6.083333333333333
2011-04-12,,5.083333333333333
2011-04-13,,7.625
2011-04-14,,6.391304347826087
2011-04-15,,4.5
2011-04-16,,3.5833333333333335
2011-04-17,,4.041666666666667
2011-04-18,,3.125
2011-04-19,,3.7916666666666665
2011-04-20,,3.125
2011-04-21,,4.041666666666667
2011-04-22,,2.6666666666666665
2011-04-23,,2.2083333333333335
2011-04-24,,4.916666666666667
2011-04-25,,4.458333333333333
2011-04-26,,5.0
2011-04-27,,2.8260869565217392
2011-04-28,,4.083333333333333
2011-04-29,,4.833333333333333
2011-04-30,,3.9166666666666665
2011-05-01,,2.4583333333333335
2011-05-02,,4.875
2011-05-03,,3.2083333333333335
2011-05-04,,3.5833333333333335
2011-05-05,,3.5416666666666665
2011-05-06,,3.25
2011-05-07,,2.2916666666666665
2011-05-08,,2.625
2011-05-09,,4.25
2011-05-10,,3.5
2011-05-11,,2.391304347826087
2011-05-12,,2.2083333333333335
2011-05-13,,4.833333333333333
