date,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean
2014-03-02,14.833,22.5,7.667,21.792,1.792
2014-03-03,20.043,33.565,13.522,20.333,5.208
2014-03-04,14.208,19.625,5.417,13.458,1.875
2014-03-05,11.333,16.25,4.917,13.917,2.435
2014-03-06,15.476,17.81,2.333,18.286,2.333
2014-03-07,11.583,15.125,3.542,16.542,1.958
2014-03-08,14.25,16.667,2.417,15.167,5.792
2014-03-09,12.875,14.625,1.75,16.375,2.583
2014-03-10,7.609,10.174,2.565,9.917,1.792
2014-03-11,12.208,14.417,2.208,10.75,2.417
2014-03-12,15.667,18.381,2.714,20.381,3.571
2014-03-13,14.5,18.75,4.25,16.625,3.0
2014-03-14,13.917,14.958,1.042,30.292,2.458
2014-03-15,11.458,12.708,1.25,20.792,1.167
2014-03-16,19.042,31.833,12.792,19.333,1.875
2014-03-17,14.783,26.348,11.565,19.5,4.25
2014-03-18,16.667,20.542,3.875,13.625,1.5
2014-03-19,8.792,10.417,1.625,4.75,1.0
2014-03-20,12.905,15.381,2.476,12.55,1.0
2014-03-21,15.375,18.708,3.333,20.833,1.458
2014-03-22,11.0,11.833,0.833,49.375,4.042
2014-03-23,14.625,17.667,3.042,24.792,1.875
2014-03-24,12.0,14.696,2.696,11.667,2.25
2014-03-25,13.583,15.833,2.25,13.708,3.0
2014-03-26,19.333,25.238,5.905,18.286,5.381
2014-03-27,16.833,21.125,4.292,20.417,5.0
2014-03-28,12.333,14.292,1.958,20.75,8.458
2014-03-29,8.75,9.583,0.833,15.833,2.0
2014-03-30,13.792,16.458,2.667,23.125,5.667
2014-03-31,18.087,20.87,2.783,30.542,5.125
2015-01-01,13.167,17.417,4.25,29.5,1.625
2015-01-02,11.167,11.625,0.458,25.958,1.792
2015-01-03,15.208,19.667,4.458,20.833,1.667
2015-01-04,18.542,27.75,9.208,33.708,1.583
2015-01-05,24.0,30.565,6.565,39.167,1.792
2015-01-06,25.042,35.958,10.917,19.542,1.583
2015-01-07,19.476,33.048,13.571,21.905,1.81
2015-01-08,20.875,25.667,4.792,14.208,1.833
2015-01-09,23.458,31.542,8.083,21.333,2.375
2015-01-10,13.917,17.167,3.25,23.583,2.25
2015-01-11,17.083,22.5,5.417,26.25,2.292
2015-01-12,25.522,36.13,10.609,13.208,2.783
2015-01-13,22.174,30.174,8.0,11.875,2.208
2015-01-14,12.833,14.167,1.333,16.19,1.905
2015-01-15,20.625,31.625,11.0,21.042,3.083
2015-01-16,26.625,47.292,20.667,35.458,3.708
2015-01-17,16.125,19.083,2.958,23.542,3.333
2015-01-18,9.25,11.875,2.625,13.0,2.375
2015-01-19,5.55,7.15,1.6,6.81,1.571
2015-01-20,13.5,18.125,4.625,11.458,2.0
2015-01-21,19.458,27.875,8.417,22.667,2.083
2015-01-22,17.25,33.625,16.375,19.917,1.5
2015-01-23,12.125,14.458,2.333,21.458,3.25
2015-01-24,4.042,4.875,0.833,8.375,1.792
2015-01-25,18.125,25.25,7.125,16.083,2.583
2015-01-26,17.957,22.783,4.826,24.917,1.957
2015-01-27,21.095,32.333,11.238,27.762,1.905
2015-01-28,22.792,32.417,9.625,29.25,2.125
2015-01-29,19.042,26.125,7.083,8.25,1.292
2015-01-30,10.0,12.458,2.458,5.75,1.125
2015-01-31,10.458,12.917,2.458,20.792,2.625
2015-02-01,17.625,22.292,4.667,46.75,3.208
2015-02-02,14.826,20.739,5.913,16.167,2.542
2015-02-03,15.333,17.714,2.381,17.667,2.619
2015-02-04,19.083,23.667,4.583,32.458,3.75
2015-02-05,21.75,28.542,6.792,26.875,2.958
2015-02-06,13.333,18.667,5.333,19.917,2.208
2015-02-07,13.375,16.25,2.875,20.958,2.75
2015-02-08,15.75,22.917,7.167,24.042,2.25
2015-02-09,20.13,27.478,7.348,21.042,3.043
2015-02-10,18.19,24.429,6.238,17.667,2.952
2015-02-11,22.583,31.958,9.375,27.125,3.875
2015-02-12,23.417,30.625,7.208,22.458,3.542
2015-02-13,11.125,14.542,3.417,7.792,1.542
2015-02-14,4.375,5.458,1.083,14.083,1.125
2015-02-15,6.095,8.238,2.143,8.429,1.81
2015-02-16,13.261,15.826,2.565,10.625,1.75
2015-02-17,14.792,18.875,4.083,13.667,2.0
2015-02-18,16.792,22.958,6.167,15.625,1.917
2015-02-19,19.667,26.042,6.375,15.542,1.708
2015-02-20,9.75,11.375,1.625,7.792,2.125
2015-02-21,6.542,7.875,1.333,17.292,2.458
2015-02-22,16.333,20.042,3.708,18.583,2.542
2015-02-23,14.35,16.2,1.85,15.095,1.3
2015-02-24,13.458,16.375,2.917,15.625,2.25
2015-02-25,13.625,15.417,1.792,12.625,2.25
2015-02-26,18.042,22.667,4.625,24.25,3.083
2015-02-27,16.625,19.458,2.833,34.167,3.458
2015-02-28,9.708,11.125,1.417,25.75,2.25
2015-03-01,16.5,22.8,6.3,17.667,2.333
2015-03-02,14.875,17.708,2.833,21.333,2.167
2015-03-03,15.708,21.125,5.417,20.625,2.25
2015-03-04,15.0,17.625,2.625,24.958,4.208
2015-03-05,15.042,19.25,4.208,25.292,4.75
2015-03-06,12.125,13.75,1.625,17.292,1.958
2015-03-07,13.083,18.625,5.542,15.458,2.625
2015-03-08,15.2,21.4,6.2,29.0,2.1
2015-03-09,8.792,10.083,1.292,14.208,1.875
2015-03-10,13.542,17.208,3.667,9.625,1.292
2015-03-11,10.125,12.875,2.75,8.667,1.417
2015-03-12,10.042,11.458,1.417,12.833,1.583
2015-03-13,11.083,12.792,1.708,16.458,2.0
