date,CH4_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,THC_mean
2015-02-20,191.0,7.25,6.667,7.375,0.708,11.25,0.417,198.25
2015-02-21,194.333,4.917,4.792,5.375,0.583,22.583,1.708,199.25
2015-02-22,199.0,9.708,13.583,16.875,3.292,19.375,1.625,208.708
2015-02-23,195.714,10.19,10.857,11.857,1.0,18.714,0.238,205.905
2015-02-24,194.667,6.417,6.652,8.348,1.696,17.833,0.913,201.083
2015-02-25,195.13,7.391,9.333,10.792,1.458,17.458,1.167,202.522
2015-02-26,198.458,8.625,11.042,13.958,2.917,29.542,1.833,207.083
2015-02-27,197.542,8.25,9.5,10.958,1.458,36.583,2.208,205.792
2015-02-28,196.833,7.375,6.333,7.417,1.083,29.583,1.167,204.208
2015-03-01,194.905,5.667,7.476,9.381,1.905,18.286,0.952,200.571
2015-03-02,195.917,7.542,10.391,15.391,5.0,22.75,1.478,203.458
2015-03-03,193.565,6.652,8.0,11.875,3.875,19.042,1.167,200.217
2015-03-04,193.625,9.417,10.792,13.833,3.042,27.333,2.125,203.042
2015-03-05,195.0,9.542,9.958,15.292,5.333,28.667,0.292,204.542
2015-03-06,190.667,9.208,6.625,8.167,1.542,18.958,0.542,199.875
2015-03-07,190.875,12.167,11.25,19.375,8.125,19.792,1.208,203.042
2015-03-08,194.095,12.381,10.762,16.952,6.19,31.619,0.333,206.476
2015-03-09,191.167,7.875,6.783,7.565,0.783,18.25,0.348,199.042
2015-03-10,196.0,7.348,7.75,9.25,1.5,10.625,0.292,203.348
2015-03-11,196.5,6.333,6.208,7.458,1.25,11.5,0.667,202.833
2015-03-12,197.292,7.417,8.125,9.458,1.333,16.292,0.875,204.708
2015-03-13,198.708,9.5,10.792,29.792,19.0,19.667,0.708,208.208
2015-03-14,194.5,5.625,5.375,5.917,0.542,21.958,0.625,200.125
2015-03-15,200.19,9.667,11.381,14.714,3.333,29.762,0.714,209.857
2015-03-16,195.292,10.083,8.304,12.957,4.652,22.125,1.13,205.375
2015-03-17,193.043,10.652,9.292,15.333,6.042,16.542,0.833,203.696
2015-03-18,193.208,12.0,12.458,15.25,2.792,13.292,0.0,205.208
2015-03-19,190.792,18.875,6.833,8.625,1.792,19.417,0.208,209.667
2015-03-20,196.167,7.333,5.042,6.375,1.333,25.5,0.458,203.5
2015-03-21,194.458,6.208,5.542,7.708,2.167,13.333,0.583,200.667
2015-03-22,194.542,7.792,7.625,11.583,3.958,16.333,2.042,202.333
2015-03-23,197.048,9.333,11.3,23.85,12.55,20.048,0.6,206.381
2015-03-24,196.696,5.261,6.125,9.25,3.125,15.667,0.458,201.957
2015-03-25,195.792,3.417,5.875,7.208,1.333,12.375,2.542,199.208
2015-03-26,195.083,4.083,6.667,8.083,1.417,15.833,7.208,199.167
2015-03-27,195.125,3.375,4.458,5.0,0.542,23.292,0.542,198.5
2015-03-28,195.708,4.458,6.875,8.083,1.208,29.75,1.208,200.167
2015-03-29,197.952,5.238,8.952,10.333,1.381,31.333,1.714,203.19
2015-03-30,194.875,5.958,7.652,8.739,1.087,25.25,0.522,200.833
2015-03-31,194.391,8.304,7.958,9.208,1.25,22.833,0.292,202.696
2015-04-01,190.333,18.0,6.0,7.348,1.348,18.083,0.565,208.333
