date,CO_mean,NO2_mean,NOX_mean,NO_mean,PM25_mean,SO2_mean,SPM_mean
2011-01-01,6.583,20.042,33.042,13.0,,5.5,41.917
2011-01-02,4.783,15.208,25.208,10.0,,2.375,14.792
2011-01-03,6.375,21.333,34.25,12.917,,7.261,33.375
2011-01-04,5.333,17.857,32.524,14.667,,2.619,21.857
2011-01-05,6.917,31.833,69.25,37.417,,6.083,25.042
2011-01-06,7.5,35.833,84.292,48.458,,7.083,24.667
2011-01-07,6.833,30.375,71.917,41.542,,3.875,23.167
2011-01-08,6.833,28.375,54.0,25.625,,5.917,24.042
2011-01-09,7.55,28.381,58.524,30.143,,5.952,46.81
2011-01-10,10.667,36.667,96.417,59.75,,8.043,67.542
2011-01-11,8.333,27.917,77.5,49.583,,4.625,47.0
2011-01-12,7.833,35.792,85.75,49.958,,3.708,21.333
2011-01-13,6.958,32.208,77.583,45.375,,4.292,28.667
2011-01-14,7.458,30.25,59.25,29.0,,4.917,48.0
2011-01-15,6.0,24.125,43.042,18.917,,2.917,30.458
2011-01-16,5.739,25.625,52.333,26.708,,3.0,16.583
2011-01-17,5.714,28.81,59.19,30.381,,2.45,10.143
2011-01-18,8.292,36.0,97.417,61.417,,4.667,24.25
2011-01-19,8.167,32.708,96.292,63.583,,2.625,33.292
2011-01-20,5.75,22.458,58.042,35.583,,1.583,12.625
2011-01-21,4.167,21.375,38.208,16.833,,1.875,13.333
2011-01-22,4.5,16.75,30.542,13.792,,1.542,13.833
2011-01-23,4.043,18.583,36.958,18.375,,1.333,8.917
2011-01-24,4.917,23.458,48.5,25.042,,2.217,12.708
2011-01-25,5.81,26.0,57.143,31.143,,2.905,20.238
2011-01-26,6.875,31.0,83.375,52.375,,3.0,14.917
2011-01-27,7.208,35.625,80.042,44.417,,3.625,24.708
2011-01-28,6.083,28.125,56.25,28.125,,4.0,34.417
2011-01-29,4.833,17.208,28.375,11.167,,3.792,22.958
2011-01-30,5.609,26.208,52.625,26.417,,4.083,20.792
2011-01-31,6.458,33.625,72.25,38.625,,5.261,22.917
2011-02-01,6.619,30.286,66.429,36.143,,4.238,30.714
2011-02-02,3.958,16.792,31.375,14.583,,1.833,7.042
2011-02-03,6.375,33.708,72.083,38.375,,3.375,15.583
2011-02-04,7.042,31.667,69.208,37.542,,4.125,26.125
2011-02-05,7.042,28.833,50.667,21.833,,3.125,37.083
2011-02-06,10.13,35.208,97.792,62.583,,4.083,55.125
2011-02-07,4.952,17.619,31.714,14.095,,1.95,16.905
2011-02-08,4.125,17.5,34.958,17.458,,1.083,7.208
2011-02-09,6.25,31.333,70.042,38.708,,2.25,16.042
2011-02-10,6.083,31.167,67.792,36.625,,2.917,18.083
2011-02-11,5.5,24.917,49.625,24.708,,2.458,12.917
2011-02-12,6.083,27.0,45.125,18.125,,3.708,18.542
2011-02-13,10.043,35.542,113.042,77.5,,2.833,38.042
2011-02-14,11.619,33.81,129.19,95.381,,1.7,37.667
2011-02-15,7.875,30.083,83.208,53.125,,1.083,20.042
2011-02-16,5.708,28.292,61.5,33.208,,1.833,22.25
2011-02-17,4.042,16.917,30.833,13.917,,2.083,9.833
2011-02-18,4.75,19.542,35.708,16.167,,1.833,11.083
2011-02-19,5.0,20.375,35.208,14.833,,2.125,17.542
2011-02-20,6.043,31.833,68.792,36.958,,3.458,18.25
2011-02-21,6.857,37.238,78.381,41.143,,3.15,27.619
2011-02-22,10.208,35.042,107.875,72.833,,3.458,33.208
2011-02-23,7.708,26.5,76.167,49.667,,1.583,26.958
2011-02-24,6.208,26.958,38.292,11.333,,7.417,42.875
2011-02-25,6.542,26.292,47.667,21.375,,1.917,41.333
2011-02-26,4.792,19.167,32.042,12.875,,1.125,12.0
2011-02-27,5.826,25.708,59.667,33.958,,2.625,13.75
2011-02-28,5.333,26.762,47.762,21.0,,2.75,11.905
2011-03-01,7.625,34.792,92.167,57.375,,2.542,28.667
2011-03-02,6.458,31.417,72.583,41.167,,2.167,25.333
2011-03-03,4.667,18.292,29.083,10.792,,10.208,12.125
2011-03-04,7.042,25.417,47.167,21.75,,3.167,29.75
2011-03-05,9.833,32.375,111.417,79.042,,2.375,27.917
2011-03-06,6.952,22.143,41.857,19.714,,1.15,20.476
2011-03-07,8.417,34.375,76.458,42.083,,2.667,52.042
2011-03-08,9.208,32.375,85.667,53.292,,2.875,46.458
2011-03-09,7.417,26.375,46.583,20.208,,1.75,33.792
2011-03-10,5.958,27.042,46.5,19.458,,2.458,18.917
2011-03-11,5.542,16.583,27.792,11.208,,4.542,26.542
2011-03-12,4.609,24.625,48.333,23.708,,1.958,10.125
2011-03-13,5.333,32.238,62.905,30.667,,4.3,17.81
2011-03-14,6.083,33.958,66.042,32.083,,3.958,25.708
2011-03-15,6.792,36.333,69.208,32.875,,5.625,41.667
2011-03-16,8.583,48.0,88.542,40.542,,5.333,51.542
2011-03-17,7.708,31.583,59.583,28.0,,1.75,35.292
2011-03-18,7.25,26.792,41.542,14.75,,0.958,34.917
2011-03-19,6.7,29.429,64.571,35.143,,1.381,29.714
2011-03-20,5.708,24.583,52.167,27.583,,2.913,23.667
2011-03-21,5.75,29.208,56.375,27.167,,4.292,22.083
2011-03-22,6.25,33.208,65.417,32.208,,6.292,27.5
2011-03-23,5.083,22.042,35.917,13.875,,1.583,19.917
2011-03-24,5.083,12.417,18.333,5.917,,2.458,33.583
2011-03-25,3.292,8.625,12.167,3.542,,1.583,12.083
2011-03-26,3.609,17.208,26.75,9.542,,1.708,10.458
2011-03-27,5.143,30.476,60.905,30.429,,4.75,21.286
2011-03-28,5.5,30.125,48.792,18.667,,4.125,34.458
2011-03-29,5.5,30.542,49.458,18.917,,5.083,34.458
2011-03-30,5.125,27.542,44.5,16.958,,13.417,35.167
2011-03-31,3.917,15.583,23.042,7.458,,2.875,17.958
2011-04-01,6.708,34.292,54.042,19.75,,5.375,47.042
2011-04-02,5.833,27.542,43.083,15.542,,2.667,42.625
2011-04-03,4.625,15.25,22.375,7.125,,1.958,31.042
2011-04-04,3.833,16.083,24.583,8.5,,1.667,12.5
2011-04-05,4.571,23.19,35.333,12.143,,4.8,14.905
2011-04-06,4.875,27.583,46.625,19.042,,3.0,18.583
2011-04-07,3.75,20.917,33.292,12.375,,3.417,15.333
2011-04-08,4.625,24.125,37.417,13.292,,1.667,18.625
2011-04-09,5.417,20.917,31.0,10.083,,1.333,33.292
2011-04-10,4.958,16.583,23.208,6.625,,2.375,30.875
2011-04-11,5.696,22.792,37.958,15.167,,2.625,36.083
2011-04-12,5.048,21.952,35.762,13.81,,1.85,27.143
2011-04-13,5.292,23.417,36.292,12.875,,3.167,31.375
2011-04-14,5.25,25.417,40.958,15.542,,1.958,31.917
2011-04-15,5.792,27.417,45.667,18.25,,1.667,39.75
2011-04-16,6.208,19.958,30.667,10.708,,1.542,58.875
2011-04-17,5.792,16.0,22.917,6.917,,5.333,54.0
2011-04-18,3.739,11.25,15.875,4.625,,1.167,27.5
2011-04-19,4.286,16.952,27.381,10.429,,1.0,13.286
2011-04-20,5.208,24.458,46.042,21.583,,1.375,18.0
2011-04-21,5.458,27.583,47.417,19.833,,2.958,28.458
2011-04-22,4.875,25.25,44.5,19.25,,5.958,26.125
2011-04-23,4.375,14.917,21.583,6.667,,1.333,23.042
2011-04-24,5.833,19.125,27.875,8.75,,1.583,33.375
2011-04-25,5.565,21.333,36.5,15.167,,2.333,34.917
2011-04-26,4.571,23.429,38.762,15.333,,2.15,25.762
2011-04-27,4.958,23.875,35.917,12.042,,1.958,25.0
2011-04-28,3.875,15.292,22.792,7.5,,1.292,18.583
2011-04-29,4.958,20.583,34.708,14.125,,1.875,17.5
2011-04-30,5.708,26.5,43.208,16.708,,2.625,31.917
2011-05-01,4.5,16.5,22.792,6.292,,1.792,43.292
2011-05-02,5.35,22.667,36.905,14.238,,1.619,120.762
2011-05-03,6.208,22.125,36.25,14.125,,1.478,130.375
2011-05-04,5.958,18.417,27.5,9.083,,1.792,66.417
2011-05-05,4.5,14.583,20.583,6.0,,1.875,33.625
