date,SPM_mean
2011-01-01,11.75
2011-01-02,9.208
2011-01-03,4.958
2011-01-04,7.25
2011-01-05,8.417
2011-01-06,11.708
2011-01-07,7.333
2011-01-08,8.542
2011-01-09,11.333
2011-01-10,17.792
2011-01-11,10.583
2011-01-12,9.042
2011-01-13,16.708
2011-01-14,10.667
2011-01-15,15.667
2011-01-16,16.5
2011-01-17,11.292
2011-01-18,21.333
2011-01-19,18.261
2011-01-20,12.042
2011-01-21,8.833
2011-01-22,4.667
2011-01-23,11.042
2011-01-24,8.292
2011-01-25,11.375
2011-01-26,9.5
2011-01-27,12.667
2011-01-28,11.542
2011-01-29,9.75
2011-01-30,10.458
2011-01-31,10.958
2011-02-01,9.125
2011-02-02,8.875
2011-02-03,13.375
2011-02-04,12.875
2011-02-05,18.208
2011-02-06,26.958
2011-02-07,15.5
2011-02-08,8.875
2011-02-09,7.958
2011-02-10,12.208
2011-02-11,9.583
2011-02-12,10.833
2011-02-13,15.083
2011-02-14,27.292
2011-02-15,29.083
2011-02-16,15.708
2011-02-17,15.875
2011-02-18,9.25
2011-02-19,9.625
2011-02-20,13.417
2011-02-21,12.958
2011-02-22,26.0
2011-02-23,26.917
2011-02-24,18.958
2011-02-25,12.417
2011-02-26,8.5
2011-02-27,11.125
2011-02-28,10.25
2011-03-01,10.0
2011-03-02,18.125
2011-03-03,12.583
2011-03-04,15.125
2011-03-05,9.833
2011-03-06,16.625
2011-03-07,18.5
2011-03-08,20.917
2011-03-09,14.375
2011-03-10,4.583
2011-03-11,7.458
2011-03-12,6.625
2011-03-13,4.167
2011-03-14,9.375
2011-03-15,13.458
2011-03-16,20.208
2011-03-17,27.125
2011-03-18,22.708
2011-03-19,8.792
2011-03-20,15.208
2011-03-21,9.273
2011-03-22,25.542
2011-03-23,33.958
2011-03-24,6.25
2011-03-25,7.167
2011-03-26,8.917
2011-03-27,16.625
2011-03-28,18.792
2011-03-29,17.875
2011-03-30,25.417
2011-03-31,21.667
2011-04-01,18.292
2011-04-02,26.25
2011-04-03,12.5
2011-04-04,8.917
2011-04-05,11.542
2011-04-06,17.5
2011-04-07,26.625
2011-04-08,21.75
2011-04-09,13.5
2011-04-10,17.958
2011-04-11,24.583
2011-04-12,16.0
2011-04-13,24.5
2011-04-14,29.208
2011-04-15,36.458
2011-04-16,23.792
2011-04-17,13.042
2011-04-18,17.5
2011-04-19,7.833
2011-04-20,6.292
2011-04-21,16.409
2011-04-22,31.833
2011-04-23,13.708
2011-04-24,8.583
2011-04-25,15.417
2011-04-26,16.625
2011-04-27,39.292
2011-04-28,13.25
2011-04-29,14.333
2011-04-30,28.208
2011-05-01,24.792
2011-05-02,71.0
2011-05-03,44.417
2011-05-04,26.958
2011-05-05,18.208
2011-05-06,19.417
2011-05-07,21.625
2011-05-08,22.333
2011-05-09,21.5
2011-05-10,48.75
2011-05-11,17.25
2011-05-12,12.0
2011-05-13,31.333
2011-05-14,44.708
2011-05-15,18.625
2011-05-16,31.375
2011-05-17,38.417
2011-05-18,29.083
2011-05-19,35.75
2011-05-20,42.292
2011-05-21,53.417
2011-05-22,36.042
2011-05-23,17.0
2011-05-24,8.739
2011-05-25,23.125
2011-05-26,24.875
2011-05-27,21.583
2011-05-28,12.167
2011-05-29,6.5
2011-05-30,5.167
2011-05-31,12.792
2011-06-01,29.167
2011-06-02,29.542
2011-06-03,26.208
2011-06-04,44.667
2011-06-05,57.167
2011-06-06,39.417
2011-06-07,38.833
2011-06-08,23.667
2011-06-09,25.833
2011-06-10,47.833
