date,CH4_mean,CO_mean,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,THC_mean
2011-01-01,220.542,,493.042,28.5,88.667,60.167,1.875,14.083,713.583
2011-01-02,203.083,5.579,131.125,18.542,28.0,9.458,0.792,7.208,334.208
2011-01-03,203.583,6.818,112.958,24.333,39.417,15.083,1.0,6.708,316.542
2011-01-04,210.043,4.458,15.087,22.957,42.087,19.13,1.25,7.833,225.13
2011-01-05,204.333,6.25,20.042,30.417,67.5,37.083,0.87,10.792,224.375
2011-01-06,210.667,5.727,20.4,30.091,69.864,39.773,0.905,12.238,231.067
2011-01-07,,6.208,,28.833,69.75,40.917,1.25,9.25,
2011-01-08,,5.625,,26.583,56.25,29.667,1.958,10.5,
2011-01-09,,4.783,,25.0,45.75,20.75,2.875,14.625,
2011-01-10,200.867,5.292,17.0,27.917,60.708,32.792,2.875,17.545,217.867
2011-01-11,200.455,3.792,12.955,20.261,38.783,18.522,2.75,10.125,213.409
2011-01-12,203.917,5.208,18.0,30.208,65.833,35.625,1.696,12.792,221.917
2011-01-13,205.917,6.25,22.042,33.833,80.125,46.292,3.083,18.0,227.958
2011-01-14,204.667,5.042,17.208,25.375,48.833,23.458,1.958,10.458,221.875
2011-01-15,209.625,6.208,19.792,26.875,53.083,26.208,2.083,20.667,229.417
2011-01-16,205.167,6.0,19.917,30.292,62.333,32.042,2.042,15.75,225.083
2011-01-17,203.542,6.417,19.458,30.833,68.25,37.417,1.875,14.333,223.0
2011-01-18,203.0,6.5,21.773,33.957,75.435,41.478,2.333,21.75,224.773
2011-01-19,202.417,5.0,17.417,28.833,61.083,32.25,3.0,16.958,219.833
2011-01-20,197.19,2.708,9.952,15.958,25.458,9.5,0.667,12.958,207.143
2011-01-21,195.375,2.667,9.75,13.958,23.5,9.542,1.875,5.208,205.125
2011-01-22,195.833,2.875,11.208,12.0,22.042,10.042,2.125,3.292,207.042
2011-01-23,202.625,4.783,15.792,21.542,50.667,29.125,2.5,11.875,218.417
2011-01-24,197.542,3.958,14.083,24.0,48.625,24.625,2.583,12.083,211.625
2011-01-25,200.208,5.458,19.042,29.478,73.739,44.261,3.333,13.167,219.25
2011-01-26,198.708,5.625,14.292,25.917,51.167,25.25,1.304,13.375,213.0
2011-01-27,211.478,6.625,17.957,31.5,73.0,41.5,1.917,22.625,229.435
2011-01-28,201.833,4.792,13.417,24.458,43.25,18.792,1.292,12.542,215.25
2011-01-29,204.792,4.542,14.083,23.458,41.292,17.833,1.875,8.708,218.875
2011-01-30,203.583,4.913,14.333,28.792,59.875,31.083,1.417,11.833,217.917
2011-01-31,204.458,4.833,13.75,27.875,56.25,28.375,2.125,6.5,218.208
2011-02-01,201.375,4.708,14.333,28.174,57.652,29.478,2.333,10.0,215.708
2011-02-02,199.417,4.0,12.667,22.208,44.542,22.333,1.174,8.792,212.083
2011-02-03,211.565,6.083,18.696,31.125,74.958,43.833,1.375,11.25,230.261
2011-02-04,204.833,5.75,17.292,29.625,63.208,33.583,2.75,12.75,222.125
2011-02-05,204.25,5.042,13.667,24.375,44.625,20.25,2.375,19.292,217.917
2011-02-06,200.542,5.913,16.458,27.667,55.125,27.458,1.792,25.958,217.0
2011-02-07,200.75,7.167,20.625,26.292,60.167,33.875,1.5,18.458,221.375
2011-02-08,197.625,4.318,13.542,22.15,43.15,21.0,2.45,9.091,211.167
2011-02-09,196.625,3.958,13.25,21.583,38.625,17.042,3.708,8.75,209.875
2011-02-10,209.217,4.75,17.391,27.708,53.792,26.083,4.25,14.583,226.609
2011-02-11,200.583,4.292,15.792,23.417,38.125,14.708,3.783,12.667,216.375
2011-02-12,200.667,3.625,14.25,16.5,25.917,9.417,3.917,10.542,214.917
2011-02-13,203.375,5.522,20.75,30.333,61.083,30.75,5.391,19.542,224.125
2011-02-14,200.542,5.333,20.083,27.875,53.958,26.083,4.708,31.125,220.625
2011-02-15,202.917,6.125,23.375,30.087,66.826,36.739,5.435,30.917,226.292
2011-02-16,201.542,5.25,22.667,29.792,54.917,25.125,4.542,20.0,224.208
2011-02-17,201.136,4.625,19.136,28.625,51.083,22.458,3.545,21.417,220.273
2011-02-18,200.792,3.458,14.833,19.917,32.333,12.417,0.478,8.958,215.625
2011-02-19,204.125,4.083,15.208,21.0,33.25,12.25,0.833,10.833,219.333
2011-02-20,204.125,4.696,17.083,26.625,48.667,22.042,1.261,11.042,221.208
2011-02-21,204.625,4.792,18.042,29.208,51.958,22.75,2.25,20.917,222.667
2011-02-22,107.737,4.4,7.211,11.556,21.778,10.222,2.6,25.125,114.947
2011-02-23,0.0,6.348,0.0,0.0,0.043,0.043,0.304,29.958,0.0
2011-02-24,0.0,5.292,0.0,0.0,0.067,0.067,1.5,22.375,0.0
