date,CH4_mean,CO2_mean,HUM_max,HUM_mean,HUM_min,NMHC_mean,NO2_mean,NOX_mean,NO_mean,SO2_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min,THC_mean
2011-01-01,195.958,4244.167,87.0,60.625,42.0,13.083,16.375,20.792,4.417,1.125,11.542,6.6,2.008,-1.8,209.042
2011-01-02,190.542,4073.75,89.0,55.167,22.0,8.625,10.826,12.565,1.739,0.826,7.667,9.4,3.246,-1.2,199.167
2011-01-03,192.708,4134.167,61.0,41.5,22.0,9.792,16.458,19.667,3.208,1.625,5.375,7.9,2.592,-2.4,202.5
2011-01-04,192.167,4102.083,67.0,45.292,29.0,9.542,16.917,20.292,3.375,2.261,6.75,7.8,2.396,-1.9,201.708
2011-01-05,195.778,4291.5,67.0,50.917,31.0,17.556,26.238,37.476,11.238,1.045,8.0,5.2,0.867,-2.9,213.333
2011-01-06,198.25,4229.583,70.0,51.375,29.0,15.583,25.75,38.125,12.375,1.435,11.125,7.0,1.604,-3.8,213.833
2011-01-07,197.833,4368.333,69.0,49.0,24.0,19.125,23.292,45.5,22.208,1.042,6.042,6.1,1.721,-1.7,216.958
2011-01-08,200.458,4354.583,68.0,48.667,25.0,14.625,19.833,30.0,10.167,2.917,9.417,6.2,0.912,-4.0,215.083
2011-01-09,195.208,4267.917,66.0,52.25,33.0,11.708,19.087,24.304,5.217,4.0,10.875,7.6,2.262,-2.4,206.917
2011-01-10,197.625,4278.75,82.0,54.75,35.0,17.375,25.083,37.417,12.333,2.0,14.5,7.0,3.062,-1.1,215.0
2011-01-11,191.5,4111.667,71.0,47.0,27.0,8.667,13.708,16.958,3.25,2.292,8.292,7.2,2.525,-0.7,200.167
2011-01-12,195.261,4195.217,57.0,36.917,20.0,15.87,24.417,34.833,10.417,2.292,7.208,4.6,0.071,-4.8,211.13
2011-01-13,193.625,4188.75,63.0,43.625,27.0,20.167,28.333,41.917,13.583,2.826,12.583,8.9,1.917,-5.2,213.792
2011-01-14,192.875,4064.583,62.0,36.917,20.0,14.583,16.083,20.875,4.792,0.958,7.333,5.3,1.888,-1.1,207.458
2011-01-15,197.792,4185.833,59.0,45.875,30.0,17.792,21.375,28.958,7.583,1.333,14.875,5.7,1.308,-2.9,215.583
