date,CH4_mean,NMHC_mean,THC_mean
2011-12-28,199.375,19.208,218.583
2011-12-29,198.208,15.833,214.042
2011-12-30,196.833,7.167,204.0
2011-12-31,199.292,11.625,210.917
2012-01-01,195.583,8.417,204.0
2012-01-02,199.565,11.957,211.522
2012-01-03,191.292,3.667,194.958
2012-01-04,193.75,5.125,198.875
2012-01-05,198.417,13.0,211.417
2012-01-06,199.917,12.208,212.125
2012-01-07,196.833,16.417,213.25
2012-01-08,194.583,15.583,210.167
2012-01-09,193.478,9.652,203.13
2012-01-10,193.364,7.273,200.636
2012-01-11,198.792,16.625,215.417
2012-01-12,198.75,16.0,214.75
2012-01-13,206.875,25.667,232.542
2012-01-14,191.875,6.25,198.125
2012-01-15,194.417,6.708,201.125
2012-01-16,199.609,21.652,221.261
2012-01-17,196.208,14.542,210.75
2012-01-18,195.583,9.5,205.083
2012-01-19,195.0,10.5,205.5
2012-01-20,198.125,10.792,208.917
2012-01-21,197.833,14.625,212.458
2012-01-22,191.917,11.708,203.625
2012-01-23,192.435,7.522,199.957
2012-01-24,192.783,9.348,202.13
2012-01-25,198.5,18.667,217.167
2012-01-26,190.917,4.417,195.333
2012-01-27,194.292,4.208,198.5
2012-01-28,195.333,6.292,201.625
2012-01-29,201.083,13.708,214.792
2012-01-30,200.043,18.13,218.174
2012-01-31,200.75,18.583,219.333
2012-02-01,200.667,23.167,223.833
2012-02-02,200.042,25.167,225.208
2012-02-03,193.375,8.417,201.792
2012-02-04,195.333,13.333,208.667
2012-02-05,191.083,7.917,199.0
2012-02-06,192.435,7.783,200.217
2012-02-07,195.0,15.083,210.083
2012-02-08,193.25,6.625,199.875
2012-02-09,194.75,6.333,201.083
2012-02-10,196.208,8.625,204.833
2012-02-11,196.917,7.208,204.125
2012-02-12,198.417,10.542,208.958
2012-02-13,195.043,11.174,206.217
2012-02-14,200.542,22.25,222.792
2012-02-15,194.208,13.667,207.875
2012-02-16,194.958,7.75,202.708
