date,CO_mean,HUM_max,HUM_mean,HUM_min,NO2_mean,NOX_mean,NO_mean,SPM_mean,TEMP_max,TEMP_mean,TEMP_min
2018-01-01,5.042,89.0,69.583,40.0,11.875,14.917,3.042,12.542,9.8,4.921,-0.7
2018-01-02,3.042,81.0,65.042,48.0,7.917,9.083,1.167,5.833,8.5,5.004,2.0
2018-01-03,2.583,84.0,71.167,48.0,11.125,13.0,1.875,5.417,8.5,3.8,-0.2
2018-01-04,3.304,92.0,70.25,43.0,21.238,28.333,7.095,7.0,10.2,4.946,-0.8
2018-01-05,4.458,87.0,74.042,55.0,24.917,34.708,9.792,15.792,10.9,7.075,5.4
2018-01-06,2.478,75.0,64.667,49.0,9.913,11.217,1.304,8.417,8.0,5.496,3.4
2018-01-07,3.25,87.0,68.417,45.0,26.708,48.208,21.5,11.833,9.7,4.562,-0.3
2018-01-08,4.542,87.0,65.292,40.0,36.958,77.667,40.708,21.542,11.9,6.042,1.1
2018-01-09,2.208,85.0,65.583,52.0,20.5,31.0,10.5,7.708,6.2,4.104,0.8
2018-01-10,4.125,84.0,69.625,55.0,34.833,66.458,31.625,14.0,6.2,3.312,-0.9
2018-01-11,3.083,82.0,64.833,47.0,27.833,50.583,22.75,12.958,11.2,6.675,3.1
2018-01-12,3.667,88.0,72.75,51.0,28.875,46.333,17.458,13.792,7.6,4.296,1.8
2018-01-13,3.0,91.0,78.294,53.0,17.13,23.739,6.609,11.25,8.9,3.729,1.1
2018-01-14,2.875,91.0,68.542,37.0,24.667,38.708,14.042,7.792,12.6,5.604,0.4
2018-01-15,4.0,95.0,82.708,56.0,34.208,63.708,29.5,12.0,7.6,4.754,1.0
2018-01-16,4.864,93.0,71.542,46.0,27.227,59.864,32.636,17.6,9.9,5.754,2.4
2018-01-17,3.417,89.0,58.583,36.0,25.792,47.708,21.917,12.375,10.6,5.783,0.3
2018-01-18,2.417,87.0,71.208,49.0,25.25,41.958,16.708,8.917,8.0,5.042,2.5
2018-01-19,4.25,91.0,72.542,45.0,30.75,50.083,19.333,14.5,11.8,5.5,0.4
2018-01-20,4.217,93.0,82.333,68.0,26.609,35.348,8.739,14.333,9.2,6.5,5.1
2018-01-21,3.25,84.0,60.625,43.0,24.292,39.792,15.5,9.917,9.7,6.021,2.5
2018-01-22,2.625,81.0,60.667,42.0,26.417,46.542,20.125,11.0,9.8,6.058,3.0
2018-01-23,4.333,90.0,67.208,41.0,35.0,60.25,25.25,24.708,12.5,6.338,-0.1
2018-01-24,2.417,73.0,55.542,35.0,17.261,27.696,10.435,11.522,8.6,5.396,2.0
2018-01-25,3.042,73.0,57.292,42.0,28.208,41.417,13.208,15.083,9.2,5.958,2.2
2018-01-26,2.125,88.0,62.25,43.0,5.875,6.5,0.625,6.0,5.5,3.133,0.5
2018-01-27,2.391,85.0,68.0,43.0,15.435,20.391,4.957,8.292,8.4,3.742,0.8
2018-01-28,3.625,84.0,71.625,59.0,29.542,50.625,21.083,15.875,8.9,4.262,-0.1
2018-01-29,2.167,90.0,62.833,43.0,23.833,37.708,13.875,11.833,7.1,4.238,1.3
2018-01-30,3.182,80.0,58.292,27.0,28.75,56.833,28.083,17.045,11.8,5.292,0.0
2018-01-31,3.958,94.0,82.958,68.0,30.25,37.375,7.125,18.25,6.0,4.658,3.0
2018-02-01,2.333,81.0,65.167,41.0,22.917,39.792,16.875,8.375,6.4,3.521,1.7
2018-02-02,3.333,86.0,65.625,41.0,25.917,40.5,14.583,15.375,11.8,5.442,-0.4
2018-02-03,3.696,95.0,80.625,52.0,18.565,25.522,6.957,20.167,10.2,6.054,1.1
2018-02-04,4.25,96.0,75.542,50.0,22.708,37.167,14.458,21.542,12.8,9.175,4.9
2018-02-05,3.875,90.0,63.875,37.0,32.417,62.208,29.792,25.167,12.0,7.167,1.8
2018-02-06,3.875,93.0,78.5,62.0,34.542,61.167,26.625,18.333,13.0,8.179,6.4
2018-02-07,4.917,94.0,78.917,63.0,32.417,58.0,25.583,24.708,14.1,10.196,6.0
2018-02-08,2.125,68.0,59.542,48.0,13.792,16.708,2.917,5.375,8.5,6.038,2.4
2018-02-09,3.083,80.0,61.583,47.0,22.042,27.583,5.542,13.5,7.2,4.304,1.8
2018-02-10,2.391,80.0,59.875,44.0,10.478,11.87,1.391,9.625,5.4,3.217,1.0
2018-02-11,2.958,89.0,76.375,59.0,17.292,22.833,5.542,11.208,5.4,3.383,2.0
2018-02-12,2.667,89.0,66.167,44.0,24.042,38.083,14.042,9.125,8.3,5.096,1.5
2018-02-13,3.375,81.0,61.958,38.0,27.0,43.625,16.625,18.375,10.5,6.262,3.0
2018-02-14,2.609,78.0,61.375,46.0,26.818,40.045,13.227,13.455,7.0,4.017,1.9
2018-02-15,3.375,82.0,62.042,44.0,35.208,65.833,30.625,13.833,6.8,3.533,-0.8
2018-02-16,4.833,78.0,64.708,52.0,25.042,48.417,23.375,18.042,11.1,6.625,3.4
